continent,variant,freq,year,totaldeaths
935,estimates,5yearly,1950,166637.887
935,estimates,5yearly,1955,165625.652
935,estimates,5yearly,1960,167685.214
935,estimates,5yearly,1965,143786.044
935,estimates,5yearly,1970,134904.727
935,estimates,5yearly,1975,127682.871
935,estimates,5yearly,1980,127975.383
935,estimates,5yearly,1985,131515.343
935,estimates,5yearly,1990,132860.524
935,estimates,5yearly,1995,134533.125
935,estimates,5yearly,2000,136061.095
935,estimates,5yearly,2005,142002.012
935,estimates,5yearly,2010,150268.409
935,constant_fertility,5yearly,2015,160652.272
935,constant_mortality,5yearly,2015,171923.434
935,high_variant,5yearly,2015,161098.526
935,instant_replacement,5yearly,2015,159038.2
935,low_variant,5yearly,2015,158857.491
935,medium_variant,5yearly,2015,159979.241
935,no_change,5yearly,2015,172702.009
935,zero_migration,5yearly,2015,160056.956
935,constant_fertility,5yearly,2020,173482.387
935,constant_mortality,5yearly,2020,195281.097
935,high_variant,5yearly,2020,173923.207
935,instant_replacement,5yearly,2020,171475.187
935,low_variant,5yearly,2020,170458.325
935,medium_variant,5yearly,2020,172191.211
935,no_change,5yearly,2020,197011.046
935,zero_migration,5yearly,2020,172462.319
935,constant_fertility,5yearly,2025,188616.759
935,constant_mortality,5yearly,2025,220962.284
935,high_variant,5yearly,2025,188893.599
935,instant_replacement,5yearly,2025,186487.761
935,low_variant,5yearly,2025,184858.632
935,medium_variant,5yearly,2025,186876.575
935,no_change,5yearly,2025,223640.819
935,zero_migration,5yearly,2025,187370.557
935,constant_fertility,5yearly,2030,206343.463
935,constant_mortality,5yearly,2030,248601.851
935,high_variant,5yearly,2030,206234.193
935,instant_replacement,5yearly,2030,204091.074
935,low_variant,5yearly,2030,202308.226
935,medium_variant,5yearly,2030,204267.787
935,no_change,5yearly,2030,252241.683
935,zero_migration,5yearly,2030,205017.33
935,constant_fertility,5yearly,2035,225388.332
935,constant_mortality,5yearly,2035,276550.308
935,high_variant,5yearly,2035,225016.704
935,instant_replacement,5yearly,2035,222806.25
935,low_variant,5yearly,2035,220918.37
935,medium_variant,5yearly,2035,222936.462
935,no_change,5yearly,2035,281366.371
935,zero_migration,5yearly,2035,223986.93
935,constant_fertility,5yearly,2040,244362.063
935,constant_mortality,5yearly,2040,302472.567
935,high_variant,5yearly,2040,243845.659
935,instant_replacement,5yearly,2040,241314.051
935,low_variant,5yearly,2040,239248.136
935,medium_variant,5yearly,2040,241461.392
935,no_change,5yearly,2040,308803.886
935,zero_migration,5yearly,2040,242869.584
935,constant_fertility,5yearly,2045,262239.767
935,constant_mortality,5yearly,2045,324636.848
935,high_variant,5yearly,2045,261575.991
935,instant_replacement,5yearly,2045,258720.858
935,low_variant,5yearly,2045,256378.581
935,medium_variant,5yearly,2045,258832.593
935,no_change,5yearly,2045,332809.996
935,zero_migration,5yearly,2045,260659.346
935,constant_fertility,5yearly,2050,277973.135
935,constant_mortality,5yearly,2050,342318.843
935,high_variant,5yearly,2050,277090.479
935,instant_replacement,5yearly,2050,274004.287
935,low_variant,5yearly,2050,271346.839
935,medium_variant,5yearly,2050,274027.987
935,no_change,5yearly,2050,352616.434
935,zero_migration,5yearly,2050,276316.91
935,constant_fertility,5yearly,2055,291986.487
935,constant_mortality,5yearly,2055,355436.323
935,high_variant,5yearly,2055,290847.727
935,instant_replacement,5yearly,2055,287551.682
935,low_variant,5yearly,2055,284569.85
935,medium_variant,5yearly,2055,287485.799
935,no_change,5yearly,2055,368172.635
935,zero_migration,5yearly,2055,290271.779
935,constant_fertility,5yearly,2060,303668.951
935,constant_mortality,5yearly,2060,364411.688
935,high_variant,5yearly,2060,302295.175
935,instant_replacement,5yearly,2060,298601.268
935,low_variant,5yearly,2060,295235.716
935,medium_variant,5yearly,2060,298506.514
935,no_change,5yearly,2060,379999.558
935,zero_migration,5yearly,2060,301811.805
935,constant_fertility,5yearly,2065,312094.429
935,constant_mortality,5yearly,2065,369253.827
935,high_variant,5yearly,2065,310544.768
935,instant_replacement,5yearly,2065,306167.689
935,low_variant,5yearly,2065,302311.557
935,medium_variant,5yearly,2065,306121.602
935,no_change,5yearly,2065,388308.774
935,zero_migration,5yearly,2065,309924.602
935,constant_fertility,5yearly,2070,319260.529
935,constant_mortality,5yearly,2070,369588.346
935,high_variant,5yearly,2070,317594.018
935,instant_replacement,5yearly,2070,312142.111
935,low_variant,5yearly,2070,307554.152
935,medium_variant,5yearly,2070,312208.289
935,no_change,5yearly,2070,392951.365
935,zero_migration,5yearly,2070,316472.247
935,constant_fertility,5yearly,2075,324296.584
935,constant_mortality,5yearly,2075,365627.043
935,high_variant,5yearly,2075,322577.139
935,instant_replacement,5yearly,2075,315539.242
935,low_variant,5yearly,2075,309835.867
935,medium_variant,5yearly,2075,315777.463
935,no_change,5yearly,2075,394449.655
935,zero_migration,5yearly,2075,320447.498
935,constant_fertility,5yearly,2080,326525.091
935,constant_mortality,5yearly,2080,359342.238
935,high_variant,5yearly,2080,324877.03
935,instant_replacement,5yearly,2080,315545.437
935,low_variant,5yearly,2080,308097.856
935,medium_variant,5yearly,2080,315991.644
935,no_change,5yearly,2080,395187.778
935,zero_migration,5yearly,2080,321029.748
935,constant_fertility,5yearly,2085,325431.639
935,constant_mortality,5yearly,2085,353029.657
935,high_variant,5yearly,2085,324016.735
935,instant_replacement,5yearly,2085,311393.877
935,low_variant,5yearly,2085,301200.094
935,medium_variant,5yearly,2085,312037.199
935,no_change,5yearly,2085,397942.132
935,zero_migration,5yearly,2085,317456.009
935,constant_fertility,5yearly,2090,324010.45
935,constant_mortality,5yearly,2090,346906.761
935,high_variant,5yearly,2090,323171.444
935,instant_replacement,5yearly,2090,305943.182
935,low_variant,5yearly,2090,291275.122
935,medium_variant,5yearly,2090,306552.224
935,no_change,5yearly,2090,403324.463
935,zero_migration,5yearly,2090,312376.719
935,constant_fertility,5yearly,2095,326593.023
935,constant_mortality,5yearly,2095,339660.896
935,high_variant,5yearly,2095,326899.788
935,instant_replacement,5yearly,2095,303432.659
935,low_variant,5yearly,2095,281481.392
935,medium_variant,5yearly,2095,303371.214
935,no_change,5yearly,2095,410149.339
935,zero_migration,5yearly,2095,309647.801
