variant,continent,year,totaldeaths,gender
estimates,904,1950,1511.832,male
estimates,904,1951,1510.842,male
estimates,904,1952,1509.585,male
estimates,904,1953,1509.745,male
estimates,904,1954,1511.322,male
estimates,904,1955,1514.312,male
estimates,904,1956,1518.687,male
estimates,904,1957,1524.365,male
estimates,904,1958,1531.223,male
estimates,904,1959,1539.067,male
estimates,904,1960,1547.646,male
estimates,904,1961,1556.661,male
estimates,904,1962,1565.766,male
estimates,904,1963,1574.645,male
estimates,904,1964,1583.032,male
estimates,904,1965,1590.646,male
estimates,904,1966,1597.301,male
estimates,904,1967,1603.113,male
estimates,904,1968,1608.275,male
estimates,904,1969,1612.954,male
estimates,904,1970,1617.46,male
estimates,904,1971,1622.167,male
estimates,904,1972,1627.364,male
estimates,904,1973,1633.249,male
estimates,904,1974,1639.884,male
estimates,904,1975,1647.224,male
estimates,904,1976,1655.105,male
estimates,904,1977,1663.194,male
estimates,904,1978,1671.19,male
estimates,904,1979,1678.918,male
estimates,904,1980,1686.199,male
estimates,904,1981,1692.915,male
estimates,904,1982,1699.108,male
estimates,904,1983,1704.841,male
estimates,904,1984,1710.158,male
estimates,904,1985,1715.238,male
estimates,904,1986,1720.336,male
estimates,904,1987,1725.576,male
estimates,904,1988,1730.981,male
estimates,904,1989,1736.426,male
estimates,904,1990,1741.443,male
estimates,904,1991,1745.403,male
estimates,904,1992,1747.989,male
estimates,904,1993,1749.214,male
estimates,904,1994,1749.401,male
estimates,904,1995,1749.142,male
estimates,904,1996,1749.199,male
estimates,904,1997,1750.462,male
estimates,904,1998,1753.667,male
estimates,904,1999,1759.299,male
estimates,904,2000,1767.66,male
estimates,904,2001,1778.765,male
estimates,904,2002,1792.193,male
estimates,904,2003,1807.548,male
estimates,904,2004,1824.704,male
estimates,904,2005,1843.565,male
estimates,904,2006,1864.107,male
estimates,904,2007,1886.213,male
estimates,904,2008,1909.673,male
estimates,904,2009,1934.246,male
estimates,904,2010,1959.61,male
estimates,904,2011,1985.477,male
estimates,904,2012,2011.691,male
estimates,904,2013,2038.149,male
estimates,904,2014,2064.79,male
estimates,904,2015,2091.64,male
medium_variant,904,2015,2091.64,male
medium_variant,904,2016,2118.847,male
medium_variant,904,2017,2146.631,male
medium_variant,904,2018,2175.191,male
medium_variant,904,2019,2204.59,male
medium_variant,904,2020,2234.858,male
medium_variant,904,2021,2265.974,male
medium_variant,904,2022,2297.838,male
medium_variant,904,2023,2330.386,male
medium_variant,904,2024,2363.6,male
medium_variant,904,2025,2397.473,male
medium_variant,904,2026,2432.022,male
medium_variant,904,2027,2467.254,male
medium_variant,904,2028,2503.173,male
medium_variant,904,2029,2539.751,male
medium_variant,904,2030,2576.99,male
medium_variant,904,2031,2614.876,male
medium_variant,904,2032,2653.385,male
medium_variant,904,2033,2692.444,male
medium_variant,904,2034,2731.974,male
medium_variant,904,2035,2771.876,male
medium_variant,904,2036,2812.059,male
medium_variant,904,2037,2852.452,male
medium_variant,904,2038,2893.012,male
medium_variant,904,2039,2933.7,male
medium_variant,904,2040,2974.55,male
medium_variant,904,2041,3015.632,male
medium_variant,904,2042,3057.009,male
medium_variant,904,2043,3098.693,male
medium_variant,904,2044,3140.632,male
medium_variant,904,2045,3182.694,male
medium_variant,904,2046,3224.69,male
medium_variant,904,2047,3266.524,male
medium_variant,904,2048,3308.164,male
medium_variant,904,2049,3349.665,male
medium_variant,904,2050,3391.184,male
medium_variant,904,2051,3432.92,male
medium_variant,904,2052,3475.102,male
medium_variant,904,2053,3517.901,male
medium_variant,904,2054,3561.39,male
medium_variant,904,2055,3605.656,male
medium_variant,904,2056,3650.734,male
medium_variant,904,2057,3696.461,male
medium_variant,904,2058,3742.625,male
medium_variant,904,2059,3789.041,male
medium_variant,904,2060,3835.526,male
medium_variant,904,2061,3881.935,male
medium_variant,904,2062,3928.095,male
medium_variant,904,2063,3973.786,male
medium_variant,904,2064,4018.766,male
medium_variant,904,2065,4062.88,male
medium_variant,904,2066,4106.051,male
medium_variant,904,2067,4148.246,male
medium_variant,904,2068,4189.365,male
medium_variant,904,2069,4229.216,male
medium_variant,904,2070,4267.621,male
medium_variant,904,2071,4304.421,male
medium_variant,904,2072,4339.554,male
medium_variant,904,2073,4372.955,male
medium_variant,904,2074,4404.556,male
medium_variant,904,2075,4434.389,male
medium_variant,904,2076,4462.56,male
medium_variant,904,2077,4489.171,male
medium_variant,904,2078,4514.218,male
medium_variant,904,2079,4537.627,male
medium_variant,904,2080,4559.175,male
medium_variant,904,2081,4578.588,male
medium_variant,904,2082,4595.696,male
medium_variant,904,2083,4610.442,male
medium_variant,904,2084,4622.886,male
medium_variant,904,2085,4633.234,male
medium_variant,904,2086,4641.816,male
medium_variant,904,2087,4648.934,male
medium_variant,904,2088,4654.793,male
medium_variant,904,2089,4659.443,male
medium_variant,904,2090,4662.796,male
medium_variant,904,2091,4664.676,male
medium_variant,904,2092,4664.868,male
medium_variant,904,2093,4663.188,male
medium_variant,904,2094,4659.445,male
medium_variant,904,2095,4653.549,male
medium_variant,904,2096,4645.44,male
medium_variant,904,2097,4635.079,male
medium_variant,904,2098,4622.463,male
medium_variant,904,2099,4607.577,male
estimates,904,1950,1338.245,female
estimates,904,1951,1337.136,female
estimates,904,1952,1335.227,female
estimates,904,1953,1333.925,female
estimates,904,1954,1333.238,female
estimates,904,1955,1333.159,female
estimates,904,1956,1333.671,female
estimates,904,1957,1334.739,female
estimates,904,1958,1336.304,female
estimates,904,1959,1338.268,female
estimates,904,1960,1340.505,female
