country,year,variant,freq,agebroad,totaldeaths
426,1950,estimates,5Yearly,0_4,40.22
426,1950,estimates,5Yearly,5_9,2.864
426,1950,estimates,5Yearly,10_14,1.86
426,1950,estimates,5Yearly,15_19,2.186
426,1950,estimates,5Yearly,20_24,2.441
426,1950,estimates,5Yearly,25_29,2.433
426,1950,estimates,5Yearly,30_34,2.416
426,1950,estimates,5Yearly,35_39,2.446
426,1950,estimates,5Yearly,40_44,2.49
426,1950,estimates,5Yearly,45_49,2.53
426,1950,estimates,5Yearly,50_54,2.676
426,1950,estimates,5Yearly,55_59,3.064
426,1950,estimates,5Yearly,60_64,3.579
426,1950,estimates,5Yearly,65_69,4.05
426,1950,estimates,5Yearly,70_74,4.17
426,1950,estimates,5Yearly,75_79,3.574
426,1950,estimates,5Yearly,80_84,2.206
426,1950,estimates,5Yearly,85_89,0.922
426,1950,estimates,5Yearly,90_94,0.27
426,1950,estimates,5Yearly,95plus,0.046
426,1950,estimates,5Yearly,0_14,44.944
426,1950,estimates,5Yearly,0_19,47.13
426,1950,estimates,5Yearly,0_24,49.571
426,1950,estimates,5Yearly,5_14,4.724
426,1950,estimates,5Yearly,15plus,41.499
426,1950,estimates,5Yearly,15_24,4.627
426,1950,estimates,5Yearly,15_49,16.942
426,1950,estimates,5Yearly,15_59,22.682
426,1950,estimates,5Yearly,15_64,26.261
426,1950,estimates,5Yearly,20plus,39.313
426,1950,estimates,5Yearly,20_64,24.075
426,1950,estimates,5Yearly,20_69,28.125
426,1950,estimates,5Yearly,25plus,36.872
426,1950,estimates,5Yearly,25_69,25.684
426,1950,estimates,5Yearly,40plus,29.577
426,1950,estimates,5Yearly,50plus,24.557
426,1950,estimates,5Yearly,60plus,18.817
426,1950,estimates,5Yearly,65plus,15.238
426,1950,estimates,5Yearly,70plus,11.188
426,1950,estimates,5Yearly,80plus,3.444
426,1950,estimates,5Yearly,90plus,0.316
426,1955,estimates,5Yearly,0_4,38.28
426,1955,estimates,5Yearly,5_9,2.747
426,1955,estimates,5Yearly,10_14,1.853
426,1955,estimates,5Yearly,15_19,2.148
426,1955,estimates,5Yearly,20_24,2.31
426,1955,estimates,5Yearly,25_29,2.152
426,1955,estimates,5Yearly,30_34,2.102
426,1955,estimates,5Yearly,35_39,2.204
426,1955,estimates,5Yearly,40_44,2.298
426,1955,estimates,5Yearly,45_49,2.499
426,1955,estimates,5Yearly,50_54,2.756
426,1955,estimates,5Yearly,55_59,3.048
426,1955,estimates,5Yearly,60_64,3.494
426,1955,estimates,5Yearly,65_69,3.892
426,1955,estimates,5Yearly,70_74,4.099
426,1955,estimates,5Yearly,75_79,3.657
426,1955,estimates,5Yearly,80_84,2.424
426,1955,estimates,5Yearly,85_89,1.048
426,1955,estimates,5Yearly,90_94,0.275
426,1955,estimates,5Yearly,95plus,0.046
426,1955,estimates,5Yearly,0_14,42.88
426,1955,estimates,5Yearly,0_19,45.028
426,1955,estimates,5Yearly,0_24,47.338
426,1955,estimates,5Yearly,5_14,4.6
426,1955,estimates,5Yearly,15plus,40.452
426,1955,estimates,5Yearly,15_24,4.458
426,1955,estimates,5Yearly,15_49,15.713
426,1955,estimates,5Yearly,15_59,21.517
426,1955,estimates,5Yearly,15_64,25.011
426,1955,estimates,5Yearly,20plus,38.304
426,1955,estimates,5Yearly,20_64,22.863
426,1955,estimates,5Yearly,20_69,26.755
426,1955,estimates,5Yearly,25plus,35.994
426,1955,estimates,5Yearly,25_69,24.445
426,1955,estimates,5Yearly,40plus,29.536
426,1955,estimates,5Yearly,50plus,24.739
426,1955,estimates,5Yearly,60plus,18.935
426,1955,estimates,5Yearly,65plus,15.441
426,1955,estimates,5Yearly,70plus,11.549
426,1955,estimates,5Yearly,80plus,3.793
426,1955,estimates,5Yearly,90plus,0.321
426,1960,estimates,5Yearly,0_4,37.049
426,1960,estimates,5Yearly,5_9,2.616
426,1960,estimates,5Yearly,10_14,1.814
426,1960,estimates,5Yearly,15_19,2.151
426,1960,estimates,5Yearly,20_24,2.274
426,1960,estimates,5Yearly,25_29,2.078
426,1960,estimates,5Yearly,30_34,1.918
426,1960,estimates,5Yearly,35_39,1.971
426,1960,estimates,5Yearly,40_44,2.118
426,1960,estimates,5Yearly,45_49,2.32
426,1960,estimates,5Yearly,50_54,2.714
426,1960,estimates,5Yearly,55_59,3.159
426,1960,estimates,5Yearly,60_64,3.562
426,1960,estimates,5Yearly,65_69,3.935
426,1960,estimates,5Yearly,70_74,4.086
426,1960,estimates,5Yearly,75_79,3.729
426,1960,estimates,5Yearly,80_84,2.597
426,1960,estimates,5Yearly,85_89,1.205
426,1960,estimates,5Yearly,90_94,0.332
426,1960,estimates,5Yearly,95plus,0.049
426,1960,estimates,5Yearly,0_14,41.479
426,1960,estimates,5Yearly,0_19,43.63
426,1960,estimates,5Yearly,0_24,45.904
426,1960,estimates,5Yearly,5_14,4.43
426,1960,estimates,5Yearly,15plus,40.198
426,1960,estimates,5Yearly,15_24,4.425
426,1960,estimates,5Yearly,15_49,14.83
426,1960,estimates,5Yearly,15_59,20.703
426,1960,estimates,5Yearly,15_64,24.265
426,1960,estimates,5Yearly,20plus,38.047
426,1960,estimates,5Yearly,20_64,22.114
426,1960,estimates,5Yearly,20_69,26.049
426,1960,estimates,5Yearly,25plus,35.773
426,1960,estimates,5Yearly,25_69,23.775
426,1960,estimates,5Yearly,40plus,29.806
426,1960,estimates,5Yearly,50plus,25.368
426,1960,estimates,5Yearly,60plus,19.495
426,1960,estimates,5Yearly,65plus,15.933
426,1960,estimates,5Yearly,70plus,11.998
426,1960,estimates,5Yearly,80plus,4.183
426,1960,estimates,5Yearly,90plus,0.381
426,1965,estimates,5Yearly,0_4,39.721
426,1965,estimates,5Yearly,5_9,2.812
426,1965,estimates,5Yearly,10_14,1.932
426,1965,estimates,5Yearly,15_19,2.348
426,1965,estimates,5Yearly,20_24,2.492
426,1965,estimates,5Yearly,25_29,2.175
426,1965,estimates,5Yearly,30_34,2.037
426,1965,estimates,5Yearly,35_39,2.025
426,1965,estimates,5Yearly,40_44,2.117
426,1965,estimates,5Yearly,45_49,2.4
426,1965,estimates,5Yearly,50_54,2.783
426,1965,estimates,5Yearly,55_59,3.344
426,1965,estimates,5Yearly,60_64,3.923
426,1965,estimates,5Yearly,65_69,4.273
426,1965,estimates,5Yearly,70_74,4.394
426,1965,estimates,5Yearly,75_79,3.935
426,1965,estimates,5Yearly,80_84,2.783
426,1965,estimates,5Yearly,85_89,1.355
426,1965,estimates,5Yearly,90_94,0.398
426,1965,estimates,5Yearly,95plus,0.061
426,1965,estimates,5Yearly,0_14,44.465
426,1965,estimates,5Yearly,0_19,46.813
426,1965,estimates,5Yearly,0_24,49.305
426,1965,estimates,5Yearly,5_14,4.744
426,1965,estimates,5Yearly,15plus,42.843
426,1965,estimates,5Yearly,15_24,4.84
426,1965,estimates,5Yearly,15_49,15.594
426,1965,estimates,5Yearly,15_59,21.721
426,1965,estimates,5Yearly,15_64,25.644
426,1965,estimates,5Yearly,20plus,40.495
426,1965,estimates,5Yearly,20_64,23.296
426,1965,estimates,5Yearly,20_69,27.569
426,1965,estimates,5Yearly,25plus,38.003
426,1965,estimates,5Yearly,25_69,25.077
426,1965,estimates,5Yearly,40plus,31.766
426,1965,estimates,5Yearly,50plus,27.249
426,1965,estimates,5Yearly,60plus,21.122
426,1965,estimates,5Yearly,65plus,17.199
426,1965,estimates,5Yearly,70plus,12.926
426,1965,estimates,5Yearly,80plus,4.597
426,1965,estimates,5Yearly,90plus,0.459
426,1970,estimates,5Yearly,0_4,41.522
426,1970,estimates,5Yearly,5_9,2.91
426,1970,estimates,5Yearly,10_14,2.028
426,1970,estimates,5Yearly,15_19,2.459
426,1970,estimates,5Yearly,20_24,2.712
426,1970,estimates,5Yearly,25_29,2.361
426,1970,estimates,5Yearly,30_34,2.026
426,1970,estimates,5Yearly,35_39,2.079
426,1970,estimates,5Yearly,40_44,2.162
426,1970,estimates,5Yearly,45_49,2.396
426,1970,estimates,5Yearly,50_54,2.908
426,1970,estimates,5Yearly,55_59,3.462
426,1970,estimates,5Yearly,60_64,4.143
426,1970,estimates,5Yearly,65_69,4.69
426,1970,estimates,5Yearly,70_74,4.776
426,1970,estimates,5Yearly,75_79,4.259
426,1970,estimates,5Yearly,80_84,2.98
426,1970,estimates,5Yearly,85_89,1.467
