country,year,variant,gender,freq,agebroad,totaldeaths
364,1950,estimates,female,5Yearly,0_4,667.358
364,1950,estimates,male,5Yearly,0_4,666.676
364,1950,estimates,female,5Yearly,0_14,744.413
364,1950,estimates,male,5Yearly,0_14,727.422
364,1950,estimates,female,5Yearly,0_19,764.912
364,1950,estimates,male,5Yearly,0_19,743.745
364,1950,estimates,female,5Yearly,0_24,782.555
364,1950,estimates,male,5Yearly,0_24,755.107
364,1950,estimates,female,5Yearly,5_14,77.055
364,1950,estimates,male,5Yearly,5_14,60.746
364,1950,estimates,female,5Yearly,15plus,494.142
364,1950,estimates,male,5Yearly,15plus,473.445
364,1950,estimates,female,5Yearly,15_24,38.142
364,1950,estimates,male,5Yearly,15_24,27.685
364,1950,estimates,female,5Yearly,15_49,163.944
364,1950,estimates,male,5Yearly,15_49,114.051
364,1950,estimates,female,5Yearly,15_59,241.146
364,1950,estimates,male,5Yearly,15_59,188.236
364,1950,estimates,female,5Yearly,15_64,286.699
364,1950,estimates,male,5Yearly,15_64,243.44
364,1950,estimates,female,5Yearly,20plus,473.643
364,1950,estimates,male,5Yearly,20plus,457.122
364,1950,estimates,female,5Yearly,20_64,266.2
364,1950,estimates,male,5Yearly,20_64,227.117
364,1950,estimates,female,5Yearly,20_69,316.767
364,1950,estimates,male,5Yearly,20_69,290.508
364,1950,estimates,female,5Yearly,25plus,456
364,1950,estimates,male,5Yearly,25plus,445.76
364,1950,estimates,female,5Yearly,25_69,299.124
364,1950,estimates,male,5Yearly,25_69,279.146
364,1950,estimates,female,5Yearly,40plus,388.935
364,1950,estimates,male,5Yearly,40plus,406.435
364,1950,estimates,female,5Yearly,50plus,330.198
364,1950,estimates,male,5Yearly,50plus,359.394
364,1950,estimates,female,5Yearly,60plus,252.996
364,1950,estimates,male,5Yearly,60plus,285.209
364,1950,estimates,female,5Yearly,65plus,207.443
364,1950,estimates,male,5Yearly,65plus,230.005
364,1950,estimates,female,5Yearly,70plus,156.876
364,1950,estimates,male,5Yearly,70plus,166.614
364,1950,estimates,female,5Yearly,80plus,50.058
364,1950,estimates,male,5Yearly,80plus,53.651
364,1950,estimates,female,5Yearly,90plus,4.686
364,1950,estimates,male,5Yearly,90plus,4.62
364,1955,estimates,female,5Yearly,0_4,669.556
364,1955,estimates,male,5Yearly,0_4,675.9
364,1955,estimates,female,5Yearly,0_14,744.399
364,1955,estimates,male,5Yearly,0_14,738.96
364,1955,estimates,female,5Yearly,0_19,762.434
364,1955,estimates,male,5Yearly,0_19,754.534
364,1955,estimates,female,5Yearly,0_24,779.686
364,1955,estimates,male,5Yearly,0_24,767.233
364,1955,estimates,female,5Yearly,5_14,74.843
364,1955,estimates,male,5Yearly,5_14,63.06
364,1955,estimates,female,5Yearly,15plus,473.802
364,1955,estimates,male,5Yearly,15plus,474.022
364,1955,estimates,female,5Yearly,15_24,35.287
364,1955,estimates,male,5Yearly,15_24,28.273
