country,year,variant,gender,freq,agebroad,totaldeaths
854,1950,Estimates,female,5yearly,0_4,185.299
854,1950,Estimates,male,5yearly,0_4,200.476
854,1950,Estimates,female,5yearly,0_14,212.243
854,1950,Estimates,male,5yearly,0_14,227.934
854,1950,Estimates,female,5yearly,0_19,222.165
854,1950,Estimates,male,5yearly,0_19,239.046
854,1950,Estimates,female,5yearly,0_24,233.635
854,1950,Estimates,male,5yearly,0_24,253.406
854,1950,Estimates,female,5yearly,5_14,26.944
854,1950,Estimates,male,5yearly,5_14,27.458
854,1950,Estimates,female,5yearly,15plus,109.44
854,1950,Estimates,male,5yearly,15plus,153.211
854,1950,Estimates,female,5yearly,15_24,21.392
854,1950,Estimates,male,5yearly,15_24,25.472
854,1950,Estimates,female,5yearly,15_49,66.218
854,1950,Estimates,male,5yearly,15_49,84.51
854,1950,Estimates,female,5yearly,15_59,80.655
854,1950,Estimates,male,5yearly,15_59,108.014
854,1950,Estimates,female,5yearly,15_64,89.005
854,1950,Estimates,male,5yearly,15_64,120.93
854,1950,Estimates,female,5yearly,20plus,99.518
854,1950,Estimates,male,5yearly,20plus,142.099
854,1950,Estimates,female,5yearly,20_64,79.083
854,1950,Estimates,male,5yearly,20_64,109.818
854,1950,Estimates,female,5yearly,20_69,87.53
854,1950,Estimates,male,5yearly,20_69,122.734
854,1950,Estimates,female,5yearly,25plus,88.048
854,1950,Estimates,male,5yearly,25plus,127.739
854,1950,Estimates,female,5yearly,25_69,76.06
854,1950,Estimates,male,5yearly,25_69,108.374
854,1950,Estimates,female,5yearly,40plus,57.966
854,1950,Estimates,male,5yearly,40plus,91.205
854,1950,Estimates,female,5yearly,50plus,43.222
854,1950,Estimates,male,5yearly,50plus,68.701
854,1950,Estimates,female,5yearly,60plus,28.785
854,1950,Estimates,male,5yearly,60plus,45.197
854,1950,Estimates,female,5yearly,65plus,20.435
854,1950,Estimates,male,5yearly,65plus,32.281
854,1950,Estimates,female,5yearly,70plus,11.988
854,1950,Estimates,male,5yearly,70plus,19.365
854,1950,Estimates,female,5yearly,80plus,2.157
854,1950,Estimates,male,5yearly,80plus,3.563
854,1950,Estimates,female,5yearly,90plus,0.09
854,1950,Estimates,male,5yearly,90plus,0.107
854,1955,Estimates,female,5yearly,0_4,183.133
854,1955,Estimates,male,5yearly,0_4,197.318
854,1955,Estimates,female,5yearly,0_14,209.209
854,1955,Estimates,male,5yearly,0_14,223.589
854,1955,Estimates,female,5yearly,0_19,218.899
854,1955,Estimates,male,5yearly,0_19,234.303
854,1955,Estimates,female,5yearly,0_24,229.884
854,1955,Estimates,male,5yearly,0_24,247.703
854,1955,Estimates,female,5yearly,5_14,26.076
854,1955,Estimates,male,5yearly,5_14,26.271
854,1955,Estimates,female,5yearly,15plus,112.272
854,1955,Estimates,male,5yearly,15plus,147.172
854,1955,Estimates,female,5yearly,15_24,20.675
854,1955,Estimates,male,5yearly,15_24,24.114
854,1955,Estimates,female,5yearly,15_49,64.162
854,1955,Estimates,male,5yearly,15_49,78.467
854,1955,Estimates,female,5yearly,15_59,79.613
854,1955,Estimates,male,5yearly,15_59,101.622
854,1955,Estimates,female,5yearly,15_64,88.689
854,1955,Estimates,male,5yearly,15_64,114.348
854,1955,Estimates,female,5yearly,20plus,102.582
854,1955,Estimates,male,5yearly,20plus,136.458
854,1955,Estimates,female,5yearly,20_64,78.999
854,1955,Estimates,male,5yearly,20_64,103.634
854,1955,Estimates,female,5yearly,20_69,88.18
854,1955,Estimates,male,5yearly,20_69,116.246
854,1955,Estimates,female,5yearly,25plus,91.597
854,1955,Estimates,male,5yearly,25plus,123.058
854,1955,Estimates,female,5yearly,25_69,77.195
854,1955,Estimates,male,5yearly,25_69,102.846
854,1955,Estimates,female,5yearly,40plus,63.068
