country,variant,gender,freq,year,totaldeaths
642,estimates,female,5yearly,1950,448.382
642,estimates,male,5yearly,1950,455.885
642,estimates,female,5yearly,1955,449.509
642,estimates,male,5yearly,1955,455.836
642,estimates,female,5yearly,1960,395.696
642,estimates,male,5yearly,1960,400.622
642,estimates,female,5yearly,1965,473.116
642,estimates,male,5yearly,1965,500.283
642,estimates,female,5yearly,1970,481.583
642,estimates,male,5yearly,1970,508.261
642,estimates,female,5yearly,1975,519.853
642,estimates,male,5yearly,1975,558.476
642,estimates,female,5yearly,1980,551.024
642,estimates,male,5yearly,1980,611.481
642,estimates,female,5yearly,1985,596.194
642,estimates,male,5yearly,1985,662.824
642,estimates,female,5yearly,1990,608.273
642,estimates,male,5yearly,1990,711.72
642,estimates,female,5yearly,1995,640.635
642,estimates,male,5yearly,1995,744.804
642,estimates,female,5yearly,2000,614.684
642,estimates,male,5yearly,2000,702.7
642,estimates,female,5yearly,2005,617.325
642,estimates,male,5yearly,2005,688.799
642,estimates,female,5yearly,2010,616.071
642,estimates,male,5yearly,2010,670.106
642,constantfertility,female,5yearly,2015,637.257
642,constantfertility,male,5yearly,2015,671.76
642,constantmortality,female,5yearly,2015,663.188
642,constantmortality,male,5yearly,2015,699.207
642,highvariant,female,5yearly,2015,638.103
642,highvariant,male,5yearly,2015,672.779
642,instantreplacement,female,5yearly,2015,638.858
642,instantreplacement,male,5yearly,2015,673.687
642,lowvariant,female,5yearly,2015,636.876
642,lowvariant,male,5yearly,2015,671.301
642,mediumvariant,female,5yearly,2015,637.49
642,mediumvariant,male,5yearly,2015,672.04
642,nochange,female,5yearly,2015,662.923
642,nochange,male,5yearly,2015,698.887
642,zeromigration,female,5yearly,2015,637.733
642,zeromigration,male,5yearly,2015,672.076
642,constantfertility,female,5yearly,2020,643.048
642,constantfertility,male,5yearly,2020,667.517
642,constantmortality,female,5yearly,2020,686.257
642,constantmortality,male,5yearly,2020,716.74
642,highvariant,female,5yearly,2020,644.242
642,highvariant,male,5yearly,2020,668.972
642,instantreplacement,female,5yearly,2020,644.586
642,instantreplacement,male,5yearly,2020,669.405
642,lowvariant,female,5yearly,2020,642.456
642,lowvariant,male,5yearly,2020,666.799
642,mediumvariant,female,5yearly,2020,643.35
642,mediumvariant,male,5yearly,2020,667.885
642,nochange,female,5yearly,2020,685.871
642,nochange,male,5yearly,2020,716.266
642,zeromigration,female,5yearly,2020,644.012
642,zeromigration,male,5yearly,2020,668.033
642,constantfertility,female,5yearly,2025,640.993
642,constantfertility,male,5yearly,2025,659.81
642,constantmortality,female,5yearly,2025,696.819
642,constantmortality,male,5yearly,2025,727.945
642,highvariant,female,5yearly,2025,642.257
642,highvariant,male,5yearly,2025,661.357
642,instantreplacement,female,5yearly,2025,642.287
642,instantreplacement,male,5yearly,2025,661.416
642,lowvariant,female,5yearly,2025,640.29
642,lowvariant,male,5yearly,2025,658.953
642,mediumvariant,female,5yearly,2025,641.274
642,mediumvariant,male,5yearly,2025,660.155
642,nochange,female,5yearly,2025,696.416
642,nochange,male,5yearly,2025,727.442
642,zeromigration,female,5yearly,2025,642.311
642,zeromigration,male,5yearly,2025,660.58
642,constantfertility,female,5yearly,2030,645.212
642,constantfertility,male,5yearly,2030,655.2
642,constantmortality,female,5yearly,2030,711.555
642,constantmortality,male,5yearly,2030,737.14
642,highvariant,female,5yearly,2030,646.537
642,highvariant,male,5yearly,2030,656.821
642,instantreplacement,female,5yearly,2030,646.532
642,instantreplacement,male,5yearly,2030,656.876
642,lowvariant,female,5yearly,2030,644.559
642,lowvariant,male,5yearly,2030,654.402
642,mediumvariant,female,5yearly,2030,645.544
642,mediumvariant,male,5yearly,2030,655.607
642,nochange,female,5yearly,2030,711.038
642,nochange,male,5yearly,2030,736.475
642,zeromigration,female,5yearly,2030,647.015
642,zeromigration,male,5yearly,2030,656.614
642,constantfertility,female,5yearly,2035,654.006
642,constantfertility,male,5yearly,2035,651.07
642,constantmortality,female,5yearly,2035,727.265
642,constantmortality,male,5yearly,2035,739.059
642,highvariant,female,5yearly,2035,655.522
642,highvariant,male,5yearly,2035,653.029
642,instantreplacement,female,5yearly,2035,655.554
642,instantreplacement,male,5yearly,2035,653.236
642,lowvariant,female,5yearly,2035,653.429
642,lowvariant,male,5yearly,2035,650.293
642,mediumvariant,female,5yearly,2035,654.462
642,mediumvariant,male,5yearly,2035,651.647
642,nochange,female,5yearly,2035,726.5
642,nochange,male,5yearly,2035,738.023
642,zeromigration,female,5yearly,2035,656.519
642,zeromigration,male,5yearly,2035,653.727
642,constantfertility,female,5yearly,2040,655.937
642,constantfertility,male,5yearly,2040,636.948
642,constantmortality,female,5yearly,2040,725.374
642,constantmortality,male,5yearly,2040,726.146
642,highvariant,female,5yearly,2040,657.652
642,highvariant,male,5yearly,2040,639.341
642,instantreplacement,female,5yearly,2040,657.709
642,instantreplacement,male,5yearly,2040,639.617
642,lowvariant,female,5yearly,2040,655.386
642,lowvariant,male,5yearly,2040,636.086
642,mediumvariant,female,5yearly,2040,656.485
642,mediumvariant,male,5yearly,2040,637.677
642,nochange,female,5yearly,2040,724.395
642,nochange,male,5yearly,2040,724.746
642,zeromigration,female,5yearly,2040,659.376
642,zeromigration,male,5yearly,2040,641.376
642,constantfertility,female,5yearly,2045,645.165
642,constantfertility,male,5yearly,2045,617.042
642,constantmortality,female,5yearly,2045,711.393
642,constantmortality,male,5yearly,2045,705.103
642,highvariant,female,5yearly,2045,647.115
642,highvariant,male,5yearly,2045,619.869
642,instantreplacement,female,5yearly,2045,647.232
642,instantreplacement,male,5yearly,2045,620.184
642,lowvariant,female,5yearly,2045,644.547
642,lowvariant,male,5yearly,2045,616.008
642,mediumvariant,female,5yearly,2045,645.76
