variant,country,year,totaldeaths,gender
estimates,352,1950,0.572,male
estimates,352,1951,0.572,male
estimates,352,1952,0.572,male
estimates,352,1953,0.575,male
estimates,352,1954,0.579,male
estimates,352,1955,0.586,male
estimates,352,1956,0.594,male
estimates,352,1957,0.603,male
estimates,352,1958,0.615,male
estimates,352,1959,0.628,male
estimates,352,1960,0.643,male
estimates,352,1961,0.659,male
estimates,352,1962,0.676,male
estimates,352,1963,0.693,male
estimates,352,1964,0.711,male
estimates,352,1965,0.729,male
estimates,352,1966,0.747,male
estimates,352,1967,0.765,male
estimates,352,1968,0.782,male
estimates,352,1969,0.798,male
estimates,352,1970,0.812,male
estimates,352,1971,0.821,male
estimates,352,1972,0.826,male
estimates,352,1973,0.827,male
estimates,352,1974,0.824,male
estimates,352,1975,0.82,male
estimates,352,1976,0.817,male
estimates,352,1977,0.818,male
estimates,352,1978,0.824,male
estimates,352,1979,0.834,male
estimates,352,1980,0.848,male
estimates,352,1981,0.865,male
estimates,352,1982,0.88,male
estimates,352,1983,0.893,male
estimates,352,1984,0.902,male
estimates,352,1985,0.908,male
estimates,352,1986,0.911,male
estimates,352,1987,0.912,male
estimates,352,1988,0.913,male
estimates,352,1989,0.915,male
estimates,352,1990,0.917,male
estimates,352,1991,0.922,male
estimates,352,1992,0.929,male
estimates,352,1993,0.937,male
estimates,352,1994,0.946,male
estimates,352,1995,0.955,male
estimates,352,1996,0.961,male
estimates,352,1997,0.963,male
estimates,352,1998,0.961,male
estimates,352,1999,0.956,male
estimates,352,2000,0.948,male
estimates,352,2001,0.941,male
estimates,352,2002,0.937,male
estimates,352,2003,0.938,male
estimates,352,2004,0.944,male
estimates,352,2005,0.954,male
estimates,352,2006,0.967,male
estimates,352,2007,0.982,male
estimates,352,2008,0.997,male
estimates,352,2009,1.01,male
estimates,352,2010,1.022,male
estimates,352,2011,1.033,male
estimates,352,2012,1.043,male
estimates,352,2013,1.054,male
estimates,352,2014,1.064,male
estimates,352,2015,1.075,male
medium_variant,352,2015,1.075,male
medium_variant,352,2016,1.087,male
medium_variant,352,2017,1.099,male
medium_variant,352,2018,1.112,male
medium_variant,352,2019,1.126,male
medium_variant,352,2020,1.141,male
medium_variant,352,2021,1.157,male
medium_variant,352,2022,1.174,male
medium_variant,352,2023,1.192,male
medium_variant,352,2024,1.211,male
medium_variant,352,2025,1.231,male
medium_variant,352,2026,1.252,male
medium_variant,352,2027,1.275,male
medium_variant,352,2028,1.3,male
medium_variant,352,2029,1.326,male
medium_variant,352,2030,1.354,male
medium_variant,352,2031,1.384,male
medium_variant,352,2032,1.416,male
medium_variant,352,2033,1.449,male
medium_variant,352,2034,1.483,male
medium_variant,352,2035,1.517,male
medium_variant,352,2036,1.552,male
medium_variant,352,2037,1.587,male
medium_variant,352,2038,1.622,male
medium_variant,352,2039,1.655,male
medium_variant,352,2040,1.688,male
medium_variant,352,2041,1.719,male
medium_variant,352,2042,1.749,male
medium_variant,352,2043,1.778,male
medium_variant,352,2044,1.805,male
medium_variant,352,2045,1.83,male
medium_variant,352,2046,1.853,male
medium_variant,352,2047,1.873,male
medium_variant,352,2048,1.892,male
medium_variant,352,2049,1.908,male
medium_variant,352,2050,1.922,male
medium_variant,352,2051,1.935,male
medium_variant,352,2052,1.945,male
medium_variant,352,2053,1.955,male
medium_variant,352,2054,1.963,male
medium_variant,352,2055,1.971,male
medium_variant,352,2056,1.978,male
medium_variant,352,2057,1.984,male
medium_variant,352,2058,1.99,male
medium_variant,352,2059,1.996,male
medium_variant,352,2060,2.002,male
medium_variant,352,2061,2.008,male
medium_variant,352,2062,2.015,male
medium_variant,352,2063,2.024,male
medium_variant,352,2064,2.033,male
medium_variant,352,2065,2.043,male
medium_variant,352,2066,2.055,male
medium_variant,352,2067,2.066,male
medium_variant,352,2068,2.078,male
medium_variant,352,2069,2.09,male
medium_variant,352,2070,2.102,male
medium_variant,352,2071,2.114,male
medium_variant,352,2072,2.126,male
medium_variant,352,2073,2.139,male
medium_variant,352,2074,2.151,male
medium_variant,352,2075,2.163,male
medium_variant,352,2076,2.175,male
medium_variant,352,2077,2.187,male
medium_variant,352,2078,2.197,male
medium_variant,352,2079,2.207,male
medium_variant,352,2080,2.216,male
medium_variant,352,2081,2.222,male
medium_variant,352,2082,2.228,male
medium_variant,352,2083,2.232,male
medium_variant,352,2084,2.234,male
medium_variant,352,2085,2.234,male
medium_variant,352,2086,2.233,male
medium_variant,352,2087,2.23,male
medium_variant,352,2088,2.226,male
medium_variant,352,2089,2.222,male
medium_variant,352,2090,2.216,male
medium_variant,352,2091,2.211,male
medium_variant,352,2092,2.205,male
medium_variant,352,2093,2.199,male
medium_variant,352,2094,2.194,male
medium_variant,352,2095,2.188,male
medium_variant,352,2096,2.183,male
medium_variant,352,2097,2.179,male
medium_variant,352,2098,2.174,male
medium_variant,352,2099,2.17,male
estimates,352,1950,0.52,female
estimates,352,1951,0.525,female
estimates,352,1952,0.534,female
estimates,352,1953,0.542,female
estimates,352,1954,0.549,female
estimates,352,1955,0.556,female
estimates,352,1956,0.561,female
estimates,352,1957,0.566,female
estimates,352,1958,0.57,female
estimates,352,1959,0.574,female
estimates,352,1960,0.579,female
estimates,352,1961,0.583,female
estimates,352,1962,0.589,female
estimates,352,1963,0.596,female
estimates,352,1964,0.604,female
estimates,352,1965,0.613,female
estimates,352,1966,0.622,female
estimates,352,1967,0.63,female
estimates,352,1968,0.638,female
estimates,352,1969,0.644,female
estimates,352,1970,0.649,female
estimates,352,1971,0.65,female
estimates,352,1972,0.649,female
estimates,352,1973,0.646,female
estimates,352,1974,0.642,female
estimates,352,1975,0.639,female
estimates,352,1976,0.638,female
estimates,352,1977,0.641,female
estimates,352,1978,0.648,female
estimates,352,1979,0.66,female
estimates,352,1980,0.676,female
estimates,352,1981,0.694,female
estimates,352,1982,0.714,female
estimates,352,1983,0.734,female
estimates,352,1984,0.752,female
estimates,352,1985,0.769,female
estimates,352,1986,0.783,female
estimates,352,1987,0.795,female
estimates,352,1988,0.806,female
estimates,352,1989,0.816,female
estimates,352,1990,0.825,female
estimates,352,1991,0.835,female
estimates,352,1992,0.845,female
estimates,352,1993,0.856,female
estimates,352,1994,0.868,female
estimates,352,1995,0.879,female
estimates,352,1996,0.888,female
estimates,352,1997,0.893,female
estimates,352,1998,0.894,female
estimates,352,1999,0.893,female
estimates,352,2000,0.889,female
estimates,352,2001,0.886,female
estimates,352,2002,0.886,female
estimates,352,2003,0.89,female
estimates,352,2004,0.898,female
estimates,352,2005,0.91,female
estimates,352,2006,0.926,female
estimates,352,2007,0.944,female
estimates,352,2008,0.962,female
estimates,352,2009,0.98,female
estimates,352,2010,0.996,female
estimates,352,2011,1.011,female
estimates,352,2012,1.025,female
estimates,352,2013,1.039,female
estimates,352,2014,1.052,female
estimates,352,2015,1.064,female
medium_variant,352,2015,1.064,female
medium_variant,352,2016,1.076,female
medium_variant,352,2017,1.088,female
medium_variant,352,2018,1.101,female
medium_variant,352,2019,1.113,female
medium_variant,352,2020,1.127,female
medium_variant,352,2021,1.14,female
medium_variant,352,2022,1.155,female
medium_variant,352,2023,1.169,female
medium_variant,352,2024,1.185,female
medium_variant,352,2025,1.201,female
medium_variant,352,2026,1.219,female
medium_variant,352,2027,1.237,female
medium_variant,352,2028,1.258,female
medium_variant,352,2029,1.279,female
medium_variant,352,2030,1.303,female
medium_variant,352,2031,1.328,female
medium_variant,352,2032,1.355,female
medium_variant,352,2033,1.383,female
