variant,country,year,totaldeaths
estimates,706,1950,70.051
estimates,706,1951,70.216
estimates,706,1952,70.555
estimates,706,1953,70.91
estimates,706,1954,71.282
estimates,706,1955,71.671
estimates,706,1956,72.076
estimates,706,1957,72.497
estimates,706,1958,72.936
estimates,706,1959,73.393
estimates,706,1960,73.869
estimates,706,1961,74.364
estimates,706,1962,74.878
estimates,706,1963,75.414
estimates,706,1964,75.97
estimates,706,1965,76.484
estimates,706,1966,76.874
estimates,706,1967,77.144
estimates,706,1968,77.364
estimates,706,1969,77.655
estimates,706,1970,78.244
estimates,706,1971,79.398
estimates,706,1972,81.283
estimates,706,1973,83.976
estimates,706,1974,87.458
estimates,706,1975,91.656
estimates,706,1976,96.423
estimates,706,1977,101.479
estimates,706,1978,106.537
estimates,706,1979,111.392
estimates,706,1980,115.788
estimates,706,1981,119.513
estimates,706,1982,122.568
estimates,706,1983,125.028
estimates,706,1984,126.982
estimates,706,1985,128.746
estimates,706,1986,130.736
estimates,706,1987,133.215
estimates,706,1988,136.26
estimates,706,1989,139.748
estimates,706,1990,143.223
estimates,706,1991,146.054
estimates,706,1992,147.741
estimates,706,1993,148.036
estimates,706,1994,147
estimates,706,1995,144.984
estimates,706,1996,142.564
estimates,706,1997,140.417
estimates,706,1998,139.062
estimates,706,1999,138.706
estimates,706,2000,139.381
estimates,706,2001,140.911
estimates,706,2002,142.868
estimates,706,2003,144.893
estimates,706,2004,146.848
estimates,706,2005,148.647
estimates,706,2006,150.284
estimates,706,2007,151.841
estimates,706,2008,153.376
estimates,706,2009,154.877
estimates,706,2010,156.318
estimates,706,2011,157.677
estimates,706,2012,158.946
estimates,706,2013,160.129
estimates,706,2014,161.237
estimates,706,2015,162.291
medium_variant,706,2015,162.291
medium_variant,706,2016,163.318
medium_variant,706,2017,164.352
medium_variant,706,2018,165.419
medium_variant,706,2019,166.535
medium_variant,706,2020,167.71
medium_variant,706,2021,168.942
medium_variant,706,2022,170.215
medium_variant,706,2023,171.514
medium_variant,706,2024,172.833
medium_variant,706,2025,174.164
medium_variant,706,2026,175.497
medium_variant,706,2027,176.83
medium_variant,706,2028,178.165
medium_variant,706,2029,179.508
medium_variant,706,2030,180.865
medium_variant,706,2031,182.245
medium_variant,706,2032,183.661
medium_variant,706,2033,185.128
medium_variant,706,2034,186.659
medium_variant,706,2035,188.261
medium_variant,706,2036,189.939
medium_variant,706,2037,191.693
medium_variant,706,2038,193.528
medium_variant,706,2039,195.453
medium_variant,706,2040,197.475
medium_variant,706,2041,199.602
medium_variant,706,2042,201.836
medium_variant,706,2043,204.181
medium_variant,706,2044,206.643
medium_variant,706,2045,209.219
medium_variant,706,2046,211.906
medium_variant,706,2047,214.701
medium_variant,706,2048,217.608
medium_variant,706,2049,220.635
medium_variant,706,2050,223.793
medium_variant,706,2051,227.094
medium_variant,706,2052,230.549
medium_variant,706,2053,234.171
medium_variant,706,2054,237.968
medium_variant,706,2055,241.945
medium_variant,706,2056,246.098
medium_variant,706,2057,250.424
medium_variant,706,2058,254.923
medium_variant,706,2059,259.603
medium_variant,706,2060,264.476
medium_variant,706,2061,269.558
medium_variant,706,2062,274.857
medium_variant,706,2063,280.374
medium_variant,706,2064,286.107
medium_variant,706,2065,292.041
medium_variant,706,2066,298.159
medium_variant,706,2067,304.442
medium_variant,706,2068,310.882
medium_variant,706,2069,317.48
medium_variant,706,2070,324.249
medium_variant,706,2071,331.21
medium_variant,706,2072,338.383
medium_variant,706,2073,345.779
medium_variant,706,2074,353.395
medium_variant,706,2075,361.226
medium_variant,706,2076,369.262
medium_variant,706,2077,377.478
medium_variant,706,2078,385.847
medium_variant,706,2079,394.348
medium_variant,706,2080,402.953
medium_variant,706,2081,411.642
medium_variant,706,2082,420.409
medium_variant,706,2083,429.25
medium_variant,706,2084,438.166
medium_variant,706,2085,447.165
medium_variant,706,2086,456.265
medium_variant,706,2087,465.485
medium_variant,706,2088,474.838
medium_variant,706,2089,484.325
medium_variant,706,2090,493.939
medium_variant,706,2091,503.667
medium_variant,706,2092,513.498
medium_variant,706,2093,523.419
medium_variant,706,2094,533.419
medium_variant,706,2095,543.492
medium_variant,706,2096,553.634
medium_variant,706,2097,563.843
medium_variant,706,2098,574.119
medium_variant,706,2099,584.461
