global,year,variant,gender,freq,age5yearinterval,totaldeaths
900,1950,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1950,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1950,estimates,female,5yearly,0_4,48411.143
900,1950,estimates,male,5yearly,0_4,53932.422
900,1950,estimates,female,5yearly,5_9,3853.046
900,1950,estimates,male,5yearly,5_9,4011.049
900,1950,estimates,female,5yearly,10_14,2660.507
900,1950,estimates,male,5yearly,10_14,2985.028
900,1950,estimates,female,5yearly,15_19,2577.599
900,1950,estimates,male,5yearly,15_19,3001.255
900,1950,estimates,female,5yearly,20_24,2940.643
900,1950,estimates,male,5yearly,20_24,3451.725
900,1950,estimates,female,5yearly,25_29,3098.451
900,1950,estimates,male,5yearly,25_29,3358.593
900,1950,estimates,female,5yearly,30_34,3137.33
900,1950,estimates,male,5yearly,30_34,3202.093
900,1950,estimates,female,5yearly,35_39,3302.869
900,1950,estimates,male,5yearly,35_39,3484.769
900,1950,estimates,female,5yearly,40_44,3612.632
900,1950,estimates,male,5yearly,40_44,4135.859
900,1950,estimates,female,5yearly,45_49,3770.548
900,1950,estimates,male,5yearly,45_49,4851.224
900,1950,estimates,female,5yearly,50_54,3948.887
900,1950,estimates,male,5yearly,50_54,5473.961
900,1950,estimates,female,5yearly,55_59,4647.726
900,1950,estimates,male,5yearly,55_59,6271.056
900,1950,estimates,female,5yearly,60_64,5923.763
900,1950,estimates,male,5yearly,60_64,7237.409
900,1950,estimates,female,5yearly,65_69,6906.881
900,1950,estimates,male,5yearly,65_69,7634.6
900,1950,estimates,female,5yearly,70_74,7246.547
900,1950,estimates,male,5yearly,70_74,7239.95
900,1950,estimates,female,5yearly,75_79,6719.689
900,1950,estimates,male,5yearly,75_79,5992.332
900,1950,estimates,female,5yearly,80_84,4742.54
900,1950,estimates,male,5yearly,80_84,3734.998
900,1950,estimates,female,5yearly,85_89,2394.479
900,1950,estimates,male,5yearly,85_89,1639.959
900,1950,estimates,female,5yearly,90_94,931.369
900,1950,estimates,male,5yearly,90_94,533.837
900,1950,estimates,female,5yearly,95plus,296.833
900,1950,estimates,male,5yearly,95plus,132.19
900,1955,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1955,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1955,estimates,female,5yearly,0_4,47284.296
900,1955,estimates,male,5yearly,0_4,52737.7890000001
900,1955,estimates,female,5yearly,5_9,4001.203
900,1955,estimates,male,5yearly,5_9,4064.69
900,1955,estimates,female,5yearly,10_14,2529.621
900,1955,estimates,male,5yearly,10_14,2755.211
900,1955,estimates,female,5yearly,15_19,2299.39
900,1955,estimates,male,5yearly,15_19,2730.009
900,1955,estimates,female,5yearly,20_24,2675.44
900,1955,estimates,male,5yearly,20_24,3204.773
900,1955,estimates,female,5yearly,25_29,2892.919
900,1955,estimates,male,5yearly,25_29,3195.767
900,1955,estimates,female,5yearly,30_34,3018.3
900,1955,estimates,male,5yearly,30_34,3126.397
900,1955,estimates,female,5yearly,35_39,3133.764
900,1955,estimates,male,5yearly,35_39,3313.4
900,1955,estimates,female,5yearly,40_44,3314.346
900,1955,estimates,male,5yearly,40_44,3885.476
900,1955,estimates,female,5yearly,45_49,3592.763
900,1955,estimates,male,5yearly,45_49,4696.011
900,1955,estimates,female,5yearly,50_54,4015.759
900,1955,estimates,male,5yearly,50_54,5677.792
900,1955,estimates,female,5yearly,55_59,4815.081
900,1955,estimates,male,5yearly,55_59,6758.743
900,1955,estimates,female,5yearly,60_64,5916.18
900,1955,estimates,male,5yearly,60_64,7549.434
900,1955,estimates,female,5yearly,65_69,6964.551
900,1955,estimates,male,5yearly,65_69,7950.784
900,1955,estimates,female,5yearly,70_74,7598.458
900,1955,estimates,male,5yearly,70_74,7683.398
900,1955,estimates,female,5yearly,75_79,7129.557
900,1955,estimates,male,5yearly,75_79,6268.753
900,1955,estimates,female,5yearly,80_84,5276.479
900,1955,estimates,male,5yearly,80_84,4050.119
900,1955,estimates,female,5yearly,85_89,2719.154
900,1955,estimates,male,5yearly,85_89,1792.669
900,1955,estimates,female,5yearly,90_94,964.32
900,1955,estimates,male,5yearly,90_94,535.228
900,1955,estimates,female,5yearly,95plus,274.561
900,1955,estimates,male,5yearly,95plus,117.396
900,1960,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1960,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1960,estimates,female,5yearly,0_4,48431.014
900,1960,estimates,male,5yearly,0_4,53679.441
900,1960,estimates,female,5yearly,5_9,4221.762
900,1960,estimates,male,5yearly,5_9,4286.091
900,1960,estimates,female,5yearly,10_14,2777.168
900,1960,estimates,male,5yearly,10_14,3036.012
900,1960,estimates,female,5yearly,15_19,2212.026
900,1960,estimates,male,5yearly,15_19,2629.758
900,1960,estimates,female,5yearly,20_24,2444.399
900,1960,estimates,male,5yearly,20_24,2898.906
900,1960,estimates,female,5yearly,25_29,2708.65
900,1960,estimates,male,5yearly,25_29,2959.305
900,1960,estimates,female,5yearly,30_34,2911.148
900,1960,estimates,male,5yearly,30_34,3045.329
900,1960,estimates,female,5yearly,35_39,3068.762
900,1960,estimates,male,5yearly,35_39,3324.114
900,1960,estimates,female,5yearly,40_44,3216.858
900,1960,estimates,male,5yearly,40_44,3805.339
900,1960,estimates,female,5yearly,45_49,3507.664
900,1960,estimates,male,5yearly,45_49,4656.754
900,1960,estimates,female,5yearly,50_54,4067.415
900,1960,estimates,male,5yearly,50_54,5800.461
900,1960,estimates,female,5yearly,55_59,4962.239
900,1960,estimates,male,5yearly,55_59,7046.473
900,1960,estimates,female,5yearly,60_64,6144.991
900,1960,estimates,male,5yearly,60_64,7956.085
900,1960,estimates,female,5yearly,65_69,7095.64100000001
900,1960,estimates,male,5yearly,65_69,8214.296
900,1960,estimates,female,5yearly,70_74,7672.222
900,1960,estimates,male,5yearly,70_74,7821.6
900,1960,estimates,female,5yearly,75_79,7367.768
900,1960,estimates,male,5yearly,75_79,6370.245
900,1960,estimates,female,5yearly,80_84,5541.007
900,1960,estimates,male,5yearly,80_84,4130.022
900,1960,estimates,female,5yearly,85_89,3040.322
900,1960,estimates,male,5yearly,85_89,1983.993
900,1960,estimates,female,5yearly,90_94,1128.5
900,1960,estimates,male,5yearly,90_94,613.934
900,1960,estimates,female,5yearly,95plus,285.691
900,1960,estimates,male,5yearly,95plus,120.37
900,1965,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1965,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1965,estimates,female,5yearly,0_4,43027.793
900,1965,estimates,male,5yearly,0_4,49679.266
900,1965,estimates,female,5yearly,5_9,3428.541
900,1965,estimates,male,5yearly,5_9,3520.517
900,1965,estimates,female,5yearly,10_14,2179.174
900,1965,estimates,male,5yearly,10_14,2353.269
900,1965,estimates,female,5yearly,15_19,1947.28
900,1965,estimates,male,5yearly,15_19,2276.479
900,1965,estimates,female,5yearly,20_24,2071.705
900,1965,estimates,male,5yearly,20_24,2461.939
900,1965,estimates,female,5yearly,25_29,2186.917
900,1965,estimates,male,5yearly,25_29,2501.346
900,1965,estimates,female,5yearly,30_34,2385.633
900,1965,estimates,male,5yearly,30_34,2660.267
900,1965,estimates,female,5yearly,35_39,2567.549
900,1965,estimates,male,5yearly,35_39,2982.422
900,1965,estimates,female,5yearly,40_44,2785.13
900,1965,estimates,male,5yearly,40_44,3444.614
900,1965,estimates,female,5yearly,45_49,3120.373
900,1965,estimates,male,5yearly,45_49,3977.34
900,1965,estimates,female,5yearly,50_54,3700.281
900,1965,estimates,male,5yearly,50_54,4883.517
900,1965,estimates,female,5yearly,55_59,4620.764
900,1965,estimates,male,5yearly,55_59,6267.532
900,1965,estimates,female,5yearly,60_64,5738.958
900,1965,estimates,male,5yearly,60_64,7615.085
900,1965,estimates,female,5yearly,65_69,6755.862
900,1965,estimates,male,5yearly,65_69,8213.915
900,1965,estimates,female,5yearly,70_74,7422.825
900,1965,estimates,male,5yearly,70_74,7762.64
900,1965,estimates,female,5yearly,75_79,7495.621
900,1965,estimates,male,5yearly,75_79,6523.205
900,1965,estimates,female,5yearly,80_84,6110.104
900,1965,estimates,male,5yearly,80_84,4464.913
900,1965,estimates,female,5yearly,85_89,3517.23
900,1965,estimates,male,5yearly,85_89,2200.656
900,1965,estimates,female,5yearly,90_94,1372.751
900,1965,estimates,male,5yearly,90_94,721.373
900,1965,estimates,female,5yearly,95plus,351.548
900,1965,estimates,male,5yearly,95plus,143.886
900,1970,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1970,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1970,estimates,female,5yearly,0_4,39807.446
900,1970,estimates,male,5yearly,0_4,44607.347
900,1970,estimates,female,5yearly,5_9,3301.527
900,1970,estimates,male,5yearly,5_9,3369.47
900,1970,estimates,female,5yearly,10_14,2092.32
900,1970,estimates,male,5yearly,10_14,2279.149
900,1970,estimates,female,5yearly,15_19,1832.582
900,1970,estimates,male,5yearly,15_19,2152.674
900,1970,estimates,female,5yearly,20_24,2002.213
900,1970,estimates,male,5yearly,20_24,2401.31
900,1970,estimates,female,5yearly,25_29,1923.342
900,1970,estimates,male,5yearly,25_29,2235.024
900,1970,estimates,female,5yearly,30_34,1976.002
900,1970,estimates,male,5yearly,30_34,2303.662
900,1970,estimates,female,5yearly,35_39,2167.23
900,1970,estimates,male,5yearly,35_39,2667.641
900,1970,estimates,female,5yearly,40_44,2414.702
900,1970,estimates,male,5yearly,40_44,3241.163
900,1970,estimates,female,5yearly,45_49,2824.175
900,1970,estimates,male,5yearly,45_49,4015.187
900,1970,estimates,female,5yearly,50_54,3394.693
900,1970,estimates,male,5yearly,50_54,4835.232
900,1970,estimates,female,5yearly,55_59,4376.232
900,1970,estimates,male,5yearly,55_59,6204.136
900,1970,estimates,female,5yearly,60_64,5805.08
900,1970,estimates,male,5yearly,60_64,7882.652
900,1970,estimates,female,5yearly,65_69,7168.208
900,1970,estimates,male,5yearly,65_69,8861.739
900,1970,estimates,female,5yearly,70_74,8207.925
900,1970,estimates,male,5yearly,70_74,8751.044
900,1970,estimates,female,5yearly,75_79,8257.51
900,1970,estimates,male,5yearly,75_79,7335.1
900,1970,estimates,female,5yearly,80_84,6894.3
900,1970,estimates,male,5yearly,80_84,5042.263
900,1970,estimates,female,5yearly,85_89,4239.985
900,1970,estimates,male,5yearly,85_89,2548.426
900,1970,estimates,female,5yearly,90_94,1701.283
900,1970,estimates,male,5yearly,90_94,836.991
900,1970,estimates,female,5yearly,95plus,452.449
900,1970,estimates,male,5yearly,95plus,175.614
900,1975,estimates,female,5yearly,"Region, subregion, country or area *",WORLD
900,1975,estimates,male,5yearly,"Region, subregion, country or area *",WORLD
900,1975,estimates,female,5yearly,0_4,35521.041
900,1975,estimates,male,5yearly,0_4,39834.013
900,1975,estimates,female,5yearly,5_9,2978.503
900,1975,estimates,male,5yearly,5_9,3053.048
900,1975,estimates,female,5yearly,10_14,1968.999
900,1975,estimates,male,5yearly,10_14,2217.042
900,1975,estimates,female,5yearly,15_19,1850.753
900,1975,estimates,male,5yearly,15_19,2230.862
900,1975,estimates,female,5yearly,20_24,2087.575
900,1975,estimates,male,5yearly,20_24,2581.423
900,1975,estimates,female,5yearly,25_29,1999.13
900,1975,estimates,male,5yearly,25_29,2459.337
900,1975,estimates,female,5yearly,30_34,1863.165
