global,year,variant,freq,agebroad,totaldeaths
900,1950,estimates,5yearly,0_4,102343.565
900,1950,estimates,5yearly,5_9,7864.095
900,1950,estimates,5yearly,10_14,5645.535
900,1950,estimates,5yearly,15_19,5578.854
900,1950,estimates,5yearly,20_24,6392.368
900,1950,estimates,5yearly,25_29,6457.044
900,1950,estimates,5yearly,30_34,6339.423
900,1950,estimates,5yearly,35_39,6787.638
900,1950,estimates,5yearly,40_44,7748.491
900,1950,estimates,5yearly,45_49,8621.772
900,1950,estimates,5yearly,50_54,9422.848
900,1950,estimates,5yearly,55_59,10918.782
900,1950,estimates,5yearly,60_64,13161.172
900,1950,estimates,5yearly,65_69,14541.481
900,1950,estimates,5yearly,70_74,14486.497
900,1950,estimates,5yearly,75_79,12712.021
900,1950,estimates,5yearly,80_84,8477.538
900,1950,estimates,5yearly,85_89,4034.438
900,1950,estimates,5yearly,90_94,1465.206
900,1950,estimates,5yearly,95plus,429.023
900,1950,estimates,5yearly,0_14,115853.195
900,1950,estimates,5yearly,0_19,121432.049
900,1950,estimates,5yearly,0_24,127824.417
900,1950,estimates,5yearly,5_14,13509.63
900,1950,estimates,5yearly,15plus,137574.596
900,1950,estimates,5yearly,15_24,11971.222
900,1950,estimates,5yearly,15_49,47925.59
900,1950,estimates,5yearly,15_59,68267.22
900,1950,estimates,5yearly,15_64,81428.392
900,1950,estimates,5yearly,20plus,131995.742
900,1950,estimates,5yearly,20_64,75849.538
900,1950,estimates,5yearly,20_69,90391.019
900,1950,estimates,5yearly,25plus,125603.374
900,1950,estimates,5yearly,25_69,83998.651
900,1950,estimates,5yearly,40plus,106019.269
900,1950,estimates,5yearly,50plus,89649.006
900,1950,estimates,5yearly,60plus,69307.376
900,1950,estimates,5yearly,65plus,56146.204
900,1950,estimates,5yearly,70plus,41604.723
900,1950,estimates,5yearly,80plus,14406.205
900,1950,estimates,5yearly,90plus,1894.229
900,1955,estimates,5yearly,0_4,100022.085
900,1955,estimates,5yearly,5_9,8065.89300000001
900,1955,estimates,5yearly,10_14,5284.832
900,1955,estimates,5yearly,15_19,5029.399
900,1955,estimates,5yearly,20_24,5880.213
900,1955,estimates,5yearly,25_29,6088.686
900,1955,estimates,5yearly,30_34,6144.697
900,1955,estimates,5yearly,35_39,6447.164
900,1955,estimates,5yearly,40_44,7199.822
900,1955,estimates,5yearly,45_49,8288.774
900,1955,estimates,5yearly,50_54,9693.551
900,1955,estimates,5yearly,55_59,11573.824
900,1955,estimates,5yearly,60_64,13465.614
900,1955,estimates,5yearly,65_69,14915.335
900,1955,estimates,5yearly,70_74,15281.856
900,1955,estimates,5yearly,75_79,13398.31
900,1955,estimates,5yearly,80_84,9326.598
900,1955,estimates,5yearly,85_89,4511.823
900,1955,estimates,5yearly,90_94,1499.548
900,1955,estimates,5yearly,95plus,391.957
900,1955,estimates,5yearly,0_14,113372.81
900,1955,estimates,5yearly,0_19,118402.209
900,1955,estimates,5yearly,0_24,124282.422
900,1955,estimates,5yearly,5_14,13350.725
900,1955,estimates,5yearly,15plus,139137.171
900,1955,estimates,5yearly,15_24,10909.612
900,1955,estimates,5yearly,15_49,45078.755
900,1955,estimates,5yearly,15_59,66346.13
900,1955,estimates,5yearly,15_64,79811.744
900,1955,estimates,5yearly,20plus,134107.772
900,1955,estimates,5yearly,20_64,74782.345
900,1955,estimates,5yearly,20_69,89697.68
900,1955,estimates,5yearly,25plus,128227.559
900,1955,estimates,5yearly,25_69,83817.467
900,1955,estimates,5yearly,40plus,109547.012
900,1955,estimates,5yearly,50plus,94058.416
900,1955,estimates,5yearly,60plus,72791.041
900,1955,estimates,5yearly,65plus,59325.427
900,1955,estimates,5yearly,70plus,44410.092
900,1955,estimates,5yearly,80plus,15729.926
900,1955,estimates,5yearly,90plus,1891.505
900,1960,estimates,5yearly,0_4,102110.455
900,1960,estimates,5yearly,5_9,8507.853
900,1960,estimates,5yearly,10_14,5813.18
900,1960,estimates,5yearly,15_19,4841.784
900,1960,estimates,5yearly,20_24,5343.305
900,1960,estimates,5yearly,25_29,5667.955
900,1960,estimates,5yearly,30_34,5956.477
900,1960,estimates,5yearly,35_39,6392.876
900,1960,estimates,5yearly,40_44,7022.197
900,1960,estimates,5yearly,45_49,8164.418
900,1960,estimates,5yearly,50_54,9867.876
900,1960,estimates,5yearly,55_59,12008.712
900,1960,estimates,5yearly,60_64,14101.076
900,1960,estimates,5yearly,65_69,15309.937
900,1960,estimates,5yearly,70_74,15493.822
900,1960,estimates,5yearly,75_79,13738.013
900,1960,estimates,5yearly,80_84,9671.029
900,1960,estimates,5yearly,85_89,5024.315
900,1960,estimates,5yearly,90_94,1742.434
900,1960,estimates,5yearly,95plus,406.061
900,1960,estimates,5yearly,0_14,116431.488
900,1960,estimates,5yearly,0_19,121273.272
900,1960,estimates,5yearly,0_24,126616.577
900,1960,estimates,5yearly,5_14,14321.033
900,1960,estimates,5yearly,15plus,140752.287
900,1960,estimates,5yearly,15_24,10185.089
900,1960,estimates,5yearly,15_49,43389.012
900,1960,estimates,5yearly,15_59,65265.6
900,1960,estimates,5yearly,15_64,79366.676
900,1960,estimates,5yearly,20plus,135910.503
900,1960,estimates,5yearly,20_64,74524.892
900,1960,estimates,5yearly,20_69,89834.829
900,1960,estimates,5yearly,25plus,130567.198
900,1960,estimates,5yearly,25_69,84491.524
900,1960,estimates,5yearly,40plus,112549.89
900,1960,estimates,5yearly,50plus,97363.275
900,1960,estimates,5yearly,60plus,75486.687
900,1960,estimates,5yearly,65plus,61385.611
900,1960,estimates,5yearly,70plus,46075.674
900,1960,estimates,5yearly,80plus,16843.839
900,1960,estimates,5yearly,90plus,2148.495
900,1965,estimates,5yearly,0_4,92707.059
900,1965,estimates,5yearly,5_9,6949.05799999999
900,1965,estimates,5yearly,10_14,4532.443
900,1965,estimates,5yearly,15_19,4223.759
900,1965,estimates,5yearly,20_24,4533.644
900,1965,estimates,5yearly,25_29,4688.263
900,1965,estimates,5yearly,30_34,5045.9
900,1965,estimates,5yearly,35_39,5549.971
900,1965,estimates,5yearly,40_44,6229.744
900,1965,estimates,5yearly,45_49,7097.713
900,1965,estimates,5yearly,50_54,8583.798
900,1965,estimates,5yearly,55_59,10888.296
900,1965,estimates,5yearly,60_64,13354.043
900,1965,estimates,5yearly,65_69,14969.777
900,1965,estimates,5yearly,70_74,15185.465
900,1965,estimates,5yearly,75_79,14018.826
900,1965,estimates,5yearly,80_84,10575.017
900,1965,estimates,5yearly,85_89,5717.886
900,1965,estimates,5yearly,90_94,2094.124
900,1965,estimates,5yearly,95plus,495.434
900,1965,estimates,5yearly,0_14,104188.56
900,1965,estimates,5yearly,0_19,108412.319
900,1965,estimates,5yearly,0_24,112945.963
900,1965,estimates,5yearly,5_14,11481.501
900,1965,estimates,5yearly,15plus,133251.66
900,1965,estimates,5yearly,15_24,8757.403
900,1965,estimates,5yearly,15_49,37368.994
900,1965,estimates,5yearly,15_59,56841.088
900,1965,estimates,5yearly,15_64,70195.131
900,1965,estimates,5yearly,20plus,129027.901
900,1965,estimates,5yearly,20_64,65971.372
900,1965,estimates,5yearly,20_69,80941.149
900,1965,estimates,5yearly,25plus,124494.257
900,1965,estimates,5yearly,25_69,76407.505
900,1965,estimates,5yearly,40plus,109210.123
900,1965,estimates,5yearly,50plus,95882.666
900,1965,estimates,5yearly,60plus,76410.572
900,1965,estimates,5yearly,65plus,63056.529
900,1965,estimates,5yearly,70plus,48086.752
