global,variant,gender,freq,year,totaldeaths
900,estimates,female,5Yearly,1950,121521.775
900,estimates,male,5Yearly,1950,132677.376
900,estimates,female,5Yearly,1955,120649.831
900,estimates,male,5Yearly,1955,132258.043
900,estimates,female,5Yearly,1960,122780.703
900,estimates,male,5Yearly,1960,134200.799
900,estimates,female,5Yearly,1965,112724.458
900,estimates,male,5Yearly,1965,124455.078
900,estimates,female,5Yearly,1970,110753.769
900,estimates,male,5Yearly,1970,121510.394
900,estimates,female,5Yearly,1975,108603.289
900,estimates,male,5Yearly,1975,120219.443
900,estimates,female,5Yearly,1980,110212.617
900,estimates,male,5Yearly,1980,123337.877
900,estimates,female,5Yearly,1985,114293.926
900,estimates,male,5Yearly,1985,126895.744
900,estimates,female,5Yearly,1990,118041.011
900,estimates,male,5Yearly,1990,132940.941
900,estimates,female,5Yearly,1995,121553.801
900,estimates,male,5Yearly,1995,137259.619
900,estimates,female,5Yearly,2000,125122.979
900,estimates,male,5Yearly,2000,140293.642
900,estimates,female,5Yearly,2005,126842.875
900,estimates,male,5Yearly,2005,143634.853
900,estimates,female,5Yearly,2010,130640.182
900,estimates,male,5Yearly,2010,148826.538
900,constant-fertility,female,5Yearly,2015,138217.564
900,constant-fertility,male,5Yearly,2015,157942.423
900,constant-mortality,female,5Yearly,2015,147969.481
900,constant-mortality,male,5Yearly,2015,168493.513
900,high variant,female,5Yearly,2015,138346.62
900,high variant,male,5Yearly,2015,158090.749
900,instant-replacement,female,5Yearly,2015,133954.406
900,instant-replacement,male,5Yearly,2015,152883.588
900,low variant,female,5Yearly,2015,136531.246
900,low variant,male,5Yearly,2015,155912.363
900,medium variant,female,5Yearly,2015,137439.494
900,medium variant,male,5Yearly,2015,157002.245
900,no change,female,5Yearly,2015,148875.274
900,no change,male,5Yearly,2015,169560.141
900,zero-migration,female,5Yearly,2015,137490.931
900,zero-migration,male,5Yearly,2015,157065.026
900,constant-fertility,female,5Yearly,2020,147369.175
900,constant-fertility,male,5Yearly,2020,168692.022
900,constant-mortality,female,5Yearly,2020,165881.496
900,constant-mortality,male,5Yearly,2020,188916.46
900,high variant,female,5Yearly,2020,147220.796
900,high variant,male,5Yearly,2020,168495.226
900,instant-replacement,female,5Yearly,2020,141622.086
900,instant-replacement,male,5Yearly,2020,161932.008
900,low variant,female,5Yearly,2020,144165.549
900,low variant,male,5Yearly,2020,164851.27
900,medium variant,female,5Yearly,2020,145693.379
900,medium variant,male,5Yearly,2020,166673.504
