global,variant,freq,year,totaldeaths
900,estimates,5Yearly,1950,254199.151
900,estimates,5Yearly,1955,252907.874
900,estimates,5Yearly,1960,256981.502
900,estimates,5Yearly,1965,237179.536
900,estimates,5Yearly,1970,232264.163
900,estimates,5Yearly,1975,228822.732
900,estimates,5Yearly,1980,233550.494
900,estimates,5Yearly,1985,241189.67
900,estimates,5Yearly,1990,250981.952
900,estimates,5Yearly,1995,258813.42
900,estimates,5Yearly,2000,265416.621
900,estimates,5Yearly,2005,270477.728
900,estimates,5Yearly,2010,279466.72
900,constant-fertility,5Yearly,2015,296159.987
900,constant-mortality,5Yearly,2015,316462.994
900,high variant,5Yearly,2015,296437.369
900,instant-replacement,5Yearly,2015,286837.994
900,low variant,5Yearly,2015,292443.609
900,medium variant,5Yearly,2015,294441.739
900,no change,5Yearly,2015,318435.415
900,zero-migration,5Yearly,2015,294555.957
900,constant-fertility,5Yearly,2020,316061.197
900,constant-mortality,5Yearly,2020,354797.956
900,high variant,5Yearly,2020,315716.022
900,instant-replacement,5Yearly,2020,303554.094
900,low variant,5Yearly,2020,309016.819
900,medium variant,5Yearly,2020,312366.883
900,no change,5Yearly,2020,359650.801
900,zero-migration,5Yearly,2020,312686.67
900,constant-fertility,5Yearly,2025,339076.3
900,constant-mortality,5Yearly,2025,396202.336
900,high variant,5Yearly,2025,337698.892
900,instant-replacement,5Yearly,2025,325051.094
900,low variant,5Yearly,2025,329302.348
900,medium variant,5Yearly,2025,333501.068
900,no change,5Yearly,2025,404515.894
900,zero-migration,5Yearly,2025,334041.171
900,constant-fertility,5Yearly,2030,366083.5
900,constant-mortality,5Yearly,2030,440894.078
900,high variant,5Yearly,2030,363083.159
900,instant-replacement,5Yearly,2030,350500.766
900,low variant,5Yearly,2030,354280.973
900,medium variant,5Yearly,2030,358672.705
900,no change,5Yearly,2030,453389.655
900,zero-migration,5Yearly,2030,359437.223
900,constant-fertility,5Yearly,2035,395782.957
900,constant-mortality,5Yearly,2035,486688.569
900,high variant,5Yearly,2035,391131.702
900,instant-replacement,5Yearly,2035,377507.914
900,low variant,5Yearly,2035,381464.945
900,medium variant,5Yearly,2035,386238.025
900,no change,5Yearly,2035,504686.689
900,zero-migration,5Yearly,2035,387248.374
900,constant-fertility,5Yearly,2040,426318.083
900,constant-mortality,5Yearly,2040,529956.232
900,high variant,5Yearly,2040,419917.081
900,instant-replacement,5Yearly,2040,404388.408
900,low variant,5Yearly,2040,408717.91
900,medium variant,5Yearly,2040,414156.934
900,no change,5Yearly,2040,555354.303
900,zero-migration,5Yearly,2040,415446.635
900,constant-fertility,5Yearly,2045,456055.538
900,constant-mortality,5Yearly,2045,568197.638
900,high variant,5Yearly,2045,447619.808
900,instant-replacement,5Yearly,2045,430186.778
900,low variant,5Yearly,2045,434596.758
900,medium variant,5Yearly,2045,440827.687
900,no change,5Yearly,2045,603194.231
900,zero-migration,5Yearly,2045,442426.069
900,constant-fertility,5Yearly,2050,483755.116
900,constant-mortality,5Yearly,2050,600702.985
900,high variant,5Yearly,2050,472898.511
900,instant-replacement,5Yearly,2050,453896.664
900,low variant,5Yearly,2050,458102.796999999
900,medium variant,5Yearly,2050,465110.054
900,no change,5Yearly,2050,647724.964
900,zero-migration,5Yearly,2050,467020.889
900,constant-fertility,5Yearly,2055,510330.471
900,constant-mortality,5Yearly,2055,627766.941
900,high variant,5Yearly,2055,496637.383
900,instant-replacement,5Yearly,2055,476151.658
900,low variant,5Yearly,2055,480080.615
900,medium variant,5Yearly,2055,487873.009
900,no change,5Yearly,2055,689614.019
900,zero-migration,5Yearly,2055,490088.904
900,constant-fertility,5Yearly,2060,535588.307
900,constant-mortality,5Yearly,2060,650148.14
900,high variant,5Yearly,2060,518640.617
