variant,global,year,totaldeaths,gender
estimates,900,1950,26714.307,male
estimates,900,1951,26623.928,male
estimates,900,1952,26470.189,male
estimates,900,1953,26370.487,male
estimates,900,1954,26324.815,male
estimates,900,1955,26331.496,male
estimates,900,1956,26384.828,male
estimates,900,1957,26477.121,male
estimates,900,1958,26593.497,male
estimates,900,1959,26707.881,male
estimates,900,1960,26790.77,male
estimates,900,1961,26812.589,male
estimates,900,1962,26746.476,male
estimates,900,1963,26579.1,male
estimates,900,1964,26315.86,male
estimates,900,1965,25980.204,male
estimates,900,1966,25609.6,male
estimates,900,1967,25249.998,male
estimates,900,1968,24938.086,male
estimates,900,1969,24691.11,male
estimates,900,1970,24513.071,male
estimates,900,1971,24393.497,male
estimates,900,1972,24307.438,male
estimates,900,1973,24236.402,male
estimates,900,1974,24177.501,male
estimates,900,1975,24134.297,male
estimates,900,1976,24115.173,male
estimates,900,1977,24129.145,male
estimates,900,1978,24180.774,male
estimates,900,1979,24268.068,male
estimates,900,1980,24384.425,male
estimates,900,1981,24520.21,male
estimates,900,1982,24665.392,male
estimates,900,1983,24812.779,male
estimates,900,1984,24959.848,male
estimates,900,1985,25109.907,male
estimates,900,1986,25270.492,male
estimates,900,1987,25449.227,male
estimates,900,1988,25649.64,male
estimates,900,1989,25869.387,male
estimates,900,1990,26103.262,male
estimates,900,1991,26343.811,male
estimates,900,1992,26581.512,male
estimates,900,1993,26807.978,male
estimates,900,1994,27017.984,male
estimates,900,1995,27207.456,male
estimates,900,1996,27374.905,male
estimates,900,1997,27524.034,male
estimates,900,1998,27658.811,male
estimates,900,1999,27781.267,male
estimates,900,2000,27892.913,male
estimates,900,2001,27995.11,male
estimates,900,2002,28090.755,male
estimates,900,2003,28183.726,male
estimates,900,2004,28278.148,male
estimates,900,2005,28376.328,male
estimates,900,2006,28479.198,male
estimates,900,2007,28588.66,male
estimates,900,2008,28708.522,male
estimates,900,2009,28844.25,male
estimates,900,2010,29003.024,male
estimates,900,2011,29191.689,male
estimates,900,2012,29413.426,male
estimates,900,2013,29669.715,male
estimates,900,2014,29960.969,male
estimates,900,2015,30285.44,male
medium_variant,900,2015,30285.44,male
medium_variant,900,2016,30639.233,male
medium_variant,900,2017,31015.877,male
medium_variant,900,2018,31409.651,male
