variant,global,year,totaldeaths
estimates,900,1950,51269.891
estimates,900,1951,51066.114
estimates,900,1952,50716.238
estimates,900,1953,50481.769
estimates,900,1954,50362.705
estimates,900,1955,50355.58
estimates,900,1956,50448.478
estimates,900,1957,50625.477
estimates,900,1958,50855.761
estimates,900,1959,51085.141
estimates,900,1960,51252.428
estimates,900,1961,51296.328
estimates,900,1962,51161.302
estimates,900,1963,50819.932
estimates,900,1964,50283.834
estimates,900,1965,49603.905
estimates,900,1966,48860.594
estimates,900,1967,48149.49
estimates,900,1968,47545.074
estimates,900,1969,47080.043
estimates,900,1970,46757.869
estimates,900,1971,46551.213
estimates,900,1972,46403.274
estimates,900,1973,46271.8
estimates,900,1974,46148.597
estimates,900,1975,46038.561
estimates,900,1976,45957.965
estimates,900,1977,45929.6
estimates,900,1978,45968.523
estimates,900,1979,46075.615
estimates,900,1980,46246.378
estimates,900,1981,46470.916
estimates,900,1982,46732.929
estimates,900,1983,47018.019
estimates,900,1984,47318.249
estimates,900,1985,47630.923
estimates,900,1986,47958.224
estimates,900,1987,48304.147
estimates,900,1988,48668.882
estimates,900,1989,49047.033
estimates,900,1990,49431.922
estimates,900,1991,49816.595
estimates,900,1992,50194.504
estimates,900,1993,50559.546
estimates,900,1994,50906.855
estimates,900,1995,51233.472
estimates,900,1996,51539.187
estimates,900,1997,51827.227
estimates,900,1998,52099.971
estimates,900,1999,52357.352
estimates,900,2000,52595.995
estimates,900,2001,52811.536
estimates,900,2002,53004.197
estimates,900,2003,53177.714
estimates,900,2004,53338.367
estimates,900,2005,53490.933
estimates,900,2006,53639.924
estimates,900,2007,53794.706
estimates,900,2008,53967.674
estimates,900,2009,54171.896
estimates,900,2010,54423.12
estimates,900,2011,54735.337
estimates,900,2012,55113.744
estimates,900,2013,55560.388
estimates,900,2014,56076.072
estimates,900,2015,56657.065
medium_variant,900,2015,56657.065
medium_variant,900,2016,57295.122
medium_variant,900,2017,57977.128
medium_variant,900,2018,58691.692
medium_variant,900,2019,59432.79
medium_variant,900,2020,60196.902
medium_variant,900,2021,60983.756
medium_variant,900,2022,61797.314
medium_variant,900,2023,62640.437
medium_variant,900,2024,63512.868
medium_variant,900,2025,64414.601
medium_variant,900,2026,65345.773
medium_variant,900,2027,66306.134
medium_variant,900,2028,67295.127
medium_variant,900,2029,68312.018
medium_variant,900,2030,69358.051
medium_variant,900,2031,70435.188
medium_variant,900,2032,71542.577
medium_variant,900,2033,72677.094
medium_variant,900,2034,73834.088
medium_variant,900,2035,75008.652
medium_variant,900,2036,76195.992
medium_variant,900,2037,77390.531
medium_variant,900,2038,78586.2
medium_variant,900,2039,79777.263
medium_variant,900,2040,80959.805
medium_variant,900,2041,82132.171
medium_variant,900,2042,83294.766
medium_variant,900,2043,84446.79
medium_variant,900,2044,85585.321
medium_variant,900,2045,86707.668
medium_variant,900,2046,87811.866
medium_variant,900,2047,88897.167
medium_variant,900,2048,89962.796
medium_variant,900,2049,91007.52
medium_variant,900,2050,92030.667
medium_variant,900,2051,93032.286
medium_variant,900,2052,94013.379
medium_variant,900,2053,94974.69
medium_variant,900,2054,95916.25
medium_variant,900,2055,96837.848
medium_variant,900,2056,97739.09
medium_variant,900,2057,98619.932
medium_variant,900,2058,99480.638
medium_variant,900,2059,100321.715
medium_variant,900,2060,101143.522
medium_variant,900,2061,101946.431
medium_variant,900,2062,102731.209
medium_variant,900,2063,103498.91
medium_variant,900,2064,104250.627
medium_variant,900,2065,104987.993
medium_variant,900,2066,105712.616
medium_variant,900,2067,106424.912
medium_variant,900,2068,107124.79
medium_variant,900,2069,107811.786
medium_variant,900,2070,108485.824
medium_variant,900,2071,109146.578
medium_variant,900,2072,109792.106
medium_variant,900,2073,110419.693
medium_variant,900,2074,111026.575
medium_variant,900,2075,111609.473
medium_variant,900,2076,112165.33
medium_variant,900,2077,112692.402
medium_variant,900,2078,113189.397
medium_variant,900,2079,113655.325
medium_variant,900,2080,114088.304
medium_variant,900,2081,114486.983
medium_variant,900,2082,114853.741
medium_variant,900,2083,115192.556
medium_variant,900,2084,115507.648
medium_variant,900,2085,115803.012
medium_variant,900,2086,116082.232
medium_variant,900,2087,116349.936
medium_variant,900,2088,116611.605
medium_variant,900,2089,116872.841
medium_variant,900,2090,117138.214
medium_variant,900,2091,117410.835
medium_variant,900,2092,117692.662
medium_variant,900,2093,117984.898
medium_variant,900,2094,118288.103
medium_variant,900,2095,118602.743
medium_variant,900,2096,118929.221
medium_variant,900,2097,119267.454
medium_variant,900,2098,119617.396
medium_variant,900,2099,119979.049
