region,year,variant,gender,freq,age5yearinterval,totaldeaths
910,1950,estimates,female,5yearly,"Region, subregion, country or area *",Eastern Africa
910,1950,estimates,male,5yearly,"Region, subregion, country or area *",Eastern Africa
910,1950,estimates,female,5yearly,0_4,2460.459
910,1950,estimates,male,5yearly,0_4,2766.709
910,1950,estimates,female,5yearly,5_9,271.219
910,1950,estimates,male,5yearly,5_9,270.882
910,1950,estimates,female,5yearly,10_14,151.436
910,1950,estimates,male,5yearly,10_14,147.789
910,1950,estimates,female,5yearly,15_19,121.714
910,1950,estimates,male,5yearly,15_19,129.932
910,1950,estimates,female,5yearly,20_24,128.148
910,1950,estimates,male,5yearly,20_24,153.585
910,1950,estimates,female,5yearly,25_29,127.056
910,1950,estimates,male,5yearly,25_29,146.962
910,1950,estimates,female,5yearly,30_34,124.375
910,1950,estimates,male,5yearly,30_34,131.952
910,1950,estimates,female,5yearly,35_39,119.272
910,1950,estimates,male,5yearly,35_39,127.54
910,1950,estimates,female,5yearly,40_44,110.893
910,1950,estimates,male,5yearly,40_44,128.211
910,1950,estimates,female,5yearly,45_49,104.053
910,1950,estimates,male,5yearly,45_49,128.427
910,1950,estimates,female,5yearly,50_54,105.138
910,1950,estimates,male,5yearly,50_54,125.42
910,1950,estimates,female,5yearly,55_59,115.905
910,1950,estimates,male,5yearly,55_59,125.956
910,1950,estimates,female,5yearly,60_64,133.753
910,1950,estimates,male,5yearly,60_64,132.94
910,1950,estimates,female,5yearly,65_69,150.688
910,1950,estimates,male,5yearly,65_69,138.323
910,1950,estimates,female,5yearly,70_74,150.739
910,1950,estimates,male,5yearly,70_74,131.255
910,1950,estimates,female,5yearly,75_79,124.099
910,1950,estimates,male,5yearly,75_79,101.372
910,1950,estimates,female,5yearly,80_84,73.518
910,1950,estimates,male,5yearly,80_84,55.827
910,1950,estimates,female,5yearly,85_89,28.738
910,1950,estimates,male,5yearly,85_89,19.672
910,1950,estimates,female,5yearly,90_94,7.908
910,1950,estimates,male,5yearly,90_94,4.366
910,1950,estimates,female,5yearly,95plus,1.351
910,1950,estimates,male,5yearly,95plus,0.517
910,1955,estimates,female,5yearly,"Region, subregion, country or area *",Eastern Africa
910,1955,estimates,male,5yearly,"Region, subregion, country or area *",Eastern Africa
910,1955,estimates,female,5yearly,0_4,2507.071
910,1955,estimates,male,5yearly,0_4,2823.803
910,1955,estimates,female,5yearly,5_9,277.743
910,1955,estimates,male,5yearly,5_9,277.773
910,1955,estimates,female,5yearly,10_14,155.163
910,1955,estimates,male,5yearly,10_14,152.445
910,1955,estimates,female,5yearly,15_19,123.113
910,1955,estimates,male,5yearly,15_19,132.062
910,1955,estimates,female,5yearly,20_24,130.092
910,1955,estimates,male,5yearly,20_24,155.732
910,1955,estimates,female,5yearly,25_29,130.813
910,1955,estimates,male,5yearly,25_29,150.872
910,1955,estimates,female,5yearly,30_34,127.876
910,1955,estimates,male,5yearly,30_34,135.564
910,1955,estimates,female,5yearly,35_39,121.816
910,1955,estimates,male,5yearly,35_39,130.367
910,1955,estimates,female,5yearly,40_44,111.924
