region,year,variant,gender,freq,age5yearinterval,totaldeaths
928,1950,estimates,female,5Yearly,0_4,50.644
928,1950,estimates,male,5Yearly,0_4,62.36
928,1950,estimates,female,5Yearly,5_9,4.527
928,1950,estimates,male,5Yearly,5_9,5.395
928,1950,estimates,female,5Yearly,10_14,3.292
928,1950,estimates,male,5Yearly,10_14,3.938
928,1950,estimates,female,5Yearly,15_19,5.355
928,1950,estimates,male,5Yearly,15_19,5.132
928,1950,estimates,female,5Yearly,20_24,6.928
928,1950,estimates,male,5Yearly,20_24,6.352
928,1950,estimates,female,5Yearly,25_29,6.911
928,1950,estimates,male,5Yearly,25_29,6.497
928,1950,estimates,female,5Yearly,30_34,6.387
928,1950,estimates,male,5Yearly,30_34,6.506
928,1950,estimates,female,5Yearly,35_39,5.732
928,1950,estimates,male,5Yearly,35_39,6.819
928,1950,estimates,female,5Yearly,40_44,5.164
928,1950,estimates,male,5Yearly,40_44,7.145
928,1950,estimates,female,5Yearly,45_49,5.01
928,1950,estimates,male,5Yearly,45_49,7.433
928,1950,estimates,female,5Yearly,50_54,5.189
928,1950,estimates,male,5Yearly,50_54,7.642
928,1950,estimates,female,5Yearly,55_59,4.953
928,1950,estimates,male,5Yearly,55_59,7.15
928,1950,estimates,female,5Yearly,60_64,4.82
928,1950,estimates,male,5Yearly,60_64,7.048
928,1950,estimates,female,5Yearly,65_69,5.604
928,1950,estimates,male,5Yearly,65_69,8.293
928,1950,estimates,female,5Yearly,70_74,5.886
928,1950,estimates,male,5Yearly,70_74,8.437
928,1950,estimates,female,5Yearly,75_79,4.904
928,1950,estimates,male,5Yearly,75_79,6.676
928,1950,estimates,female,5Yearly,80_84,2.776
928,1950,estimates,male,5Yearly,80_84,3.89
928,1950,estimates,female,5Yearly,85_89,1.003
928,1950,estimates,male,5Yearly,85_89,1.405
928,1950,estimates,female,5Yearly,90_94,0.29
928,1950,estimates,male,5Yearly,90_94,0.338
928,1950,estimates,female,5Yearly,95plus,0.054
928,1950,estimates,male,5Yearly,95plus,0.06
928,1955,estimates,female,5Yearly,0_4,49.995
928,1955,estimates,male,5Yearly,0_4,60.651
928,1955,estimates,female,5Yearly,5_9,4.468
928,1955,estimates,male,5Yearly,5_9,5.19
928,1955,estimates,female,5Yearly,10_14,3.173
928,1955,estimates,male,5Yearly,10_14,3.734
928,1955,estimates,female,5Yearly,15_19,5.062
928,1955,estimates,male,5Yearly,15_19,4.855
928,1955,estimates,female,5Yearly,20_24,6.466
928,1955,estimates,male,5Yearly,20_24,6.003
928,1955,estimates,female,5Yearly,25_29,6.408
928,1955,estimates,male,5Yearly,25_29,6.139
928,1955,estimates,female,5Yearly,30_34,5.963
928,1955,estimates,male,5Yearly,30_34,6.164
928,1955,estimates,female,5Yearly,35_39,5.452
928,1955,estimates,male,5Yearly,35_39,6.515
928,1955,estimates,female,5Yearly,40_44,5.003
928,1955,estimates,male,5Yearly,40_44,6.877
928,1955,estimates,female,5Yearly,45_49,4.919
928,1955,estimates,male,5Yearly,45_49,7.198
928,1955,estimates,female,5Yearly,50_54,5.139
928,1955,estimates,male,5Yearly,50_54,7.328
928,1955,estimates,female,5Yearly,55_59,5.345
928,1955,estimates,male,5Yearly,55_59,7.352
928,1955,estimates,female,5Yearly,60_64,4.896
928,1955,estimates,male,5Yearly,60_64,6.838
928,1955,estimates,female,5Yearly,65_69,4.484
928,1955,estimates,male,5Yearly,65_69,6.19
928,1955,estimates,female,5Yearly,70_74,4.859
928,1955,estimates,male,5Yearly,70_74,6.217
928,1955,estimates,female,5Yearly,75_79,4.553
928,1955,estimates,male,5Yearly,75_79,5.336
928,1955,estimates,female,5Yearly,80_84,3.045
928,1955,estimates,male,5Yearly,80_84,3.304
928,1955,estimates,female,5Yearly,85_89,1.184
928,1955,estimates,male,5Yearly,85_89,1.257
928,1955,estimates,female,5Yearly,90_94,0.279
928,1955,estimates,male,5Yearly,90_94,0.284
928,1955,estimates,female,5Yearly,95plus,0.052
928,1955,estimates,male,5Yearly,95plus,0.048
928,1960,estimates,female,5Yearly,0_4,48.423
928,1960,estimates,male,5Yearly,0_4,58.19
928,1960,estimates,female,5Yearly,5_9,4.283
928,1960,estimates,male,5Yearly,5_9,4.968
928,1960,estimates,female,5Yearly,10_14,3.104
928,1960,estimates,male,5Yearly,10_14,3.63
928,1960,estimates,female,5Yearly,15_19,4.796
928,1960,estimates,male,5Yearly,15_19,4.612
928,1960,estimates,female,5Yearly,20_24,6.044
928,1960,estimates,male,5Yearly,20_24,5.663
928,1960,estimates,female,5Yearly,25_29,5.969
928,1960,estimates,male,5Yearly,25_29,5.783
928,1960,estimates,female,5Yearly,30_34,5.546
928,1960,estimates,male,5Yearly,30_34,5.826
928,1960,estimates,female,5Yearly,35_39,5.134
928,1960,estimates,male,5Yearly,35_39,6.225
928,1960,estimates,female,5Yearly,40_44,4.827
928,1960,estimates,male,5Yearly,40_44,6.673
928,1960,estimates,female,5Yearly,45_49,4.84
928,1960,estimates,male,5Yearly,45_49,7.077
928,1960,estimates,female,5Yearly,50_54,5.117
928,1960,estimates,male,5Yearly,50_54,7.287
928,1960,estimates,female,5Yearly,55_59,5.386
928,1960,estimates,male,5Yearly,55_59,7.229
928,1960,estimates,female,5Yearly,60_64,5.418
928,1960,estimates,male,5Yearly,60_64,7.213
928,1960,estimates,female,5Yearly,65_69,4.724
928,1960,estimates,male,5Yearly,65_69,6.28
928,1960,estimates,female,5Yearly,70_74,4.049
928,1960,estimates,male,5Yearly,70_74,4.936
928,1960,estimates,female,5Yearly,75_79,3.812
928,1960,estimates,male,5Yearly,75_79,4.115
928,1960,estimates,female,5Yearly,80_84,2.796
928,1960,estimates,male,5Yearly,80_84,2.732
928,1960,estimates,female,5Yearly,85_89,1.284
928,1960,estimates,male,5Yearly,85_89,1.158
928,1960,estimates,female,5Yearly,90_94,0.342
928,1960,estimates,male,5Yearly,90_94,0.293
928,1960,estimates,female,5Yearly,95plus,0.053
928,1960,estimates,male,5Yearly,95plus,0.048
928,1965,estimates,female,5Yearly,0_4,45.555
