region,year,variant,freq,agebroad,totaldeaths
957,1950,estimates,5yearly,0_4,7.755
957,1950,estimates,5yearly,5_9,0.466
957,1950,estimates,5yearly,10_14,0.409
957,1950,estimates,5yearly,15_19,0.577
957,1950,estimates,5yearly,20_24,0.707
957,1950,estimates,5yearly,25_29,0.73
957,1950,estimates,5yearly,30_34,0.7
957,1950,estimates,5yearly,35_39,0.69
957,1950,estimates,5yearly,40_44,0.713
957,1950,estimates,5yearly,45_49,0.747
957,1950,estimates,5yearly,50_54,0.792
957,1950,estimates,5yearly,55_59,0.817
957,1950,estimates,5yearly,60_64,0.908
957,1950,estimates,5yearly,65_69,0.935
957,1950,estimates,5yearly,70_74,0.771
957,1950,estimates,5yearly,75_79,0.574
957,1950,estimates,5yearly,80_84,0.372
957,1950,estimates,5yearly,85_89,0.189
957,1950,estimates,5yearly,90_94,0.064
957,1950,estimates,5yearly,95plus,0.011
957,1950,estimates,5yearly,0_14,8.63
957,1950,estimates,5yearly,0_19,9.207
957,1950,estimates,5yearly,0_24,9.914
957,1950,estimates,5yearly,5_14,0.875
957,1950,estimates,5yearly,15plus,10.297
957,1950,estimates,5yearly,15_24,1.284
957,1950,estimates,5yearly,15_49,4.864
957,1950,estimates,5yearly,15_59,6.473
957,1950,estimates,5yearly,15_64,7.381
957,1950,estimates,5yearly,20plus,9.72
957,1950,estimates,5yearly,20_64,6.804
957,1950,estimates,5yearly,20_69,7.739
957,1950,estimates,5yearly,25plus,9.013
957,1950,estimates,5yearly,25_69,7.032
957,1950,estimates,5yearly,40plus,6.893
957,1950,estimates,5yearly,50plus,5.433
957,1950,estimates,5yearly,60plus,3.824
957,1950,estimates,5yearly,65plus,2.916
957,1950,estimates,5yearly,70plus,1.981
957,1950,estimates,5yearly,80plus,0.636
957,1950,estimates,5yearly,90plus,0.075
957,1955,estimates,5yearly,0_4,7.294
957,1955,estimates,5yearly,5_9,0.438
957,1955,estimates,5yearly,10_14,0.348
957,1955,estimates,5yearly,15_19,0.5
957,1955,estimates,5yearly,20_24,0.603
957,1955,estimates,5yearly,25_29,0.602
957,1955,estimates,5yearly,30_34,0.612
957,1955,estimates,5yearly,35_39,0.63
957,1955,estimates,5yearly,40_44,0.673
957,1955,estimates,5yearly,45_49,0.751
957,1955,estimates,5yearly,50_54,0.812
957,1955,estimates,5yearly,55_59,0.9
957,1955,estimates,5yearly,60_64,0.94
957,1955,estimates,5yearly,65_69,1.015
957,1955,estimates,5yearly,70_74,0.936
957,1955,estimates,5yearly,75_79,0.659
957,1955,estimates,5yearly,80_84,0.42
957,1955,estimates,5yearly,85_89,0.199
957,1955,estimates,5yearly,90_94,0.062
957,1955,estimates,5yearly,95plus,0.01
957,1955,estimates,5yearly,0_14,8.08
957,1955,estimates,5yearly,0_19,8.58
957,1955,estimates,5yearly,0_24,9.183
957,1955,estimates,5yearly,5_14,0.786
957,1955,estimates,5yearly,15plus,10.324
957,1955,estimates,5yearly,15_24,1.103
957,1955,estimates,5yearly,15_49,4.371
957,1955,estimates,5yearly,15_59,6.083
957,1955,estimates,5yearly,15_64,7.023
957,1955,estimates,5yearly,20plus,9.824
957,1955,estimates,5yearly,20_64,6.523
957,1955,estimates,5yearly,20_69,7.538
957,1955,estimates,5yearly,25plus,9.221
957,1955,estimates,5yearly,25_69,6.935
957,1955,estimates,5yearly,40plus,7.377
957,1955,estimates,5yearly,50plus,5.953
957,1955,estimates,5yearly,60plus,4.241
957,1955,estimates,5yearly,65plus,3.301
957,1955,estimates,5yearly,70plus,2.286
957,1955,estimates,5yearly,80plus,0.691
957,1955,estimates,5yearly,90plus,0.072
957,1960,estimates,5yearly,0_4,7.233
957,1960,estimates,5yearly,5_9,0.436
957,1960,estimates,5yearly,10_14,0.341
957,1960,estimates,5yearly,15_19,0.453
957,1960,estimates,5yearly,20_24,0.559
957,1960,estimates,5yearly,25_29,0.564
957,1960,estimates,5yearly,30_34,0.564
957,1960,estimates,5yearly,35_39,0.606
957,1960,estimates,5yearly,40_44,0.654
957,1960,estimates,5yearly,45_49,0.753
957,1960,estimates,5yearly,50_54,0.873
957,1960,estimates,5yearly,55_59,0.935
957,1960,estimates,5yearly,60_64,1.058
957,1960,estimates,5yearly,65_69,1.054
957,1960,estimates,5yearly,70_74,1.007
957,1960,estimates,5yearly,75_79,0.806
957,1960,estimates,5yearly,80_84,0.47
957,1960,estimates,5yearly,85_89,0.236
957,1960,estimates,5yearly,90_94,0.068
957,1960,estimates,5yearly,95plus,0.009
957,1960,estimates,5yearly,0_14,8.01
957,1960,estimates,5yearly,0_19,8.463
957,1960,estimates,5yearly,0_24,9.022
957,1960,estimates,5yearly,5_14,0.777
957,1960,estimates,5yearly,15plus,10.669
957,1960,estimates,5yearly,15_24,1.012
957,1960,estimates,5yearly,15_49,4.153
957,1960,estimates,5yearly,15_59,5.961
957,1960,estimates,5yearly,15_64,7.019
957,1960,estimates,5yearly,20plus,10.216
957,1960,estimates,5yearly,20_64,6.566
957,1960,estimates,5yearly,20_69,7.62
957,1960,estimates,5yearly,25plus,9.657
957,1960,estimates,5yearly,25_69,7.061
957,1960,estimates,5yearly,40plus,7.923
957,1960,estimates,5yearly,50plus,6.516
957,1960,estimates,5yearly,60plus,4.708
957,1960,estimates,5yearly,65plus,3.65
957,1960,estimates,5yearly,70plus,2.596
957,1960,estimates,5yearly,80plus,0.783
957,1960,estimates,5yearly,90plus,0.077
957,1965,estimates,5yearly,0_4,6.771
957,1965,estimates,5yearly,5_9,0.43
957,1965,estimates,5yearly,10_14,0.354
957,1965,estimates,5yearly,15_19,0.443
957,1965,estimates,5yearly,20_24,0.5
957,1965,estimates,5yearly,25_29,0.524
957,1965,estimates,5yearly,30_34,0.541
957,1965,estimates,5yearly,35_39,0.586
957,1965,estimates,5yearly,40_44,0.66
957,1965,estimates,5yearly,45_49,0.764
957,1965,estimates,5yearly,50_54,0.898
