region,year,variant,gender,freq,agebroad,totaldeaths
1517,1950,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1950,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1950,estimates,female,5yearly,0_4,41275.513
1517,1950,estimates,male,5yearly,0_4,45608.58
1517,1950,estimates,female,5yearly,0_14,46719.777
1517,1950,estimates,male,5yearly,0_14,51515.912
1517,1950,estimates,female,5yearly,0_19,48863.843
1517,1950,estimates,male,5yearly,0_19,54024.784
1517,1950,estimates,female,5yearly,0_24,51288.263
1517,1950,estimates,male,5yearly,0_24,56820.763
1517,1950,estimates,female,5yearly,5_14,5444.264
1517,1950,estimates,male,5yearly,5_14,5907.332
1517,1950,estimates,female,5yearly,15plus,47774.11
1517,1950,estimates,male,5yearly,15plus,51352.68
1517,1950,estimates,female,5yearly,15_24,4568.486
1517,1950,estimates,male,5yearly,15_24,5304.851
1517,1950,estimates,female,5yearly,15_49,18434.185
1517,1950,estimates,male,5yearly,15_49,20494.537
1517,1950,estimates,female,5yearly,15_59,24920.937
1517,1950,estimates,male,5yearly,15_59,29250.431
1517,1950,estimates,female,5yearly,15_64,29314.82
1517,1950,estimates,male,5yearly,15_64,34501.926
1517,1950,estimates,female,5yearly,20plus,45630.044
1517,1950,estimates,male,5yearly,20plus,48843.808
1517,1950,estimates,female,5yearly,20_64,27170.754
1517,1950,estimates,male,5yearly,20_64,31993.054
1517,1950,estimates,female,5yearly,20_69,32086.531
1517,1950,estimates,male,5yearly,20_69,37296.565
1517,1950,estimates,female,5yearly,25plus,43205.624
1517,1950,estimates,male,5yearly,25plus,46047.829
1517,1950,estimates,female,5yearly,25_69,29662.111
1517,1950,estimates,male,5yearly,25_69,34500.586
1517,1950,estimates,female,5yearly,40plus,35312.774
1517,1950,estimates,male,5yearly,40plus,37949.654
1517,1950,estimates,female,5yearly,50plus,29339.925
1517,1950,estimates,male,5yearly,50plus,30858.143
1517,1950,estimates,female,5yearly,60plus,22853.173
1517,1950,estimates,male,5yearly,60plus,22102.249
1517,1950,estimates,female,5yearly,65plus,18459.29
1517,1950,estimates,male,5yearly,65plus,16850.754
1517,1950,estimates,female,5yearly,70plus,13543.513
1517,1950,estimates,male,5yearly,70plus,11547.243
1517,1950,estimates,female,5yearly,80plus,4550.379
1517,1950,estimates,male,5yearly,80plus,3191.742
1517,1950,estimates,female,5yearly,90plus,593.877
1517,1950,estimates,male,5yearly,90plus,310.923
1517,1955,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1955,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1955,estimates,female,5yearly,0_4,40457.405
1517,1955,estimates,male,5yearly,0_4,44787.914
1517,1955,estimates,female,5yearly,0_14,45987.955
1517,1955,estimates,male,5yearly,0_14,50565.588
1517,1955,estimates,female,5yearly,0_19,47902.924
1517,1955,estimates,male,5yearly,0_19,52826.703
1517,1955,estimates,female,5yearly,0_24,50131.402
1517,1955,estimates,male,5yearly,0_24,55439.247
1517,1955,estimates,female,5yearly,5_14,5530.55
1517,1955,estimates,male,5yearly,5_14,5777.674
1517,1955,estimates,female,5yearly,15plus,47836.727
1517,1955,estimates,male,5yearly,15plus,51827.042
1517,1955,estimates,female,5yearly,15_24,4143.447
1517,1955,estimates,male,5yearly,15_24,4873.659
1517,1955,estimates,female,5yearly,15_49,17334.655
1517,1955,estimates,male,5yearly,15_49,19576.641
1517,1955,estimates,female,5yearly,15_59,24097.887
1517,1955,estimates,male,5yearly,15_59,28850.936
1517,1955,estimates,female,5yearly,15_64,28500.706
1517,1955,estimates,male,5yearly,15_64,34280.078
1517,1955,estimates,female,5yearly,20plus,45921.758
1517,1955,estimates,male,5yearly,20plus,49565.927
1517,1955,estimates,female,5yearly,20_64,26585.737
1517,1955,estimates,male,5yearly,20_64,32018.963
1517,1955,estimates,female,5yearly,20_69,31564.789
1517,1955,estimates,male,5yearly,20_69,37521.283
1517,1955,estimates,female,5yearly,25plus,43693.28
1517,1955,estimates,male,5yearly,25plus,46953.383
1517,1955,estimates,female,5yearly,25_69,29336.311
1517,1955,estimates,male,5yearly,25_69,34908.739
1517,1955,estimates,female,5yearly,40plus,36121.504
1517,1955,estimates,male,5yearly,40plus,39087.236
1517,1955,estimates,female,5yearly,50plus,30502.072
1517,1955,estimates,male,5yearly,50plus,32250.401
1517,1955,estimates,female,5yearly,60plus,23738.84
1517,1955,estimates,male,5yearly,60plus,22976.106
1517,1955,estimates,female,5yearly,65plus,19336.021
1517,1955,estimates,male,5yearly,65plus,17546.964
1517,1955,estimates,female,5yearly,70plus,14356.969
1517,1955,estimates,male,5yearly,70plus,12044.644
1517,1955,estimates,female,5yearly,80plus,4857.215
1517,1955,estimates,male,5yearly,80plus,3257.545
1517,1955,estimates,female,5yearly,90plus,551.872
1517,1955,estimates,male,5yearly,90plus,269.553
1517,1960,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1960,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1960,estimates,female,5yearly,0_4,41813.538
1517,1960,estimates,male,5yearly,0_4,45972.444
1517,1960,estimates,female,5yearly,0_14,47821.635
1517,1960,estimates,male,5yearly,0_14,52248.976
1517,1960,estimates,female,5yearly,0_19,49658.408
1517,1960,estimates,male,5yearly,0_19,54402.278
1517,1960,estimates,female,5yearly,0_24,51675.702
1517,1960,estimates,male,5yearly,0_24,56712.403
1517,1960,estimates,female,5yearly,5_14,6008.097
1517,1960,estimates,male,5yearly,5_14,6276.532
1517,1960,estimates,female,5yearly,15plus,47605.079
1517,1960,estimates,male,5yearly,15plus,51388.087
1517,1960,estimates,female,5yearly,15_24,3854.067
1517,1960,estimates,male,5yearly,15_24,4463.427
1517,1960,estimates,female,5yearly,15_49,16621.86
1517,1960,estimates,male,5yearly,15_49,18772.335
1517,1960,estimates,female,5yearly,15_59,23570.497
1517,1960,estimates,male,5yearly,15_59,28322.844
1517,1960,estimates,female,5yearly,15_64,28148.481
1517,1960,estimates,male,5yearly,15_64,33895.805
1517,1960,estimates,female,5yearly,20plus,45768.306
1517,1960,estimates,male,5yearly,20plus,49234.785
1517,1960,estimates,female,5yearly,20_64,26311.708
1517,1960,estimates,male,5yearly,20_64,31742.503
1517,1960,estimates,female,5yearly,20_69,31373.956
1517,1960,estimates,male,5yearly,20_69,37308.147
1517,1960,estimates,female,5yearly,25plus,43751.012
1517,1960,estimates,male,5yearly,25plus,46924.66
1517,1960,estimates,female,5yearly,25_69,29356.662
1517,1960,estimates,male,5yearly,25_69,34998.022
1517,1960,estimates,female,5yearly,40plus,36475.189
1517,1960,estimates,male,5yearly,40plus,39376.292
1517,1960,estimates,female,5yearly,50plus,30983.219
1517,1960,estimates,male,5yearly,50plus,32615.752
1517,1960,estimates,female,5yearly,60plus,24034.582
1517,1960,estimates,male,5yearly,60plus,23065.243
1517,1960,estimates,female,5yearly,65plus,19456.598
1517,1960,estimates,male,5yearly,65plus,17492.282
1517,1960,estimates,female,5yearly,70plus,14394.35
1517,1960,estimates,male,5yearly,70plus,11926.638
1517,1960,estimates,female,5yearly,80plus,4872.988
1517,1960,estimates,male,5yearly,80plus,3213.861
1517,1960,estimates,female,5yearly,90plus,588.782
1517,1960,estimates,male,5yearly,90plus,285.358
1517,1965,estimates,female,5yearly,"Region, subregion, country or area *",Middle-income countries
1517,1965,estimates,male,5yearly,"Region, subregion, country or area *",Middle-income countries
