region,variant,gender,freq,year,totaldeaths
913,estimates,female,5yearly,1950,698.244
913,estimates,male,5yearly,1950,808.891
913,estimates,female,5yearly,1955,697.486
913,estimates,male,5yearly,1955,797.726
913,estimates,female,5yearly,1960,723.274
913,estimates,male,5yearly,1960,822.91
913,estimates,female,5yearly,1965,752.815
913,estimates,male,5yearly,1965,855.958
913,estimates,female,5yearly,1970,747.93
913,estimates,male,5yearly,1970,932.749
913,estimates,female,5yearly,1975,788.728
913,estimates,male,5yearly,1975,1010.736
913,estimates,female,5yearly,1980,826.454
913,estimates,male,5yearly,1980,1050.993
913,estimates,female,5yearly,1985,789.229
913,estimates,male,5yearly,1985,1017.261
913,estimates,female,5yearly,1990,829.888
913,estimates,male,5yearly,1990,1065.289
913,estimates,female,5yearly,1995,1144.292
913,estimates,male,5yearly,1995,1400.107
913,estimates,female,5yearly,2000,1701.686
913,estimates,male,5yearly,2000,1932.372
913,estimates,female,5yearly,2005,1928.257
913,estimates,male,5yearly,2005,2140.853
913,estimates,female,5yearly,2010,1538.488
913,estimates,male,5yearly,2010,1840.578
913,constant_fertility,female,5yearly,2015,1412.488
913,constant_fertility,male,5yearly,2015,1672.113
913,constant_mortality,female,5yearly,2015,1715.437
913,constant_mortality,male,5yearly,2015,2038.757
913,high_variant,female,5yearly,2015,1416.703
913,high_variant,male,5yearly,2015,1677.429
913,instant_replacement,female,5yearly,2015,1393.523
913,instant_replacement,male,5yearly,2015,1647.14
913,low_variant,female,5yearly,2015,1395.666
913,low_variant,male,5yearly,2015,1650.442
913,medium_variant,female,5yearly,2015,1406.184
913,medium_variant,male,5yearly,2015,1663.936
913,momentum,female,5yearly,2015,1700.505
913,momentum,male,5yearly,2015,2018.492
913,no_change,female,5yearly,2015,1723.107
913,no_change,male,5yearly,2015,2048.78
913,zero_migration,female,5yearly,2015,1404.085
913,zero_migration,male,5yearly,2015,1660.671
913,constant_fertility,female,5yearly,2020,1506.854
913,constant_fertility,male,5yearly,2020,1742.755
913,constant_mortality,female,5yearly,2020,1885.299
913,constant_mortality,male,5yearly,2020,2216.794
913,high_variant,female,5yearly,2020,1512.118
913,high_variant,male,5yearly,2020,1749.312
913,instant_replacement,female,5yearly,2020,1485.659
913,instant_replacement,male,5yearly,2020,1714.626
913,low_variant,female,5yearly,2020,1477.923
913,low_variant,male,5yearly,2020,1705.527
913,medium_variant,female,5yearly,2020,1495.019
913,medium_variant,male,5yearly,2020,1727.421
913,momentum,female,5yearly,2020,1868.643
913,momentum,male,5yearly,2020,2193.313
913,no_change,female,5yearly,2020,1901.86
913,no_change,male,5yearly,2020,2238.607
913,zero_migration,female,5yearly,2020,1489.598
913,zero_migration,male,5yearly,2020,1719.042
913,constant_fertility,female,5yearly,2025,1606.659
913,constant_fertility,male,5yearly,2025,1812.473
913,constant_mortality,female,5yearly,2025,2052.216
913,constant_mortality,male,5yearly,2025,2384.704
913,high_variant,female,5yearly,2025,1611.309
913,high_variant,male,5yearly,2025,1818.161
913,instant_replacement,female,5yearly,2025,1585.276
913,instant_replacement,male,5yearly,2025,1784.039
913,low_variant,female,5yearly,2025,1570.008
913,low_variant,male,5yearly,2025,1765.522
913,medium_variant,female,5yearly,2025,1590.659
913,medium_variant,male,5yearly,2025,1791.842
913,momentum,female,5yearly,2025,2037.326
913,momentum,male,5yearly,2025,2362.942
913,no_change,female,5yearly,2025,2077.803
913,no_change,male,5yearly,2025,2418.614
913,zero_migration,female,5yearly,2025,1583.106
913,zero_migration,male,5yearly,2025,1780.291
913,constant_fertility,female,5yearly,2030,1711.511
913,constant_fertility,male,5yearly,2030,1877.809
913,constant_mortality,female,5yearly,2030,2219.29
913,constant_mortality,male,5yearly,2030,2542.354
913,high_variant,female,5yearly,2030,1712.762
913,high_variant,male,5yearly,2030,1879.16
913,instant_replacement,female,5yearly,2030,1688.791
913,instant_replacement,male,5yearly,2030,1848.4
913,low_variant,female,5yearly,2030,1670.585
913,low_variant,male,5yearly,2030,1826.938
913,medium_variant,female,5yearly,2030,1691.612
913,medium_variant,male,5yearly,2030,1852.974
913,momentum,female,5yearly,2030,2206.706
913,momentum,male,5yearly,2030,2523.038
913,no_change,female,5yearly,2030,2254.614
913,no_change,male,5yearly,2030,2589.401
913,zero_migration,female,5yearly,2030,1682.294
913,zero_migration,male,5yearly,2030,1839.002
913,constant_fertility,female,5yearly,2035,1815.27
913,constant_fertility,male,5yearly,2035,1945.338
