region,variant,freq,year,totaldeaths
1501,estimates,5Yearly,1950,97832.909
1501,estimates,5Yearly,1955,95664.555
1501,estimates,5Yearly,1960,94460.289
1501,estimates,5Yearly,1965,93581.992
1501,estimates,5Yearly,1970,95382.3220000001
1501,estimates,5Yearly,1975,93960.35
1501,estimates,5Yearly,1980,96276.406
1501,estimates,5Yearly,1985,98703.913
1501,estimates,5Yearly,1990,99976.436
1501,estimates,5Yearly,1995,101976.898
1501,estimates,5Yearly,2000,105023.194
1501,estimates,5Yearly,2005,106782.306
1501,estimates,5Yearly,2010,108985.952
1501,constant-fertility,5Yearly,2015,115007.542
1501,constant-mortality,5Yearly,2015,122397.485
1501,high variant,5Yearly,2015,115248.388
1501,instant-replacement,5Yearly,2015,110289.53
1501,low variant,5Yearly,2015,112830.986
1501,medium variant,5Yearly,2015,114039.689
1501,no change,5Yearly,2015,123509.455
1501,zero-migration,5Yearly,2015,114124.459
1501,constant-fertility,5Yearly,2020,122834.149
1501,constant-mortality,5Yearly,2020,136953.771
1501,high variant,5Yearly,2020,122860.87
1501,instant-replacement,5Yearly,2020,116725.713
1501,low variant,5Yearly,2020,118838.263
1501,medium variant,5Yearly,2020,120849.564
1501,no change,5Yearly,2020,139561.588
1501,zero-migration,5Yearly,2020,121111.698
1501,constant-fertility,5Yearly,2025,132297.882
1501,constant-mortality,5Yearly,2025,152980.455
1501,high variant,5Yearly,2025,131888.639
1501,instant-replacement,5Yearly,2025,125482.841
1501,low variant,5Yearly,2025,126900.82
1501,medium variant,5Yearly,2025,129394.728
1501,no change,5Yearly,2025,157279.009
1501,zero-migration,5Yearly,2025,129820.072
1501,constant-fertility,5Yearly,2030,143072.2
1501,constant-mortality,5Yearly,2030,170463.695
1501,high variant,5Yearly,2030,141878.369
1501,instant-replacement,5Yearly,2030,135514.158
1501,low variant,5Yearly,2030,136734.185
1501,medium variant,5Yearly,2030,139300.859
1501,no change,5Yearly,2030,176707.845
1501,zero-migration,5Yearly,2030,139912.148
1501,constant-fertility,5Yearly,2035,155190.248
1501,constant-mortality,5Yearly,2035,188926.026
1501,high variant,5Yearly,2035,153235.144
1501,instant-replacement,5Yearly,2035,146293.559
1501,low variant,5Yearly,2035,147654.655
1501,medium variant,5Yearly,2035,150407.586
1501,no change,5Yearly,2035,197699.186
1501,zero-migration,5Yearly,2035,151236.477
1501,constant-fertility,5Yearly,2040,168306.385
1501,constant-mortality,5Yearly,2040,207649.066
1501,high variant,5Yearly,2040,165594.952
1501,instant-replacement,5Yearly,2040,157634.807
1501,low variant,5Yearly,2040,159192.942
1501,medium variant,5Yearly,2040,162293.946
1501,no change,5Yearly,2040,219796.794
1501,zero-migration,5Yearly,2040,163383.33
1501,constant-fertility,5Yearly,2045,181969.493
1501,constant-mortality,5Yearly,2045,226021.867
1501,high variant,5Yearly,2045,178396.254
1501,instant-replacement,5Yearly,2045,169475.912
