variant,region,year,totaldeaths
Estimates,910,1950,1900.65
Estimates,910,1951,1904.371
Estimates,910,1952,1911.902
Estimates,910,1953,1919.612
Estimates,910,1954,1927.503
Estimates,910,1955,1935.589
Estimates,910,1956,1943.911
Estimates,910,1957,1952.56
Estimates,910,1958,1961.695
Estimates,910,1959,1971.569
Estimates,910,1960,1982.498
Estimates,910,1961,1994.829
Estimates,910,1962,2008.929
Estimates,910,1963,2025.087
Estimates,910,1964,2043.473
Estimates,910,1965,2064.086
Estimates,910,1966,2086.766
Estimates,910,1967,2111.225
Estimates,910,1968,2137.279
Estimates,910,1969,2164.929
Estimates,910,1970,2194.129
Estimates,910,1971,2224.84
Estimates,910,1972,2257.251
Estimates,910,1973,2291.637
Estimates,910,1974,2328.287
Estimates,910,1975,2367.815
Estimates,910,1976,2410.888
Estimates,910,1977,2457.738
Estimates,910,1978,2508.274
Estimates,910,1979,2562.165
Estimates,910,1980,2617.982
Estimates,910,1981,2673.847
Estimates,910,1982,2728.902
Estimates,910,1983,2783.304
Estimates,910,1984,2838.133
Estimates,910,1985,2897.5
Estimates,910,1986,2966.709
Estimates,910,1987,3048.293
Estimates,910,1988,3142.046
Estimates,910,1989,3245.204
Estimates,910,1990,3351.621
Estimates,910,1991,3453.3
Estimates,910,1992,3542.921
Estimates,910,1993,3615.368
Estimates,910,1994,3668.806
Estimates,910,1995,3705.117
Estimates,910,1996,3729.31
Estimates,910,1997,3747.959
Estimates,910,1998,3765.383
Estimates,910,1999,3781.921
Estimates,910,2000,3794.593
Estimates,910,2001,3798.237
Estimates,910,2002,3788.046
Estimates,910,2003,3761.606
Estimates,910,2004,3719.745
Estimates,910,2005,3664.925
Estimates,910,2006,3601.126
Estimates,910,2007,3534.272
Estimates,910,2008,3469.813
Estimates,910,2009,3411.274
Estimates,910,2010,3361.171
Estimates,910,2011,3320.41
Estimates,910,2012,3287.571
Estimates,910,2013,3261.601
Estimates,910,2014,3242.806
Estimates,910,2015,3231.698
Medium_variant,910,2015,3231.698
Medium_variant,910,2016,3228.644
Medium_variant,910,2017,3233.077
Medium_variant,910,2018,3244.049
Medium_variant,910,2019,3260.559
Medium_variant,910,2020,3281.365
Medium_variant,910,2021,3305.198
Medium_variant,910,2022,3330.955
Medium_variant,910,2023,3357.654
Medium_variant,910,2024,3384.541
Medium_variant,910,2025,3411.119
Medium_variant,910,2026,3437.354
Medium_variant,910,2027,3463.933
Medium_variant,910,2028,3491.52
Medium_variant,910,2029,3520.385
Medium_variant,910,2030,3550.769
Medium_variant,910,2031,3582.904
Medium_variant,910,2032,3616.996
Medium_variant,910,2033,3653.294
Medium_variant,910,2034,3692.074
Medium_variant,910,2035,3733.529
Medium_variant,910,2036,3777.766
Medium_variant,910,2037,3824.773
Medium_variant,910,2038,3874.582
Medium_variant,910,2039,3927.294
Medium_variant,910,2040,3982.915
Medium_variant,910,2041,4041.397
Medium_variant,910,2042,4102.717
Medium_variant,910,2043,4166.966
Medium_variant,910,2044,4234.322
Medium_variant,910,2045,4304.966
Medium_variant,910,2046,4379.088
Medium_variant,910,2047,4456.876
Medium_variant,910,2048,4538.545
Medium_variant,910,2049,4624.288
Medium_variant,910,2050,4714.317
Medium_variant,910,2051,4808.779
Medium_variant,910,2052,4907.637
Medium_variant,910,2053,5010.812
Medium_variant,910,2054,5118.245
Medium_variant,910,2055,5229.855
Medium_variant,910,2056,5345.522
Medium_variant,910,2057,5465.064
Medium_variant,910,2058,5588.268
Medium_variant,910,2059,5714.961
Medium_variant,910,2060,5845.024
Medium_variant,910,2061,5978.395
Medium_variant,910,2062,6115.057
Medium_variant,910,2063,6254.944
Medium_variant,910,2064,6397.927
Medium_variant,910,2065,6543.938
Medium_variant,910,2066,6692.959
Medium_variant,910,2067,6844.941
Medium_variant,910,2068,6999.782
Medium_variant,910,2069,7157.325
Medium_variant,910,2070,7317.427
Medium_variant,910,2071,7479.974
Medium_variant,910,2072,7644.859
Medium_variant,910,2073,7811.974
Medium_variant,910,2074,7981.177
Medium_variant,910,2075,8152.418
Medium_variant,910,2076,8325.689
Medium_variant,910,2077,8501.005
Medium_variant,910,2078,8678.317
Medium_variant,910,2079,8857.495
Medium_variant,910,2080,9038.462
Medium_variant,910,2081,9221.156
Medium_variant,910,2082,9405.476
Medium_variant,910,2083,9591.259
Medium_variant,910,2084,9778.302
Medium_variant,910,2085,9966.492
Medium_variant,910,2086,10155.767
Medium_variant,910,2087,10346.026
Medium_variant,910,2088,10537.07
Medium_variant,910,2089,10728.641
Medium_variant,910,2090,10920.474
Medium_variant,910,2091,11112.34
Medium_variant,910,2092,11304.064
Medium_variant,910,2093,11495.503
Medium_variant,910,2094,11686.563
Medium_variant,910,2095,11877.175
Medium_variant,910,2096,12067.303
Medium_variant,910,2097,12256.935
Medium_variant,910,2098,12446.066
Medium_variant,910,2099,12634.701
