variant,continent,year,totalfertility
Estimates,904,1950,5.898
Estimates,904,1951,5.892
Estimates,904,1952,5.884
Estimates,904,1953,5.88
Estimates,904,1954,5.882
Estimates,904,1955,5.889
Estimates,904,1956,5.901
Estimates,904,1957,5.916
Estimates,904,1958,5.932
Estimates,904,1959,5.946
Estimates,904,1960,5.954
Estimates,904,1961,5.951
Estimates,904,1962,5.934
Estimates,904,1963,5.898
Estimates,904,1964,5.845
Estimates,904,1965,5.774
Estimates,904,1966,5.688
Estimates,904,1967,5.594
Estimates,904,1968,5.494
Estimates,904,1969,5.393
Estimates,904,1970,5.291
Estimates,904,1971,5.188
Estimates,904,1972,5.084
Estimates,904,1973,4.977
Estimates,904,1974,4.869
Estimates,904,1975,4.76
Estimates,904,1976,4.65
Estimates,904,1977,4.54
Estimates,904,1978,4.43
Estimates,904,1979,4.321
Estimates,904,1980,4.213
Estimates,904,1981,4.105
Estimates,904,1982,3.998
Estimates,904,1983,3.891
Estimates,904,1984,3.785
Estimates,904,1985,3.681
Estimates,904,1986,3.578
Estimates,904,1987,3.478
Estimates,904,1988,3.382
Estimates,904,1989,3.29
Estimates,904,1990,3.204
Estimates,904,1991,3.124
Estimates,904,1992,3.051
Estimates,904,1993,2.984
Estimates,904,1994,2.923
Estimates,904,1995,2.867
Estimates,904,1996,2.816
Estimates,904,1997,2.769
Estimates,904,1998,2.723
Estimates,904,1999,2.678
Estimates,904,2000,2.633
Estimates,904,2001,2.586
Estimates,904,2002,2.537
Estimates,904,2003,2.487
Estimates,904,2004,2.437
Estimates,904,2005,2.387
Estimates,904,2006,2.341
Estimates,904,2007,2.298
Estimates,904,2008,2.26
Estimates,904,2009,2.228
Estimates,904,2010,2.2
Estimates,904,2011,2.177
Estimates,904,2012,2.155
Estimates,904,2013,2.135
Estimates,904,2014,2.115
Estimates,904,2015,2.095
Medium_variant,904,2015,2.095
Medium_variant,904,2016,2.075
Medium_variant,904,2017,2.055
Medium_variant,904,2018,2.036
Medium_variant,904,2019,2.018
Medium_variant,904,2020,2.001
Medium_variant,904,2021,1.984
Medium_variant,904,2022,1.968
Medium_variant,904,2023,1.953
Medium_variant,904,2024,1.939
Medium_variant,904,2025,1.925
Medium_variant,904,2026,1.913
Medium_variant,904,2027,1.901
Medium_variant,904,2028,1.889
Medium_variant,904,2029,1.879
Medium_variant,904,2030,1.869
Medium_variant,904,2031,1.86
Medium_variant,904,2032,1.851
Medium_variant,904,2033,1.843
Medium_variant,904,2034,1.836
Medium_variant,904,2035,1.829
Medium_variant,904,2036,1.823
Medium_variant,904,2037,1.817
Medium_variant,904,2038,1.812
Medium_variant,904,2039,1.807
Medium_variant,904,2040,1.803
Medium_variant,904,2041,1.799
Medium_variant,904,2042,1.795
Medium_variant,904,2043,1.792
Medium_variant,904,2044,1.789
Medium_variant,904,2045,1.787
Medium_variant,904,2046,1.784
Medium_variant,904,2047,1.782
Medium_variant,904,2048,1.78
Medium_variant,904,2049,1.779
Medium_variant,904,2050,1.777
Medium_variant,904,2051,1.776
Medium_variant,904,2052,1.775
Medium_variant,904,2053,1.774
Medium_variant,904,2054,1.773
Medium_variant,904,2055,1.772
Medium_variant,904,2056,1.772
Medium_variant,904,2057,1.771
Medium_variant,904,2058,1.771
Medium_variant,904,2059,1.771
Medium_variant,904,2060,1.771
Medium_variant,904,2061,1.771
Medium_variant,904,2062,1.771
Medium_variant,904,2063,1.771
Medium_variant,904,2064,1.771
Medium_variant,904,2065,1.772
Medium_variant,904,2066,1.772
Medium_variant,904,2067,1.773
Medium_variant,904,2068,1.774
Medium_variant,904,2069,1.774
Medium_variant,904,2070,1.775
Medium_variant,904,2071,1.776
Medium_variant,904,2072,1.777
Medium_variant,904,2073,1.778
Medium_variant,904,2074,1.779
Medium_variant,904,2075,1.78
Medium_variant,904,2076,1.78
Medium_variant,904,2077,1.781
Medium_variant,904,2078,1.782
Medium_variant,904,2079,1.783
Medium_variant,904,2080,1.784
Medium_variant,904,2081,1.785
Medium_variant,904,2082,1.786
Medium_variant,904,2083,1.787
Medium_variant,904,2084,1.788
Medium_variant,904,2085,1.789
Medium_variant,904,2086,1.79
Medium_variant,904,2087,1.791
Medium_variant,904,2088,1.792
Medium_variant,904,2089,1.793
Medium_variant,904,2090,1.794
Medium_variant,904,2091,1.795
Medium_variant,904,2092,1.796
Medium_variant,904,2093,1.797
Medium_variant,904,2094,1.798
Medium_variant,904,2095,1.799
Medium_variant,904,2096,1.8
Medium_variant,904,2097,1.801
Medium_variant,904,2098,1.802
Medium_variant,904,2099,1.803
