country,variant,freq,year,totalfertility
152,estimates,5yearly,1950,5.1522
152,estimates,5yearly,1955,5.1771
152,estimates,5yearly,1960,4.9638
152,estimates,5yearly,1965,4.4586
152,estimates,5yearly,1970,3.565
152,estimates,5yearly,1975,2.9315
152,estimates,5yearly,1980,2.6554
152,estimates,5yearly,1985,2.6002
152,estimates,5yearly,1990,2.3779
152,estimates,5yearly,1995,2.1604
152,estimates,5yearly,2000,2.0011
152,estimates,5yearly,2005,1.8773
152,estimates,5yearly,2010,1.7823
152,constantfertility,5yearly,2015,1.7823
152,constantmortality,5yearly,2015,1.7273
152,highvariant,5yearly,2015,1.9773
152,instantreplacement,5yearly,2015,2.06826
152,lowvariant,5yearly,2015,1.4773
152,mediumvariant,5yearly,2015,1.7273
152,nochange,5yearly,2015,1.7823
152,zeromigration,5yearly,2015,1.7273
152,constantfertility,5yearly,2020,1.7823
152,constantmortality,5yearly,2020,1.7031
152,highvariant,5yearly,2020,2.1031
152,instantreplacement,5yearly,2020,2.06424
152,lowvariant,5yearly,2020,1.3031
152,mediumvariant,5yearly,2020,1.7031
152,nochange,5yearly,2020,1.7823
152,zeromigration,5yearly,2020,1.7031
152,constantfertility,5yearly,2025,1.7823
152,constantmortality,5yearly,2025,1.6993
152,highvariant,5yearly,2025,2.1993
152,instantreplacement,5yearly,2025,2.060965
152,lowvariant,5yearly,2025,1.1993
152,mediumvariant,5yearly,2025,1.6993
152,nochange,5yearly,2025,1.7823
152,zeromigration,5yearly,2025,1.6993
152,constantfertility,5yearly,2030,1.7823
152,constantmortality,5yearly,2030,1.7008
152,highvariant,5yearly,2030,2.2008
152,instantreplacement,5yearly,2030,2.05839
152,lowvariant,5yearly,2030,1.2008
152,mediumvariant,5yearly,2030,1.7008
152,nochange,5yearly,2030,1.7823
152,zeromigration,5yearly,2030,1.7008
152,constantfertility,5yearly,2035,1.7823
152,constantmortality,5yearly,2035,1.7077
152,highvariant,5yearly,2035,2.2077
152,instantreplacement,5yearly,2035,2.056235
152,lowvariant,5yearly,2035,1.2077
152,mediumvariant,5yearly,2035,1.7077
152,nochange,5yearly,2035,1.7823
152,zeromigration,5yearly,2035,1.7077
152,constantfertility,5yearly,2040,1.7823
152,constantmortality,5yearly,2040,1.7153
152,highvariant,5yearly,2040,2.2153
152,instantreplacement,5yearly,2040,2.05438
152,lowvariant,5yearly,2040,1.2153
152,mediumvariant,5yearly,2040,1.7153
152,nochange,5yearly,2040,1.7823
152,zeromigration,5yearly,2040,1.7153
152,constantfertility,5yearly,2045,1.7823
152,constantmortality,5yearly,2045,1.7261
152,highvariant,5yearly,2045,2.2261
152,instantreplacement,5yearly,2045,2.05292
152,lowvariant,5yearly,2045,1.2261
152,mediumvariant,5yearly,2045,1.7261
152,nochange,5yearly,2045,1.7823
152,zeromigration,5yearly,2045,1.7261
152,constantfertility,5yearly,2050,1.7823
152,constantmortality,5yearly,2050,1.7389
152,highvariant,5yearly,2050,2.2389
