country,variant,freq,year,totalfertility
690,estimates,5Yearly,1950,5
690,estimates,5Yearly,1955,5
690,estimates,5Yearly,1960,5.59
690,estimates,5Yearly,1965,5.92
690,estimates,5Yearly,1970,5.3819
690,estimates,5Yearly,1975,4.2696
690,estimates,5Yearly,1980,3.5077
690,estimates,5Yearly,1985,2.9377
690,estimates,5Yearly,1990,2.5734
690,estimates,5Yearly,1995,2.178
690,estimates,5Yearly,2000,2.2
690,estimates,5Yearly,2005,2.3
690,estimates,5Yearly,2010,2.33
690,constant-fertility,5Yearly,2015,2.33
690,constant-mortality,5Yearly,2015,2.2143
690,high variant,5Yearly,2015,2.4643
690,instant-replacement,5Yearly,2015,2.092355
690,low variant,5Yearly,2015,1.9643
690,medium variant,5Yearly,2015,2.2143
690,no change,5Yearly,2015,2.33
690,zero-migration,5Yearly,2015,2.2143
690,constant-fertility,5Yearly,2020,2.33
690,constant-mortality,5Yearly,2020,2.1133
690,high variant,5Yearly,2020,2.5133
690,instant-replacement,5Yearly,2020,2.0893
690,low variant,5Yearly,2020,1.7133
690,medium variant,5Yearly,2020,2.1133
690,no change,5Yearly,2020,2.33
690,zero-migration,5Yearly,2020,2.1133
690,constant-fertility,5Yearly,2025,2.33
690,constant-mortality,5Yearly,2025,2.0302
690,high variant,5Yearly,2025,2.5302
690,instant-replacement,5Yearly,2025,2.086955
690,low variant,5Yearly,2025,1.5302
690,medium variant,5Yearly,2025,2.0302
690,no change,5Yearly,2025,2.33
690,zero-migration,5Yearly,2025,2.0302
690,constant-fertility,5Yearly,2030,2.33
690,constant-mortality,5Yearly,2030,1.9671
690,high variant,5Yearly,2030,2.4671
690,instant-replacement,5Yearly,2030,2.0851
690,low variant,5Yearly,2030,1.4671
690,medium variant,5Yearly,2030,1.9671
690,no change,5Yearly,2030,2.33
690,zero-migration,5Yearly,2030,1.9671
690,constant-fertility,5Yearly,2035,2.33
690,constant-mortality,5Yearly,2035,1.9204
690,high variant,5Yearly,2035,2.4204
690,instant-replacement,5Yearly,2035,2.08356
690,low variant,5Yearly,2035,1.4204
690,medium variant,5Yearly,2035,1.9204
690,no change,5Yearly,2035,2.33
690,zero-migration,5Yearly,2035,1.9204
690,constant-fertility,5Yearly,2040,2.33
690,constant-mortality,5Yearly,2040,1.8888
690,high variant,5Yearly,2040,2.3888
690,instant-replacement,5Yearly,2040,2.08206
690,low variant,5Yearly,2040,1.3888
690,medium variant,5Yearly,2040,1.8888
690,no change,5Yearly,2040,2.33
690,zero-migration,5Yearly,2040,1.8888
690,constant-fertility,5Yearly,2045,2.33
690,constant-mortality,5Yearly,2045,1.8649
690,high variant,5Yearly,2045,2.3649
690,instant-replacement,5Yearly,2045,2.080765
690,low variant,5Yearly,2045,1.3649
690,medium variant,5Yearly,2045,1.8649
690,no change,5Yearly,2045,2.33
690,zero-migration,5Yearly,2045,1.8649
690,constant-fertility,5Yearly,2050,2.33
690,constant-mortality,5Yearly,2050,1.8527
690,high variant,5Yearly,2050,2.3527
690,instant-replacement,5Yearly,2050,2.07959
690,low variant,5Yearly,2050,1.3527
690,medium variant,5Yearly,2050,1.8527
690,no change,5Yearly,2050,2.33
690,zero-migration,5Yearly,2050,1.8527
690,constant-fertility,5Yearly,2055,2.33
690,constant-mortality,5Yearly,2055,1.8433
690,high variant,5Yearly,2055,2.3433
690,instant-replacement,5Yearly,2055,2.07852
690,low variant,5Yearly,2055,1.3433
690,medium variant,5Yearly,2055,1.8433
690,no change,5Yearly,2055,2.33
690,zero-migration,5Yearly,2055,1.8433
690,constant-fertility,5Yearly,2060,2.33
690,constant-mortality,5Yearly,2060,1.8383
690,high variant,5Yearly,2060,2.3383
690,instant-replacement,5Yearly,2060,2.077485
690,low variant,5Yearly,2060,1.3383
690,medium variant,5Yearly,2060,1.8383
690,no change,5Yearly,2060,2.33
690,zero-migration,5Yearly,2060,1.8383
690,constant-fertility,5Yearly,2065,2.33
690,constant-mortality,5Yearly,2065,1.8367
690,high variant,5Yearly,2065,2.3367
690,instant-replacement,5Yearly,2065,2.076635
690,low variant,5Yearly,2065,1.3367
690,medium variant,5Yearly,2065,1.8367
690,no change,5Yearly,2065,2.33
690,zero-migration,5Yearly,2065,1.8367
690,constant-fertility,5Yearly,2070,2.33
690,constant-mortality,5Yearly,2070,1.836
690,high variant,5Yearly,2070,2.336
690,instant-replacement,5Yearly,2070,2.07581
690,low variant,5Yearly,2070,1.336
690,medium variant,5Yearly,2070,1.836
690,no change,5Yearly,2070,2.33
690,zero-migration,5Yearly,2070,1.836
690,constant-fertility,5Yearly,2075,2.33
690,constant-mortality,5Yearly,2075,1.8373
690,high variant,5Yearly,2075,2.3373
690,instant-replacement,5Yearly,2075,2.075135
690,low variant,5Yearly,2075,1.3373
690,medium variant,5Yearly,2075,1.8373
690,no change,5Yearly,2075,2.33
690,zero-migration,5Yearly,2075,1.8373
690,constant-fertility,5Yearly,2080,2.33
690,constant-mortality,5Yearly,2080,1.8391
690,high variant,5Yearly,2080,2.3391
690,instant-replacement,5Yearly,2080,2.074415
690,low variant,5Yearly,2080,1.3391
690,medium variant,5Yearly,2080,1.8391
690,no change,5Yearly,2080,2.33
690,zero-migration,5Yearly,2080,1.8391
690,constant-fertility,5Yearly,2085,2.33
690,constant-mortality,5Yearly,2085,1.8411
690,high variant,5Yearly,2085,2.3411
690,instant-replacement,5Yearly,2085,2.07376
690,low variant,5Yearly,2085,1.3411
690,medium variant,5Yearly,2085,1.8411
690,no change,5Yearly,2085,2.33
690,zero-migration,5Yearly,2085,1.8411
690,constant-fertility,5Yearly,2090,2.33
690,constant-mortality,5Yearly,2090,1.8429
690,high variant,5Yearly,2090,2.3429
690,instant-replacement,5Yearly,2090,2.073175
690,low variant,5Yearly,2090,1.3429
690,medium variant,5Yearly,2090,1.8429
690,no change,5Yearly,2090,2.33
690,zero-migration,5Yearly,2090,1.8429
690,constant-fertility,5Yearly,2095,2.33
690,constant-mortality,5Yearly,2095,1.8467
690,high variant,5Yearly,2095,2.3467
690,instant-replacement,5Yearly,2095,2.07252
690,low variant,5Yearly,2095,1.3467
