variant,country,year,totalfertility
Estimates,807,1950,5.521
Estimates,807,1951,5.397
Estimates,807,1952,5.157
Estimates,807,1953,4.933
Estimates,807,1954,4.726
Estimates,807,1955,4.536
Estimates,807,1956,4.362
Estimates,807,1957,4.205
Estimates,807,1958,4.066
Estimates,807,1959,3.945
Estimates,807,1960,3.842
Estimates,807,1961,3.758
Estimates,807,1962,3.691
Estimates,807,1963,3.638
Estimates,807,1964,3.595
Estimates,807,1965,3.552
Estimates,807,1966,3.502
Estimates,807,1967,3.439
Estimates,807,1968,3.36
Estimates,807,1969,3.265
Estimates,807,1970,3.158
Estimates,807,1971,3.044
Estimates,807,1972,2.932
Estimates,807,1973,2.828
Estimates,807,1974,2.738
Estimates,807,1975,2.663
Estimates,807,1976,2.606
Estimates,807,1977,2.562
Estimates,807,1978,2.529
Estimates,807,1979,2.505
Estimates,807,1980,2.486
Estimates,807,1981,2.468
Estimates,807,1982,2.449
Estimates,807,1983,2.426
Estimates,807,1984,2.399
Estimates,807,1985,2.368
Estimates,807,1986,2.335
Estimates,807,1987,2.301
Estimates,807,1988,2.269
Estimates,807,1989,2.238
Estimates,807,1990,2.206
Estimates,807,1991,2.171
Estimates,807,1992,2.131
Estimates,807,1993,2.085
Estimates,807,1994,2.033
Estimates,807,1995,1.977
Estimates,807,1996,1.919
Estimates,807,1997,1.864
Estimates,807,1998,1.812
Estimates,807,1999,1.765
Estimates,807,2000,1.723
Estimates,807,2001,1.683
Estimates,807,2002,1.643
Estimates,807,2003,1.604
Estimates,807,2004,1.565
Estimates,807,2005,1.53
Estimates,807,2006,1.5
Estimates,807,2007,1.479
Estimates,807,2008,1.467
Estimates,807,2009,1.465
Estimates,807,2010,1.471
Estimates,807,2011,1.482
Estimates,807,2012,1.497
Estimates,807,2013,1.511
Estimates,807,2014,1.524
Estimates,807,2015,1.535
Medium_variant,807,2015,1.535
Medium_variant,807,2016,1.543
Medium_variant,807,2017,1.55
Medium_variant,807,2018,1.557
Medium_variant,807,2019,1.564
Medium_variant,807,2020,1.571
Medium_variant,807,2021,1.578
Medium_variant,807,2022,1.584
Medium_variant,807,2023,1.591
Medium_variant,807,2024,1.597
Medium_variant,807,2025,1.603
Medium_variant,807,2026,1.609
Medium_variant,807,2027,1.615
Medium_variant,807,2028,1.62
Medium_variant,807,2029,1.626
Medium_variant,807,2030,1.632
Medium_variant,807,2031,1.637
Medium_variant,807,2032,1.643
Medium_variant,807,2033,1.648
Medium_variant,807,2034,1.653
Medium_variant,807,2035,1.658
Medium_variant,807,2036,1.663
Medium_variant,807,2037,1.668
Medium_variant,807,2038,1.672
Medium_variant,807,2039,1.677
Medium_variant,807,2040,1.681
Medium_variant,807,2041,1.685
Medium_variant,807,2042,1.689
Medium_variant,807,2043,1.693
Medium_variant,807,2044,1.697
Medium_variant,807,2045,1.701
Medium_variant,807,2046,1.705
Medium_variant,807,2047,1.709
Medium_variant,807,2048,1.713
Medium_variant,807,2049,1.716
Medium_variant,807,2050,1.72
Medium_variant,807,2051,1.723
Medium_variant,807,2052,1.726
Medium_variant,807,2053,1.729
Medium_variant,807,2054,1.732
Medium_variant,807,2055,1.735
Medium_variant,807,2056,1.738
Medium_variant,807,2057,1.741
Medium_variant,807,2058,1.744
Medium_variant,807,2059,1.746
Medium_variant,807,2060,1.749
Medium_variant,807,2061,1.752
Medium_variant,807,2062,1.754
Medium_variant,807,2063,1.757
Medium_variant,807,2064,1.759
Medium_variant,807,2065,1.761
Medium_variant,807,2066,1.764
Medium_variant,807,2067,1.766
Medium_variant,807,2068,1.768
Medium_variant,807,2069,1.77
Medium_variant,807,2070,1.772
Medium_variant,807,2071,1.774
Medium_variant,807,2072,1.776
Medium_variant,807,2073,1.778
Medium_variant,807,2074,1.78
Medium_variant,807,2075,1.782
Medium_variant,807,2076,1.784
Medium_variant,807,2077,1.786
Medium_variant,807,2078,1.788
Medium_variant,807,2079,1.789
Medium_variant,807,2080,1.791
Medium_variant,807,2081,1.793
Medium_variant,807,2082,1.795
Medium_variant,807,2083,1.796
Medium_variant,807,2084,1.798
Medium_variant,807,2085,1.799
Medium_variant,807,2086,1.801
Medium_variant,807,2087,1.802
Medium_variant,807,2088,1.803
Medium_variant,807,2089,1.804
Medium_variant,807,2090,1.805
Medium_variant,807,2091,1.806
Medium_variant,807,2092,1.807
Medium_variant,807,2093,1.808
Medium_variant,807,2094,1.809
Medium_variant,807,2095,1.81
Medium_variant,807,2096,1.811
Medium_variant,807,2097,1.812
Medium_variant,807,2098,1.813
Medium_variant,807,2099,1.815
