global,variant,freq,year,totalfertility
900,Estimates,5yearly,1950,4.96157115250339
900,Estimates,5yearly,1955,4.89866527788125
900,Estimates,5yearly,1960,5.02437944168009
900,Estimates,5yearly,1965,4.92220199062706
900,Estimates,5yearly,1970,4.47547847529707
900,Estimates,5yearly,1975,3.8651950630459
900,Estimates,5yearly,1980,3.59181634579919
900,Estimates,5yearly,1985,3.44681116362334
900,Estimates,5yearly,1990,3.04461604918338
900,Estimates,5yearly,1995,2.7419319845544
900,Estimates,5yearly,2000,2.62161685535691
900,Estimates,5yearly,2005,2.55678855792867
900,Estimates,5yearly,2010,2.51129034402101
900,Constant_fertility,5yearly,2015,2.58706649151129
900,Constant_mortality,5yearly,2015,2.47183206763232
900,High_variant,5yearly,2015,2.72352711605362
900,Instant_replacement,5yearly,2015,2.2115856037015
900,Low_variant,5yearly,2015,2.22091491618778
900,Medium_variant,5yearly,2015,2.47235354465495
900,No_change,5yearly,2015,2.58646055849818
900,Zero_migration,5yearly,2015,2.47381759673467
900,Constant_fertility,5yearly,2020,2.66478455902127
900,Constant_mortality,5yearly,2020,2.42416428909509
900,High_variant,5yearly,2020,2.82544955201608
900,Instant_replacement,5yearly,2020,2.18287743649881
900,Low_variant,5yearly,2020,2.02618712509512
900,Medium_variant,5yearly,2020,2.42583913538323
900,No_change,5yearly,2020,2.66257115364348
900,Zero_migration,5yearly,2020,2.42902951762205
900,Constant_fertility,5yearly,2025,2.74993970989545
900,Constant_mortality,5yearly,2025,2.3816534033199
900,High_variant,5yearly,2025,2.88324508828875
900,Instant_replacement,5yearly,2025,2.16373555017687
900,Low_variant,5yearly,2025,1.88646741736999
900,Medium_variant,5yearly,2025,2.38486654685171
900,No_change,5yearly,2025,2.74513463361306
900,Zero_migration,5yearly,2025,2.38808647971023
900,Constant_fertility,5yearly,2030,2.84011910160393
900,Constant_mortality,5yearly,2030,2.34020053072568
900,High_variant,5yearly,2030,2.84157607594015
900,Instant_replacement,5yearly,2030,2.14221170372495
900,Low_variant,5yearly,2030,1.84911797775068
900,Medium_variant,5yearly,2030,2.34544193587236
900,No_change,5yearly,2030,2.8311849595174
900,Zero_migration,5yearly,2030,2.34810319358266
900,Constant_fertility,5yearly,2035,2.93604077220916
900,Constant_mortality,5yearly,2035,2.29928814394179
900,High_variant,5yearly,2035,2.79765631857217
900,Instant_replacement,5yearly,2035,2.12003022861776
900,Low_variant,5yearly,2035,1.81758713042262
900,Medium_variant,5yearly,2035,2.3073091931397
900,No_change,5yearly,2035,2.92081901518009
900,Zero_migration,5yearly,2035,2.30997938239051
900,Constant_fertility,5yearly,2040,3.03906447906159
900,Constant_mortality,5yearly,2040,2.26459319201911
900,High_variant,5yearly,2040,2.7595457307365
900,Instant_replacement,5yearly,2040,2.112837324168
900,Low_variant,5yearly,2040,1.79595015450217
900,Medium_variant,5yearly,2040,2.27593435233602
900,No_change,5yearly,2040,3.01524375173815
900,Zero_migration,5yearly,2040,2.27917928635696
900,Constant_fertility,5yearly,2045,3.14849451846413
900,Constant_mortality,5yearly,2045,2.23404412967158
900,High_variant,5yearly,2045,2.72798262355485
900,Instant_replacement,5yearly,2045,2.12506748690763
900,Low_variant,5yearly,2045,1.77733141691862
900,Medium_variant,5yearly,2045,2.2484983898502
900,No_change,5yearly,2045,3.11390747574251
900,Zero_migration,5yearly,2045,2.25210187692996
900,Constant_fertility,5yearly,2050,3.26448785752501
900,Constant_mortality,5yearly,2050,2.20227431761354
900,High_variant,5yearly,2050,2.69739768968561
900,Instant_replacement,5yearly,2050,2.13641314228854
900,Low_variant,5yearly,2050,1.753555111367
900,Medium_variant,5yearly,2050,2.21929955024939
900,No_change,5yearly,2050,3.21715255894035
900,Zero_migration,5yearly,2050,2.22272323443559
900,Constant_fertility,5yearly,2055,3.38596427204072
900,Constant_mortality,5yearly,2055,2.16552584696436
900,High_variant,5yearly,2055,2.6615517160458
900,Instant_replacement,5yearly,2055,2.12135028551992
900,Low_variant,5yearly,2055,1.72193843031534
900,Medium_variant,5yearly,2055,2.18471509210095
900,No_change,5yearly,2055,3.32407688845341
900,Zero_migration,5yearly,2055,2.18754596205988
900,Constant_fertility,5yearly,2060,3.51088020949106
900,Constant_mortality,5yearly,2060,2.13131127678598
900,High_variant,5yearly,2060,2.62832343039741
900,Instant_replacement,5yearly,2060,2.10112795692673
900,Low_variant,5yearly,2060,1.69069985331922
900,Medium_variant,5yearly,2060,2.15238912996895
900,No_change,5yearly,2060,3.43289309645354
900,Zero_migration,5yearly,2060,2.15461781152409
900,Constant_fertility,5yearly,2065,3.63797698516938
900,Constant_mortality,5yearly,2065,2.10137221520687
