variant,global,year,totalfertility
estimates,900,1950,5.042
estimates,900,1951,5.016
estimates,900,1952,4.971
estimates,900,1953,4.936
estimates,900,1954,4.912
estimates,900,1955,4.899
estimates,900,1956,4.897
estimates,900,1957,4.904
estimates,900,1958,4.919
estimates,900,1959,4.94
estimates,900,1960,4.965
estimates,900,1961,4.99
estimates,900,1962,5.011
estimates,900,1963,5.025
estimates,900,1964,5.028
estimates,900,1965,5.017
estimates,900,1966,4.99
estimates,900,1967,4.948
estimates,900,1968,4.892
estimates,900,1969,4.822
estimates,900,1970,4.737
estimates,900,1971,4.638
estimates,900,1972,4.527
estimates,900,1973,4.407
estimates,900,1974,4.282
estimates,900,1975,4.158
estimates,900,1976,4.04
estimates,900,1977,3.933
estimates,900,1978,3.838
estimates,900,1979,3.758
estimates,900,1980,3.694
estimates,900,1981,3.646
estimates,900,1982,3.61
estimates,900,1983,3.581
estimates,900,1984,3.555
estimates,900,1985,3.528
estimates,900,1986,3.493
estimates,900,1987,3.45
estimates,900,1988,3.396
estimates,900,1989,3.331
estimates,900,1990,3.257
estimates,900,1991,3.176
estimates,900,1992,3.093
estimates,900,1993,3.013
estimates,900,1994,2.939
estimates,900,1995,2.872
estimates,900,1996,2.815
estimates,900,1997,2.766
estimates,900,1998,2.725
estimates,900,1999,2.691
estimates,900,2000,2.663
estimates,900,2001,2.641
estimates,900,2002,2.624
estimates,900,2003,2.609
estimates,900,2004,2.595
estimates,900,2005,2.583
estimates,900,2006,2.571
estimates,900,2007,2.56
estimates,900,2008,2.55
estimates,900,2009,2.541
estimates,900,2010,2.532
estimates,900,2011,2.523
estimates,900,2012,2.515
estimates,900,2013,2.507
estimates,900,2014,2.5
estimates,900,2015,2.492
medium_variant,900,2015,2.492
medium_variant,900,2016,2.484
medium_variant,900,2017,2.476
medium_variant,900,2018,2.467
medium_variant,900,2019,2.458
medium_variant,900,2020,2.449
medium_variant,900,2021,2.44
medium_variant,900,2022,2.431
medium_variant,900,2023,2.422
medium_variant,900,2024,2.413
medium_variant,900,2025,2.405
medium_variant,900,2026,2.397
medium_variant,900,2027,2.389
medium_variant,900,2028,2.381
medium_variant,900,2029,2.373
medium_variant,900,2030,2.365
medium_variant,900,2031,2.357
medium_variant,900,2032,2.349
medium_variant,900,2033,2.341
medium_variant,900,2034,2.333
medium_variant,900,2035,2.326
medium_variant,900,2036,2.318
medium_variant,900,2037,2.311
medium_variant,900,2038,2.304
medium_variant,900,2039,2.297
medium_variant,900,2040,2.291
medium_variant,900,2041,2.285
medium_variant,900,2042,2.279
medium_variant,900,2043,2.273
medium_variant,900,2044,2.268
medium_variant,900,2045,2.262
medium_variant,900,2046,2.257
medium_variant,900,2047,2.251
medium_variant,900,2048,2.246
medium_variant,900,2049,2.24
medium_variant,900,2050,2.234
medium_variant,900,2051,2.228
medium_variant,900,2052,2.222
medium_variant,900,2053,2.216
medium_variant,900,2054,2.209
medium_variant,900,2055,2.202
medium_variant,900,2056,2.195
medium_variant,900,2057,2.188
medium_variant,900,2058,2.181
medium_variant,900,2059,2.175
medium_variant,900,2060,2.168
medium_variant,900,2061,2.162
medium_variant,900,2062,2.155
medium_variant,900,2063,2.149
medium_variant,900,2064,2.143
medium_variant,900,2065,2.138
medium_variant,900,2066,2.132
medium_variant,900,2067,2.127
medium_variant,900,2068,2.121
medium_variant,900,2069,2.116
medium_variant,900,2070,2.111
medium_variant,900,2071,2.106
medium_variant,900,2072,2.101
medium_variant,900,2073,2.096
medium_variant,900,2074,2.092
medium_variant,900,2075,2.087
medium_variant,900,2076,2.082
medium_variant,900,2077,2.078
medium_variant,900,2078,2.073
medium_variant,900,2079,2.068
medium_variant,900,2080,2.064
medium_variant,900,2081,2.059
medium_variant,900,2082,2.054
medium_variant,900,2083,2.05
medium_variant,900,2084,2.045
medium_variant,900,2085,2.041
medium_variant,900,2086,2.036
medium_variant,900,2087,2.031
medium_variant,900,2088,2.027
medium_variant,900,2089,2.022
medium_variant,900,2090,2.018
medium_variant,900,2091,2.013
medium_variant,900,2092,2.009
medium_variant,900,2093,2.004
medium_variant,900,2094,2
medium_variant,900,2095,1.996
medium_variant,900,2096,1.991
medium_variant,900,2097,1.987
medium_variant,900,2098,1.983
medium_variant,900,2099,1.979
