variant,region,year,totalfertility
Estimates,927,1950,3.086
Estimates,927,1951,3.14
Estimates,927,1952,3.241
Estimates,927,1953,3.328
Estimates,927,1954,3.4
Estimates,927,1955,3.459
Estimates,927,1956,3.502
Estimates,927,1957,3.532
Estimates,927,1958,3.546
Estimates,927,1959,3.544
Estimates,927,1960,3.526
Estimates,927,1961,3.491
Estimates,927,1962,3.439
Estimates,927,1963,3.372
Estimates,927,1964,3.292
Estimates,927,1965,3.205
Estimates,927,1966,3.116
Estimates,927,1967,3.027
Estimates,927,1968,2.942
Estimates,927,1969,2.861
Estimates,927,1970,2.781
Estimates,927,1971,2.698
Estimates,927,1972,2.606
Estimates,927,1973,2.504
Estimates,927,1974,2.396
Estimates,927,1975,2.286
Estimates,927,1976,2.182
Estimates,927,1977,2.091
Estimates,927,1978,2.018
Estimates,927,1979,1.966
Estimates,927,1980,1.932
Estimates,927,1981,1.914
Estimates,927,1982,1.906
Estimates,927,1983,1.902
Estimates,927,1984,1.899
Estimates,927,1985,1.896
Estimates,927,1986,1.893
Estimates,927,1987,1.892
Estimates,927,1988,1.893
Estimates,927,1989,1.895
Estimates,927,1990,1.897
Estimates,927,1991,1.896
Estimates,927,1992,1.892
Estimates,927,1993,1.884
Estimates,927,1994,1.872
Estimates,927,1995,1.857
Estimates,927,1996,1.84
Estimates,927,1997,1.822
Estimates,927,1998,1.807
Estimates,927,1999,1.795
Estimates,927,2000,1.79
Estimates,927,2001,1.795
Estimates,927,2002,1.81
Estimates,927,2003,1.833
Estimates,927,2004,1.863
Estimates,927,2005,1.897
Estimates,927,2006,1.929
Estimates,927,2007,1.956
Estimates,927,2008,1.974
Estimates,927,2009,1.982
Estimates,927,2010,1.98
Estimates,927,2011,1.97
Estimates,927,2012,1.956
Estimates,927,2013,1.94
Estimates,927,2014,1.925
Estimates,927,2015,1.911
Medium_variant,927,2015,1.911
Medium_variant,927,2016,1.899
Medium_variant,927,2017,1.888
Medium_variant,927,2018,1.878
Medium_variant,927,2019,1.869
Medium_variant,927,2020,1.861
Medium_variant,927,2021,1.854
Medium_variant,927,2022,1.848
Medium_variant,927,2023,1.842
Medium_variant,927,2024,1.837
Medium_variant,927,2025,1.832
Medium_variant,927,2026,1.827
Medium_variant,927,2027,1.823
Medium_variant,927,2028,1.819
Medium_variant,927,2029,1.815
Medium_variant,927,2030,1.811
Medium_variant,927,2031,1.808
Medium_variant,927,2032,1.805
Medium_variant,927,2033,1.802
Medium_variant,927,2034,1.799
Medium_variant,927,2035,1.797
Medium_variant,927,2036,1.794
Medium_variant,927,2037,1.792
Medium_variant,927,2038,1.791
Medium_variant,927,2039,1.789
Medium_variant,927,2040,1.788
Medium_variant,927,2041,1.788
Medium_variant,927,2042,1.787
Medium_variant,927,2043,1.786
Medium_variant,927,2044,1.786
Medium_variant,927,2045,1.786
Medium_variant,927,2046,1.786
Medium_variant,927,2047,1.786
Medium_variant,927,2048,1.786
Medium_variant,927,2049,1.786
Medium_variant,927,2050,1.786
Medium_variant,927,2051,1.786
Medium_variant,927,2052,1.787
Medium_variant,927,2053,1.787
Medium_variant,927,2054,1.787
Medium_variant,927,2055,1.788
Medium_variant,927,2056,1.788
Medium_variant,927,2057,1.788
Medium_variant,927,2058,1.789
Medium_variant,927,2059,1.789
Medium_variant,927,2060,1.79
Medium_variant,927,2061,1.791
Medium_variant,927,2062,1.791
Medium_variant,927,2063,1.792
Medium_variant,927,2064,1.793
Medium_variant,927,2065,1.793
Medium_variant,927,2066,1.794
Medium_variant,927,2067,1.795
Medium_variant,927,2068,1.795
Medium_variant,927,2069,1.796
Medium_variant,927,2070,1.797
Medium_variant,927,2071,1.798
Medium_variant,927,2072,1.799
Medium_variant,927,2073,1.8
Medium_variant,927,2074,1.801
Medium_variant,927,2075,1.802
Medium_variant,927,2076,1.803
Medium_variant,927,2077,1.804
Medium_variant,927,2078,1.805
Medium_variant,927,2079,1.805
Medium_variant,927,2080,1.806
Medium_variant,927,2081,1.807
Medium_variant,927,2082,1.808
Medium_variant,927,2083,1.809
Medium_variant,927,2084,1.81
Medium_variant,927,2085,1.811
Medium_variant,927,2086,1.812
Medium_variant,927,2087,1.813
Medium_variant,927,2088,1.814
Medium_variant,927,2089,1.815
Medium_variant,927,2090,1.816
Medium_variant,927,2091,1.816
Medium_variant,927,2092,1.817
Medium_variant,927,2093,1.818
Medium_variant,927,2094,1.819
Medium_variant,927,2095,1.819
Medium_variant,927,2096,1.82
Medium_variant,927,2097,1.821
Medium_variant,927,2098,1.821
Medium_variant,927,2099,1.822
