variant,country,year,totalpopulationannualdoubletime
estimates,344,1950,22.36
estimates,344,1951,17.83
estimates,344,1952,13.922
estimates,344,1953,13.149
estimates,344,1954,13.634
estimates,344,1955,14.791
estimates,344,1956,16.155
estimates,344,1957,17.127
estimates,344,1958,17.131
estimates,344,1959,16.187
estimates,344,1960,14.964
estimates,344,1961,14.181
estimates,344,1962,14.381
estimates,344,1963,16.175
estimates,344,1964,20.569
estimates,344,1965,30.236
estimates,344,1966,53.479
estimates,344,1967,115.78
estimates,344,1968,199
estimates,344,1969,126.614
estimates,344,1970,71.58
estimates,344,1971,50.479
estimates,344,1972,39.841
estimates,344,1973,32.897
estimates,344,1974,28.37
estimates,344,1975,24.965
estimates,344,1976,22.402
estimates,344,1977,21.362
estimates,344,1978,22.315
estimates,344,1979,25.53
estimates,344,1980,31.509
estimates,344,1981,40.693
estimates,344,1982,52.017
estimates,344,1983,60.275
estimates,344,1984,60.046
estimates,344,1985,55.03
estimates,344,1986,50.798
estimates,344,1987,48.928
estimates,344,1988,49.649
estimates,344,1989,53.074
estimates,344,1990,59.375
estimates,344,1991,67.325
estimates,344,1992,70.066
estimates,344,1993,61.876
estimates,344,1994,49.375
estimates,344,1995,39.028
estimates,344,1996,32.618
estimates,344,1997,30.406
estimates,344,1998,32.675
estimates,344,1999,41.314
estimates,344,2000,63.601
estimates,344,2001,132.671
estimates,344,2002,686.322
estimates,344,2003,-727.484
estimates,344,2004,-1202.019
estimates,344,2005,672.741
estimates,344,2006,263.446
estimates,344,2007,174.87
estimates,344,2008,135.551
estimates,344,2009,115.853
estimates,344,2010,102.168
estimates,344,2011,90.222
estimates,344,2012,82.26
estimates,344,2013,79.446
estimates,344,2014,80.748
estimates,344,2015,84.614
medium_variant,344,2015,84.614
medium_variant,344,2016,89.349
medium_variant,344,2017,94.118
medium_variant,344,2018,98.503
medium_variant,344,2019,102.09
medium_variant,344,2020,105.644
medium_variant,344,2021,110.205
medium_variant,344,2022,115.747
medium_variant,344,2023,121.835
medium_variant,344,2024,128.524
medium_variant,344,2025,135.983
medium_variant,344,2026,144.485
medium_variant,344,2027,154.449
medium_variant,344,2028,166.417
medium_variant,344,2029,180.958
medium_variant,344,2030,198.371
medium_variant,344,2031,218.995
medium_variant,344,2032,244.144
medium_variant,344,2033,276.093
medium_variant,344,2034,317.487
medium_variant,344,2035,372.434
medium_variant,344,2036,446.131
medium_variant,344,2037,540.19
medium_variant,344,2038,648.594
medium_variant,344,2039,760.546
medium_variant,344,2040,879.228
medium_variant,344,2041,1022.136
medium_variant,344,2042,1177.912
medium_variant,344,2043,1303.261
medium_variant,344,2044,1376.933
medium_variant,344,2045,1399.869
medium_variant,344,2046,1405.271
medium_variant,344,2047,1465.091
medium_variant,344,2048,1674.212
medium_variant,344,2049,2210.993
medium_variant,344,2050,3618.832
medium_variant,344,2051,10085.589
medium_variant,344,2052,-12331.772
medium_variant,344,2053,-3645.735
medium_variant,344,2054,-2094.904
medium_variant,344,2055,-1456.571
medium_variant,344,2056,-1114.922
medium_variant,344,2057,-909.333
medium_variant,344,2058,-776.808
medium_variant,344,2059,-686.119
medium_variant,344,2060,-619.446
medium_variant,344,2061,-567.527
medium_variant,344,2062,-527.235
medium_variant,344,2063,-496.745
medium_variant,344,2064,-473.882
medium_variant,344,2065,-456.764
medium_variant,344,2066,-444.073
medium_variant,344,2067,-435.057
medium_variant,344,2068,-429.344
medium_variant,344,2069,-426.853
medium_variant,344,2070,-427.411
medium_variant,344,2071,-431.367
medium_variant,344,2072,-440.09
medium_variant,344,2073,-455.439
medium_variant,344,2074,-478.734
medium_variant,344,2075,-510.071
medium_variant,344,2076,-550.06
medium_variant,344,2077,-603.158
medium_variant,344,2078,-677.688
medium_variant,344,2079,-785.005
medium_variant,344,2080,-942.583
medium_variant,344,2081,-1182.906
medium_variant,344,2082,-1586.822
medium_variant,344,2083,-2400.117
medium_variant,344,2084,-4787.609
medium_variant,344,2085,-214018.475
medium_variant,344,2086,5192.971
medium_variant,344,2087,2773.085
medium_variant,344,2088,2091.287
medium_variant,344,2089,1833.892
medium_variant,344,2090,1724.86
medium_variant,344,2091,1661.073
medium_variant,344,2092,1593.976
medium_variant,344,2093,1508.724
medium_variant,344,2094,1412.462
medium_variant,344,2095,1320.978
medium_variant,344,2096,1247.803
medium_variant,344,2097,1201.317
medium_variant,344,2098,1188.725
medium_variant,344,2099,1221.019
