variant,region,year,totalpopulationannualdoubletime
Estimates,916,1950,24.814
Estimates,916,1951,24.377
Estimates,916,1952,23.665
Estimates,916,1953,23.192
Estimates,916,1954,22.887
Estimates,916,1955,22.695
Estimates,916,1956,22.576
Estimates,916,1957,22.497
Estimates,916,1958,22.435
Estimates,916,1959,22.381
Estimates,916,1960,22.34
Estimates,916,1961,22.328
Estimates,916,1962,22.366
Estimates,916,1963,22.471
Estimates,916,1964,22.629
Estimates,916,1965,22.85
Estimates,916,1966,23.103
Estimates,916,1967,23.246
Estimates,916,1968,23.168
Estimates,916,1969,22.912
Estimates,916,1970,22.599
Estimates,916,1971,22.373
Estimates,916,1972,22.389
Estimates,916,1973,22.747
Estimates,916,1974,23.446
Estimates,916,1975,24.35
Estimates,916,1976,25.292
Estimates,916,1977,26.224
Estimates,916,1978,27.143
Estimates,916,1979,28.02
Estimates,916,1980,28.891
Estimates,916,1981,29.784
Estimates,916,1982,30.623
Estimates,916,1983,31.316
Estimates,916,1984,31.849
Estimates,916,1985,32.307
Estimates,916,1986,32.759
Estimates,916,1987,33.138
Estimates,916,1988,33.362
Estimates,916,1989,33.46
Estimates,916,1990,33.506
Estimates,916,1991,33.599
Estimates,916,1992,33.856
Estimates,916,1993,34.369
Estimates,916,1994,35.157
Estimates,916,1995,36.055
Estimates,916,1996,36.946
Estimates,916,1997,38.069
Estimates,916,1998,39.727
Estimates,916,1999,41.953
Estimates,916,2000,44.735
Estimates,916,2001,47.784
Estimates,916,2002,50.059
Estimates,916,2003,50.431
Estimates,916,2004,48.94
Estimates,916,2005,46.659
Estimates,916,2006,44.663
Estimates,916,2007,43.521
Estimates,916,2008,43.465
Estimates,916,2009,44.471
Estimates,916,2010,46.095
Estimates,916,2011,47.785
Estimates,916,2012,49.323
Estimates,916,2013,50.656
Estimates,916,2014,51.721
Estimates,916,2015,52.695
Medium_variant,916,2015,52.695
Medium_variant,916,2016,53.794
Medium_variant,916,2017,55.039
Medium_variant,916,2018,56.378
Medium_variant,916,2019,57.826
Medium_variant,916,2020,59.365
Medium_variant,916,2021,60.979
Medium_variant,916,2022,62.683
Medium_variant,916,2023,64.506
Medium_variant,916,2024,66.456
Medium_variant,916,2025,68.531
Medium_variant,916,2026,70.727
Medium_variant,916,2027,73.041
Medium_variant,916,2028,75.475
Medium_variant,916,2029,78.034
Medium_variant,916,2030,80.734
Medium_variant,916,2031,83.595
Medium_variant,916,2032,86.626
Medium_variant,916,2033,89.833
Medium_variant,916,2034,93.228
Medium_variant,916,2035,96.834
Medium_variant,916,2036,100.674
Medium_variant,916,2037,104.752
Medium_variant,916,2038,109.069
Medium_variant,916,2039,113.646
Medium_variant,916,2040,118.528
Medium_variant,916,2041,123.772
Medium_variant,916,2042,129.435
Medium_variant,916,2043,135.574
Medium_variant,916,2044,142.259
Medium_variant,916,2045,149.562
Medium_variant,916,2046,157.563
Medium_variant,916,2047,166.349
Medium_variant,916,2048,176.024
Medium_variant,916,2049,186.74
Medium_variant,916,2050,198.696
Medium_variant,916,2051,212.174
Medium_variant,916,2052,227.591
Medium_variant,916,2053,245.501
Medium_variant,916,2054,266.566
Medium_variant,916,2055,291.532
Medium_variant,916,2056,321.388
Medium_variant,916,2057,357.742
Medium_variant,916,2058,403.071
Medium_variant,916,2059,461.091
Medium_variant,916,2060,537.751
Medium_variant,916,2061,643.425
Medium_variant,916,2062,798.462
Medium_variant,916,2063,1048.098
Medium_variant,916,2064,1515.571
Medium_variant,916,2065,2706.608
Medium_variant,916,2066,11915.624
Medium_variant,916,2067,-5178.596
Medium_variant,916,2068,-2182.494
Medium_variant,916,2069,-1405.765
Medium_variant,916,2070,-1046.278
Medium_variant,916,2071,-836.745
Medium_variant,916,2072,-698.85
Medium_variant,916,2073,-601.041
Medium_variant,916,2074,-527.956
Medium_variant,916,2075,-471.657
Medium_variant,916,2076,-427.2
Medium_variant,916,2077,-390.894
Medium_variant,916,2078,-360.379
Medium_variant,916,2079,-334.41
Medium_variant,916,2080,-312.233
Medium_variant,916,2081,-293.307
Medium_variant,916,2082,-277.171
Medium_variant,916,2083,-263.406
Medium_variant,916,2084,-251.603
Medium_variant,916,2085,-241.32
Medium_variant,916,2086,-232.222
Medium_variant,916,2087,-224.171
Medium_variant,916,2088,-217.076
Medium_variant,916,2089,-210.81
Medium_variant,916,2090,-205.258
Medium_variant,916,2091,-200.318
Medium_variant,916,2092,-195.916
Medium_variant,916,2093,-191.991
Medium_variant,916,2094,-188.502
Medium_variant,916,2095,-185.418
Medium_variant,916,2096,-182.713
Medium_variant,916,2097,-180.369
Medium_variant,916,2098,-178.371
Medium_variant,916,2099,-176.707
