variant,continent,year,totalsurvivors_under_one_yearage
estimates,903,1950,9001.829
estimates,903,1951,9107.036
estimates,903,1952,9322.742
estimates,903,1953,9548.315
estimates,903,1954,9783.756
estimates,903,1955,10028.996
estimates,903,1956,10283.698
estimates,903,1957,10547.5
estimates,903,1958,10819.618
estimates,903,1959,11098.607
estimates,903,1960,11382.895
estimates,903,1961,11670.994
estimates,903,1962,11961.735
estimates,903,1963,12254.98
estimates,903,1964,12551.863
estimates,903,1965,12854.44
estimates,903,1966,13165.451
estimates,903,1967,13488.278
estimates,903,1968,13825.984
estimates,903,1969,14180.649
estimates,903,1970,14554.541
estimates,903,1971,14949.202
estimates,903,1972,15363.411
estimates,903,1973,15795.31
estimates,903,1974,16243.271
estimates,903,1975,16705.718
estimates,903,1976,17180.976
estimates,903,1977,17666.23
estimates,903,1978,18158.046
estimates,903,1979,18653.007
estimates,903,1980,19148.943
estimates,903,1981,19644.981
estimates,903,1982,20140.324
estimates,903,1983,20632.925
estimates,903,1984,21119.232
estimates,903,1985,21592.322
estimates,903,1986,22044.608
estimates,903,1987,22473.94
estimates,903,1988,22881.926
estimates,903,1989,23272.864
estimates,903,1990,23653.621
estimates,903,1991,24032.639
estimates,903,1992,24420.005
estimates,903,1993,24825.083
estimates,903,1994,25254.732
estimates,903,1995,25715.065
estimates,903,1996,26209.594
estimates,903,1997,26736.298
estimates,903,1998,27292.681
estimates,903,1999,27878.148
estimates,903,2000,28491.09
estimates,903,2001,29129.063
estimates,903,2002,29788.554
estimates,903,2003,30466.12
estimates,903,2004,31159.139
estimates,903,2005,31870.331
estimates,903,2006,32604.958
estimates,903,2007,33363.238
estimates,903,2008,34139.966
estimates,903,2009,34925.224
estimates,903,2010,35702.714
estimates,903,2011,36454.115
estimates,903,2012,37166.47
estimates,903,2013,37831.764
estimates,903,2014,38447.424
estimates,903,2015,39015.915
medium_variant,903,2015,39015.915
medium_variant,903,2016,39545.492
medium_variant,903,2017,40052.472
medium_variant,903,2018,40551.998
medium_variant,903,2019,41052.913
medium_variant,903,2020,41561.904
medium_variant,903,2021,42081.915
medium_variant,903,2022,42610.799
medium_variant,903,2023,43147.233
medium_variant,903,2024,43693.064
medium_variant,903,2025,44250.302
medium_variant,903,2026,44820.2
medium_variant,903,2027,45401.359
medium_variant,903,2028,45991.659
medium_variant,903,2029,46589.257
medium_variant,903,2030,47192.701
medium_variant,903,2031,47800.61
medium_variant,903,2032,48410.297
medium_variant,903,2033,49018.181
medium_variant,903,2034,49620.493
medium_variant,903,2035,50213.571
medium_variant,903,2036,50794.583
medium_variant,903,2037,51361.93
medium_variant,903,2038,51913.988
medium_variant,903,2039,52448.759
medium_variant,903,2040,52964.588
medium_variant,903,2041,53460.753
medium_variant,903,2042,53938.479
medium_variant,903,2043,54399.138
medium_variant,903,2044,54843.456
medium_variant,903,2045,55272.118
medium_variant,903,2046,55685.806
medium_variant,903,2047,56085.696
medium_variant,903,2048,56473.157
medium_variant,903,2049,56849.6
medium_variant,903,2050,57216.152
medium_variant,903,2051,57573.56
medium_variant,903,2052,57922.125
medium_variant,903,2053,58262.331
medium_variant,903,2054,58594.972
medium_variant,903,2055,58920.83
medium_variant,903,2056,59240.416
medium_variant,903,2057,59553.588
medium_variant,903,2058,59860.113
medium_variant,903,2059,60159.87
medium_variant,903,2060,60452.796
medium_variant,903,2061,60738.736
medium_variant,903,2062,61017.074
medium_variant,903,2063,61287.014
medium_variant,903,2064,61547.77
medium_variant,903,2065,61798.752
medium_variant,903,2066,62039.527
medium_variant,903,2067,62269.635
medium_variant,903,2068,62488.387
medium_variant,903,2069,62694.972
medium_variant,903,2070,62888.381
medium_variant,903,2071,63067.775
medium_variant,903,2072,63232.925
medium_variant,903,2073,63383.793
medium_variant,903,2074,63520.421
medium_variant,903,2075,63642.847
medium_variant,903,2076,63751.27
medium_variant,903,2077,63846.547
medium_variant,903,2078,63929.74
medium_variant,903,2079,64001.764
medium_variant,903,2080,64063.61
medium_variant,903,2081,64116.113
medium_variant,903,2082,64159.744
medium_variant,903,2083,64194.917
medium_variant,903,2084,64222.05
medium_variant,903,2085,64241.174
medium_variant,903,2086,64251.938
medium_variant,903,2087,64253.842
medium_variant,903,2088,64246.672
medium_variant,903,2089,64230.655
medium_variant,903,2090,64206.191
medium_variant,903,2091,64173.748
medium_variant,903,2092,64133.783
medium_variant,903,2093,64086.695
medium_variant,903,2094,64032.816
medium_variant,903,2095,63972.357
medium_variant,903,2096,63905.427
medium_variant,903,2097,63832.083
medium_variant,903,2098,63752.339
medium_variant,903,2099,63666.201
