variant,country,year,totalsurvivors_under_one_yearage
estimates,233,1950,16.76
estimates,233,1951,16.981
estimates,233,1952,17.398
estimates,233,1953,17.762
estimates,233,1954,18.069
estimates,233,1955,18.32
estimates,233,1956,18.513
estimates,233,1957,18.654
estimates,233,1958,18.744
estimates,233,1959,18.793
estimates,233,1960,18.813
estimates,233,1961,18.818
estimates,233,1962,18.823
estimates,233,1963,18.847
estimates,233,1964,18.904
estimates,233,1965,19.014
estimates,233,1966,19.196
estimates,233,1967,19.445
estimates,233,1968,19.749
estimates,233,1969,20.093
estimates,233,1970,20.447
estimates,233,1971,20.772
estimates,233,1972,21.041
estimates,233,1973,21.239
estimates,233,1974,21.363
estimates,233,1975,21.429
estimates,233,1976,21.461
estimates,233,1977,21.498
estimates,233,1978,21.567
estimates,233,1979,21.681
estimates,233,1980,21.871
estimates,233,1981,22.171
estimates,233,1982,22.56
estimates,233,1983,22.991
estimates,233,1984,23.405
estimates,233,1985,23.689
estimates,233,1986,23.714
estimates,233,1987,23.407
estimates,233,1988,22.744
estimates,233,1989,21.744
estimates,233,1990,20.473
estimates,233,1991,19.032
estimates,233,1992,17.566
estimates,233,1993,16.205
estimates,233,1994,15.026
estimates,233,1995,14.089
estimates,233,1996,13.413
estimates,233,1997,12.951
estimates,233,1998,12.662
estimates,233,1999,12.534
estimates,233,2000,12.567
estimates,233,2001,12.763
estimates,233,2002,13.094
estimates,233,2003,13.521
estimates,233,2004,13.996
estimates,233,2005,14.451
estimates,233,2006,14.819
estimates,233,2007,15.064
estimates,233,2008,15.17
estimates,233,2009,15.13
estimates,233,2010,14.971
estimates,233,2011,14.739
estimates,233,2012,14.498
estimates,233,2013,14.295
estimates,233,2014,14.148
estimates,233,2015,14.057
medium_variant,233,2015,14.057
medium_variant,233,2016,14.007
medium_variant,233,2017,13.96
medium_variant,233,2018,13.887
medium_variant,233,2019,13.779
medium_variant,233,2020,13.627
medium_variant,233,2021,13.428
medium_variant,233,2022,13.194
medium_variant,233,2023,12.938
medium_variant,233,2024,12.668
medium_variant,233,2025,12.394
medium_variant,233,2026,12.127
medium_variant,233,2027,11.876
medium_variant,233,2028,11.65
medium_variant,233,2029,11.459
medium_variant,233,2030,11.311
medium_variant,233,2031,11.212
medium_variant,233,2032,11.161
medium_variant,233,2033,11.15
medium_variant,233,2034,11.177
medium_variant,233,2035,11.235
medium_variant,233,2036,11.321
medium_variant,233,2037,11.424
medium_variant,233,2038,11.533
medium_variant,233,2039,11.642
medium_variant,233,2040,11.737
medium_variant,233,2041,11.817
medium_variant,233,2042,11.875
medium_variant,233,2043,11.914
medium_variant,233,2044,11.927
medium_variant,233,2045,11.914
medium_variant,233,2046,11.875
medium_variant,233,2047,11.811
medium_variant,233,2048,11.729
medium_variant,233,2049,11.632
medium_variant,233,2050,11.519
medium_variant,233,2051,11.397
medium_variant,233,2052,11.264
medium_variant,233,2053,11.126
medium_variant,233,2054,10.986
medium_variant,233,2055,10.848
medium_variant,233,2056,10.712
medium_variant,233,2057,10.581
medium_variant,233,2058,10.457
medium_variant,233,2059,10.341
medium_variant,233,2060,10.239
medium_variant,233,2061,10.151
medium_variant,233,2062,10.078
medium_variant,233,2063,10.02
medium_variant,233,2064,9.976
medium_variant,233,2065,9.947
medium_variant,233,2066,9.933
medium_variant,233,2067,9.931
medium_variant,233,2068,9.939
medium_variant,233,2069,9.953
medium_variant,233,2070,9.971
medium_variant,233,2071,9.992
medium_variant,233,2072,10.012
medium_variant,233,2073,10.031
medium_variant,233,2074,10.045
medium_variant,233,2075,10.051
medium_variant,233,2076,10.047
medium_variant,233,2077,10.035
medium_variant,233,2078,10.012
medium_variant,233,2079,9.981
medium_variant,233,2080,9.94
medium_variant,233,2081,9.888
medium_variant,233,2082,9.828
medium_variant,233,2083,9.761
medium_variant,233,2084,9.689
medium_variant,233,2085,9.613
medium_variant,233,2086,9.535
medium_variant,233,2087,9.456
medium_variant,233,2088,9.376
medium_variant,233,2089,9.299
medium_variant,233,2090,9.226
medium_variant,233,2091,9.157
medium_variant,233,2092,9.095
medium_variant,233,2093,9.038
medium_variant,233,2094,8.988
medium_variant,233,2095,8.944
medium_variant,233,2096,8.907
medium_variant,233,2097,8.877
medium_variant,233,2098,8.853
medium_variant,233,2099,8.836
