variant,global,year,totalsurvivors_under_one_yearage
estimates,900,1950,82420.256
estimates,900,1951,82638.106
estimates,900,1952,83170.01
estimates,900,1953,83888.906
estimates,900,1954,84794.576
estimates,900,1955,85885.659
estimates,900,1956,87157.855
estimates,900,1957,88600.624
estimates,900,1958,90198.217
estimates,900,1959,91928.279
estimates,900,1960,93762.157
estimates,900,1961,95666.632
estimates,900,1962,97601.706
estimates,900,1963,99523.131
estimates,900,1964,101386.13
estimates,900,1965,103143.507
estimates,900,1966,104755.781
estimates,900,1967,106206.821
estimates,900,1968,107481.652
estimates,900,1969,108560.937
estimates,900,1970,109402.729
estimates,900,1971,109969.414
estimates,900,1972,110291.187
estimates,900,1973,110433.295
estimates,900,1974,110474.922
estimates,900,1975,110533.586
estimates,900,1976,110736.934
estimates,900,1977,111180.909
estimates,900,1978,111935.161
estimates,900,1979,113037.553
estimates,900,1980,114538.987
estimates,900,1981,116462.072
estimates,900,1982,118702.747
estimates,900,1983,121113.123
estimates,900,1984,123551.513
estimates,900,1985,125812.58
estimates,900,1986,127685.293
estimates,900,1987,129047.943
estimates,900,1988,129834.52
estimates,900,1989,130027.789
estimates,900,1990,129656.045
estimates,900,1991,128807.982
estimates,900,1992,127678.375
estimates,900,1993,126460.48
estimates,900,1994,125284.884
estimates,900,1995,124276.311
estimates,900,1996,123521.568
estimates,900,1997,123027.634
estimates,900,1998,122795.526
estimates,900,1999,122846.476
estimates,900,2000,123186.319
estimates,900,2001,123795.402
estimates,900,2002,124605.322
estimates,900,2003,125545.664
estimates,900,2004,126569.224
estimates,900,2005,127639.212
estimates,900,2006,128732.935
estimates,900,2007,129836.313
estimates,900,2008,130925.707
estimates,900,2009,131964.945
estimates,900,2010,132919.216
estimates,900,2011,133763.208
estimates,900,2012,134491.137
estimates,900,2013,135098.497
estimates,900,2014,135576.062
estimates,900,2015,135912.317
medium_variant,900,2015,135912.317
medium_variant,900,2016,136101.292
medium_variant,900,2017,136160.67
medium_variant,900,2018,136115.808
medium_variant,900,2019,135990.536
medium_variant,900,2020,135810.243
medium_variant,900,2021,135598.993
medium_variant,900,2022,135380.387
medium_variant,900,2023,135179.175
medium_variant,900,2024,135018.701
medium_variant,900,2025,134918.782
medium_variant,900,2026,134889.999
medium_variant,900,2027,134925.888
medium_variant,900,2028,135019.791
medium_variant,900,2029,135171.445
medium_variant,900,2030,135380.429
medium_variant,900,2031,135644.145
medium_variant,900,2032,135952.366
medium_variant,900,2033,136292.674
medium_variant,900,2034,136654.067
medium_variant,900,2035,137027.647
medium_variant,900,2036,137407.278
medium_variant,900,2037,137787.119
medium_variant,900,2038,138159.013
medium_variant,900,2039,138512.478
medium_variant,900,2040,138837.84
medium_variant,900,2041,139128.339
medium_variant,900,2042,139381.976
medium_variant,900,2043,139596.576
medium_variant,900,2044,139768.385
medium_variant,900,2045,139893.914
medium_variant,900,2046,139971.616
medium_variant,900,2047,140005.286
medium_variant,900,2048,139999.622
medium_variant,900,2049,139958.266
medium_variant,900,2050,139882.786
medium_variant,900,2051,139773.975
medium_variant,900,2052,139636.099
medium_variant,900,2053,139476.109
medium_variant,900,2054,139302.421
medium_variant,900,2055,139124.146
medium_variant,900,2056,138949.348
medium_variant,900,2057,138783.636
medium_variant,900,2058,138632.252
medium_variant,900,2059,138500.173
medium_variant,900,2060,138391.626
medium_variant,900,2061,138308.233
medium_variant,900,2062,138245.714
medium_variant,900,2063,138199.045
medium_variant,900,2064,138164.955
medium_variant,900,2065,138140.775
medium_variant,900,2066,138124.082
medium_variant,900,2067,138110.88
medium_variant,900,2068,138096.001
medium_variant,900,2069,138074.064
medium_variant,900,2070,138040.08
medium_variant,900,2071,137990.449
medium_variant,900,2072,137923.456
medium_variant,900,2073,137836.987
medium_variant,900,2074,137728.16
medium_variant,900,2075,137594.045
medium_variant,900,2076,137432.768
medium_variant,900,2077,137245.685
medium_variant,900,2078,137034.863
medium_variant,900,2079,136801.868
medium_variant,900,2080,136548.421
medium_variant,900,2081,136276.429
medium_variant,900,2082,135988.875
medium_variant,900,2083,135689.167
medium_variant,900,2084,135380.395
medium_variant,900,2085,135064.716
medium_variant,900,2086,134743.169
medium_variant,900,2087,134416.234
medium_variant,900,2088,134085.128
medium_variant,900,2089,133752.182
medium_variant,900,2090,133419.478
medium_variant,900,2091,133088.657
medium_variant,900,2092,132760.893
medium_variant,900,2093,132437.044
medium_variant,900,2094,132117.642
medium_variant,900,2095,131803.087
medium_variant,900,2096,131493.643
medium_variant,900,2097,131189.342
medium_variant,900,2098,130890.174
medium_variant,900,2099,130596.158
