variant,region,year,totalsurvivors_under_one_yearage
estimates,925,1950,2147.435
estimates,925,1951,2147.955
estimates,925,1952,2150.677
estimates,925,1953,2156.868
estimates,925,1954,2166.58
estimates,925,1955,2179.794
estimates,925,1956,2196.31
estimates,925,1957,2215.759
estimates,925,1958,2237.427
estimates,925,1959,2260.051
estimates,925,1960,2282.137
estimates,925,1961,2302.047
estimates,925,1962,2318.126
estimates,925,1963,2329.142
estimates,925,1964,2334.6
estimates,925,1965,2334.922
estimates,925,1966,2331.321
estimates,925,1967,2325.481
estimates,925,1968,2318.537
estimates,925,1969,2310.649
estimates,925,1970,2301.553
estimates,925,1971,2290.548
estimates,925,1972,2276.432
estimates,925,1973,2258.141
estimates,925,1974,2235.109
estimates,925,1975,2206.366
estimates,925,1976,2171.04
estimates,925,1977,2129.492
estimates,925,1978,2082.678
estimates,925,1979,2031.774
estimates,925,1980,1978.359
estimates,925,1981,1924.163
estimates,925,1982,1870.92
estimates,925,1983,1820.216
estimates,925,1984,1773.237
estimates,925,1985,1730.77
estimates,925,1986,1692.963
estimates,925,1987,1658.982
estimates,925,1988,1628.095
estimates,925,1989,1600.141
estimates,925,1990,1574.789
estimates,925,1991,1551.681
estimates,925,1992,1530.612
estimates,925,1993,1511.51
estimates,925,1994,1494.418
estimates,925,1995,1479.686
estimates,925,1996,1467.835
estimates,925,1997,1459.267
estimates,925,1998,1454.15
estimates,925,1999,1452.372
estimates,925,2000,1454.317
estimates,925,2001,1460.401
estimates,925,2002,1469.983
estimates,925,2003,1481.738
estimates,925,2004,1494.057
estimates,925,2005,1504.313
estimates,925,2006,1509.703
estimates,925,2007,1508.636
estimates,925,2008,1500.392
estimates,925,2009,1485.036
estimates,925,2010,1463.708
estimates,925,2011,1438.454
estimates,925,2012,1412.124
estimates,925,2013,1387.096
estimates,925,2014,1364.54
estimates,925,2015,1344.958
medium_variant,925,2015,1344.958
medium_variant,925,2016,1328.026
medium_variant,925,2017,1312.532
medium_variant,925,2018,1297.605
medium_variant,925,2019,1283.187
medium_variant,925,2020,1269.391
medium_variant,925,2021,1256.456
medium_variant,925,2022,1244.727
medium_variant,925,2023,1234.46
medium_variant,925,2024,1225.749
medium_variant,925,2025,1218.659
medium_variant,925,2026,1213.188
medium_variant,925,2027,1209.145
medium_variant,925,2028,1206.328
medium_variant,925,2029,1204.58
medium_variant,925,2030,1203.823
medium_variant,925,2031,1204.006
medium_variant,925,2032,1205.026
medium_variant,925,2033,1206.691
medium_variant,925,2034,1208.753
medium_variant,925,2035,1210.989
medium_variant,925,2036,1213.239
medium_variant,925,2037,1215.347
medium_variant,925,2038,1217.119
medium_variant,925,2039,1218.327
medium_variant,925,2040,1218.721
medium_variant,925,2041,1218.131
medium_variant,925,2042,1216.538
medium_variant,925,2043,1213.974
medium_variant,925,2044,1210.445
medium_variant,925,2045,1205.96
medium_variant,925,2046,1200.554
medium_variant,925,2047,1194.419
medium_variant,925,2048,1187.781
medium_variant,925,2049,1180.851
medium_variant,925,2050,1173.814
medium_variant,925,2051,1166.827
medium_variant,925,2052,1160.004
medium_variant,925,2053,1153.474
medium_variant,925,2054,1147.388
medium_variant,925,2055,1141.875
medium_variant,925,2056,1137.003
medium_variant,925,2057,1132.734
medium_variant,925,2058,1129.037
medium_variant,925,2059,1125.918
medium_variant,925,2060,1123.4
medium_variant,925,2061,1121.48
medium_variant,925,2062,1120.111
medium_variant,925,2063,1119.197
medium_variant,925,2064,1118.655
medium_variant,925,2065,1118.421
medium_variant,925,2066,1118.437
medium_variant,925,2067,1118.635
medium_variant,925,2068,1118.913
medium_variant,925,2069,1119.169
medium_variant,925,2070,1119.303
medium_variant,925,2071,1119.253
medium_variant,925,2072,1118.993
medium_variant,925,2073,1118.476
medium_variant,925,2074,1117.648
medium_variant,925,2075,1116.426
medium_variant,925,2076,1114.776
medium_variant,925,2077,1112.712
medium_variant,925,2078,1110.26
medium_variant,925,2079,1107.449
medium_variant,925,2080,1104.299
medium_variant,925,2081,1100.838
medium_variant,925,2082,1097.13
medium_variant,925,2083,1093.252
medium_variant,925,2084,1089.284
medium_variant,925,2085,1085.276
medium_variant,925,2086,1081.264
medium_variant,925,2087,1077.278
medium_variant,925,2088,1073.359
medium_variant,925,2089,1069.572
medium_variant,925,2090,1065.965
medium_variant,925,2091,1062.582
medium_variant,925,2092,1059.45
medium_variant,925,2093,1056.577
medium_variant,925,2094,1053.986
medium_variant,925,2095,1051.674
medium_variant,925,2096,1049.653
medium_variant,925,2097,1047.922
medium_variant,925,2098,1046.48
medium_variant,925,2099,1045.322
