global,variant,gender,freq,year,under40mortalityper1000livebirth
900,estimates,female,5yearly,1950,356.711749339634
900,estimates,male,5yearly,1950,373.583737660398
900,estimates,female,5yearly,1955,323.657278780179
900,estimates,male,5yearly,1955,339.679696007149
900,estimates,female,5yearly,1960,300.784749464699
900,estimates,male,5yearly,1960,314.240922026096
900,estimates,female,5yearly,1965,246.756487427633
900,estimates,male,5yearly,1965,266.282986419757
900,estimates,female,5yearly,1970,215.464057622396
900,estimates,male,5yearly,1970,231.218415708536
900,estimates,female,5yearly,1975,191.613224677145
900,estimates,male,5yearly,1975,209.26594902442
900,estimates,female,5yearly,1980,169.722484440489
900,estimates,male,5yearly,1980,190.883526492627
900,estimates,female,5yearly,1985,153.995129494772
900,estimates,male,5yearly,1985,172.927078158239
900,estimates,female,5yearly,1990,145.128343835335
900,estimates,male,5yearly,1990,164.713218816358
900,estimates,female,5yearly,1995,137.349976266543
900,estimates,male,5yearly,1995,155.786442656845
900,estimates,female,5yearly,2000,126.464949151825
900,estimates,male,5yearly,2000,142.874251186076
900,estimates,female,5yearly,2005,110.317126658578
900,estimates,male,5yearly,2005,126.895424956001
900,estimates,female,5yearly,2010,94.8586704346712
900,estimates,male,5yearly,2010,112.974097824623
900,mediumvariant,female,5yearly,2015,85.5200649234129
900,mediumvariant,male,5yearly,2015,103.700515589865
900,mediumvariant,female,5yearly,2020,78.0558768829719
900,mediumvariant,male,5yearly,2020,95.5607151165742
900,mediumvariant,female,5yearly,2025,71.4492760790493
900,mediumvariant,male,5yearly,2025,88.8238498117079
900,mediumvariant,female,5yearly,2030,65.254349247171
900,mediumvariant,male,5yearly,2030,82.5400460950201
900,mediumvariant,female,5yearly,2035,59.6742374211774
900,mediumvariant,male,5yearly,2035,76.2317365239415
900,mediumvariant,female,5yearly,2040,54.4965544526378
900,mediumvariant,male,5yearly,2040,70.101034603865
900,mediumvariant,female,5yearly,2045,49.8343285437902
900,mediumvariant,male,5yearly,2045,64.6094786478242
900,mediumvariant,female,5yearly,2050,45.7236662543459
900,mediumvariant,male,5yearly,2050,59.5042624871028
900,mediumvariant,female,5yearly,2055,41.9863529210015
900,mediumvariant,male,5yearly,2055,55.0370029152014
900,mediumvariant,female,5yearly,2060,38.6691069496428
900,mediumvariant,male,5yearly,2060,50.9291131242186
900,mediumvariant,female,5yearly,2065,35.5537581107511
900,mediumvariant,male,5yearly,2065,47.0005031354708
900,mediumvariant,female,5yearly,2070,32.8134008526092
900,mediumvariant,male,5yearly,2070,43.3489029487523
900,mediumvariant,female,5yearly,2075,30.3568498523
900,mediumvariant,male,5yearly,2075,40.0120276641799
900,mediumvariant,female,5yearly,2080,28.0879260500235
900,mediumvariant,male,5yearly,2080,37.0333468479641
900,mediumvariant,female,5yearly,2085,26.1290211795604
900,mediumvariant,male,5yearly,2085,34.3615841603062
900,mediumvariant,female,5yearly,2090,24.367810144565
900,mediumvariant,male,5yearly,2090,32.0323514896799
900,mediumvariant,female,5yearly,2095,22.8938300478544
900,mediumvariant,male,5yearly,2095,29.8496986182267
