global,variant,freq,year,under60mortalityper1000livebirth
900,estimates,5yearly,1950,536.017354966176
900,estimates,5yearly,1955,500.931151712042
900,estimates,5yearly,1960,473.889274752142
900,estimates,5yearly,1965,407.06026321807
900,estimates,5yearly,1970,364.945120815367
900,estimates,5yearly,1975,332.480043809638
900,estimates,5yearly,1980,308.486070795603
900,estimates,5yearly,1985,285.984843830744
900,estimates,5yearly,1990,275.653820779347
900,estimates,5yearly,1995,263.1581094713
900,estimates,5yearly,2000,245.215376702314
900,estimates,5yearly,2005,221.551826082427
900,estimates,5yearly,2010,198.751875661088
900,medium_variant,5yearly,2015,184.171216515416
900,medium_variant,5yearly,2020,172.49910709169
900,medium_variant,5yearly,2025,162.950947925513
900,medium_variant,5yearly,2030,154.222284274248
900,medium_variant,5yearly,2035,145.524597830599
900,medium_variant,5yearly,2040,137.143671716694
900,medium_variant,5yearly,2045,129.807826113203
900,medium_variant,5yearly,2050,123.407748816701
900,medium_variant,5yearly,2055,116.919562053139
900,medium_variant,5yearly,2060,110.410663765297
900,medium_variant,5yearly,2065,104.246531144434
900,medium_variant,5yearly,2070,98.7531966436757
900,medium_variant,5yearly,2075,93.533794421717
900,medium_variant,5yearly,2080,88.6046927508585
900,medium_variant,5yearly,2085,83.7771655202426
900,medium_variant,5yearly,2090,79.0327782472185
900,medium_variant,5yearly,2095,74.3583920073229
900,estimates,5yearly,Regi,WORLD
900,medium_variant,5yearly,Regi,WORLD
