region,variant,freq,year,under60mortalityper1000livebirth
927,Estimates,5yearly,1950,204.566084466325
927,Estimates,5yearly,1955,186.966658768446
927,Estimates,5yearly,1960,181.76562242115
927,Estimates,5yearly,1965,182.662522863105
927,Estimates,5yearly,1970,174.129233016846
927,Estimates,5yearly,1975,155.617651595785
927,Estimates,5yearly,1980,134.124882573245
927,Estimates,5yearly,1985,120.765931389131
927,Estimates,5yearly,1990,103.293596925698
927,Estimates,5yearly,1995,92.8240365721179
927,Estimates,5yearly,2000,80.9128118751904
927,Estimates,5yearly,2005,73.5231647548404
927,Estimates,5yearly,2010,68.6906965925357
927,Medium_variant,5yearly,2015,61.9436184597278
927,Medium_variant,5yearly,2020,55.6916009586914
927,Medium_variant,5yearly,2025,50.5607166282764
927,Medium_variant,5yearly,2030,46.225940542217
927,Medium_variant,5yearly,2035,42.2472605411858
927,Medium_variant,5yearly,2040,38.6449895118721
927,Medium_variant,5yearly,2045,35.3353885263385
927,Medium_variant,5yearly,2050,32.3971628521754
927,Medium_variant,5yearly,2055,29.5628201782365
927,Medium_variant,5yearly,2060,26.8782807997937
927,Medium_variant,5yearly,2065,24.419856505686
927,Medium_variant,5yearly,2070,22.0986926809162
927,Medium_variant,5yearly,2075,19.9325253585415
927,Medium_variant,5yearly,2080,18.0289235755788
927,Medium_variant,5yearly,2085,16.3066162383139
927,Medium_variant,5yearly,2090,14.5712964673734
927,Medium_variant,5yearly,2095,13.0358312188216
