variant,continent,year,under_five_mortality
Estimates,905,1950,38.696
Estimates,905,1951,38.115
Estimates,905,1952,36.995
Estimates,905,1953,35.957
Estimates,905,1954,34.999
Estimates,905,1955,34.122
Estimates,905,1956,33.325
Estimates,905,1957,32.602
Estimates,905,1958,31.949
Estimates,905,1959,31.353
Estimates,905,1960,30.801
Estimates,905,1961,30.276
Estimates,905,1962,29.757
Estimates,905,1963,29.223
Estimates,905,1964,28.654
Estimates,905,1965,28.029
Estimates,905,1966,27.332
Estimates,905,1967,26.566
Estimates,905,1968,25.736
Estimates,905,1969,24.848
Estimates,905,1970,23.91
Estimates,905,1971,22.931
Estimates,905,1972,21.932
Estimates,905,1973,20.934
Estimates,905,1974,19.955
Estimates,905,1975,19.01
Estimates,905,1976,18.107
Estimates,905,1977,17.249
Estimates,905,1978,16.441
Estimates,905,1979,15.693
Estimates,905,1980,15.016
Estimates,905,1981,14.424
Estimates,905,1982,13.914
Estimates,905,1983,13.478
Estimates,905,1984,13.105
Estimates,905,1985,12.779
Estimates,905,1986,12.48
Estimates,905,1987,12.189
Estimates,905,1988,11.89
Estimates,905,1989,11.575
Estimates,905,1990,11.236
Estimates,905,1991,10.876
Estimates,905,1992,10.506
Estimates,905,1993,10.141
Estimates,905,1994,9.789
Estimates,905,1995,9.458
Estimates,905,1996,9.157
Estimates,905,1997,8.892
Estimates,905,1998,8.663
Estimates,905,1999,8.474
Estimates,905,2000,8.325
Estimates,905,2001,8.217
Estimates,905,2002,8.142
Estimates,905,2003,8.088
Estimates,905,2004,8.046
Estimates,905,2005,8.001
Estimates,905,2006,7.937
Estimates,905,2007,7.847
Estimates,905,2008,7.727
Estimates,905,2009,7.575
Estimates,905,2010,7.396
Estimates,905,2011,7.2
Estimates,905,2012,6.999
Estimates,905,2013,6.805
Estimates,905,2014,6.624
Estimates,905,2015,6.459
Medium_variant,905,2015,6.459
Medium_variant,905,2016,6.309
Medium_variant,905,2017,6.17
Medium_variant,905,2018,6.038
Medium_variant,905,2019,5.911
Medium_variant,905,2020,5.788
Medium_variant,905,2021,5.668
Medium_variant,905,2022,5.552
Medium_variant,905,2023,5.44
Medium_variant,905,2024,5.33
Medium_variant,905,2025,5.222
Medium_variant,905,2026,5.117
Medium_variant,905,2027,5.014
Medium_variant,905,2028,4.915
Medium_variant,905,2029,4.818
Medium_variant,905,2030,4.723
Medium_variant,905,2031,4.631
Medium_variant,905,2032,4.54
Medium_variant,905,2033,4.45
Medium_variant,905,2034,4.362
Medium_variant,905,2035,4.276
Medium_variant,905,2036,4.191
Medium_variant,905,2037,4.108
Medium_variant,905,2038,4.027
Medium_variant,905,2039,3.948
Medium_variant,905,2040,3.873
Medium_variant,905,2041,3.801
Medium_variant,905,2042,3.731
Medium_variant,905,2043,3.666
Medium_variant,905,2044,3.603
Medium_variant,905,2045,3.544
Medium_variant,905,2046,3.487
Medium_variant,905,2047,3.434
Medium_variant,905,2048,3.383
Medium_variant,905,2049,3.334
Medium_variant,905,2050,3.287
Medium_variant,905,2051,3.241
Medium_variant,905,2052,3.196
Medium_variant,905,2053,3.152
Medium_variant,905,2054,3.108
Medium_variant,905,2055,3.065
Medium_variant,905,2056,3.023
Medium_variant,905,2057,2.981
Medium_variant,905,2058,2.94
Medium_variant,905,2059,2.9
Medium_variant,905,2060,2.862
Medium_variant,905,2061,2.825
Medium_variant,905,2062,2.79
Medium_variant,905,2063,2.756
Medium_variant,905,2064,2.724
Medium_variant,905,2065,2.693
Medium_variant,905,2066,2.662
Medium_variant,905,2067,2.632
Medium_variant,905,2068,2.601
Medium_variant,905,2069,2.57
Medium_variant,905,2070,2.539
Medium_variant,905,2071,2.509
Medium_variant,905,2072,2.478
Medium_variant,905,2073,2.449
Medium_variant,905,2074,2.42
Medium_variant,905,2075,2.393
Medium_variant,905,2076,2.365
Medium_variant,905,2077,2.339
Medium_variant,905,2078,2.312
Medium_variant,905,2079,2.285
Medium_variant,905,2080,2.259
Medium_variant,905,2081,2.233
Medium_variant,905,2082,2.208
Medium_variant,905,2083,2.183
Medium_variant,905,2084,2.159
Medium_variant,905,2085,2.136
Medium_variant,905,2086,2.113
Medium_variant,905,2087,2.091
Medium_variant,905,2088,2.07
Medium_variant,905,2089,2.049
Medium_variant,905,2090,2.028
Medium_variant,905,2091,2.007
Medium_variant,905,2092,1.987
Medium_variant,905,2093,1.968
Medium_variant,905,2094,1.948
Medium_variant,905,2095,1.929
Medium_variant,905,2096,1.911
Medium_variant,905,2097,1.893
Medium_variant,905,2098,1.875
Medium_variant,905,2099,1.858
