variant,country,year,under_five_mortality
estimates,270,1950,390.719
estimates,270,1951,388.589
estimates,270,1952,384.512
estimates,270,1953,380.805
estimates,270,1954,377.467
estimates,270,1955,374.483
estimates,270,1956,371.795
estimates,270,1957,369.327
estimates,270,1958,366.93
estimates,270,1959,364.342
estimates,270,1960,361.267
estimates,270,1961,357.405
estimates,270,1962,352.478
estimates,270,1963,346.338
estimates,270,1964,339.018
estimates,270,1965,330.705
estimates,270,1966,321.719
estimates,270,1967,312.506
estimates,270,1968,303.443
estimates,270,1969,294.734
estimates,270,1970,286.489
estimates,270,1971,278.695
estimates,270,1972,271.176
estimates,270,1973,263.797
estimates,270,1974,256.542
estimates,270,1975,249.389
estimates,270,1976,242.323
estimates,270,1977,235.355
estimates,270,1978,228.509
estimates,270,1979,221.808
estimates,270,1980,215.288
estimates,270,1981,208.987
estimates,270,1982,202.939
estimates,270,1983,197.167
estimates,270,1984,191.688
estimates,270,1985,186.516
estimates,270,1986,181.655
estimates,270,1987,177.076
estimates,270,1988,172.744
estimates,270,1989,168.626
estimates,270,1990,164.737
estimates,270,1991,161.105
estimates,270,1992,157.701
estimates,270,1993,154.442
estimates,270,1994,151.213
estimates,270,1995,147.8
estimates,270,1996,143.965
estimates,270,1997,139.597
estimates,270,1998,134.675
estimates,270,1999,129.256
estimates,270,2000,123.48
estimates,270,2001,117.556
estimates,270,2002,111.764
estimates,270,2003,106.353
estimates,270,2004,101.479
estimates,270,2005,97.281
estimates,270,2006,93.83
estimates,270,2007,91.026
estimates,270,2008,88.748
estimates,270,2009,86.919
estimates,270,2010,85.425
estimates,270,2011,84.136
estimates,270,2012,82.931
estimates,270,2013,81.706
estimates,270,2014,80.393
estimates,270,2015,78.963
medium_variant,270,2015,78.963
medium_variant,270,2016,77.432
medium_variant,270,2017,75.878
medium_variant,270,2018,74.365
medium_variant,270,2019,72.906
medium_variant,270,2020,71.514
medium_variant,270,2021,70.19
medium_variant,270,2022,68.925
medium_variant,270,2023,67.71
medium_variant,270,2024,66.54
medium_variant,270,2025,65.412
medium_variant,270,2026,64.32
medium_variant,270,2027,63.258
medium_variant,270,2028,62.221
medium_variant,270,2029,61.207
medium_variant,270,2030,60.214
medium_variant,270,2031,59.242
medium_variant,270,2032,58.294
medium_variant,270,2033,57.372
medium_variant,270,2034,56.474
medium_variant,270,2035,55.599
medium_variant,270,2036,54.745
medium_variant,270,2037,53.91
medium_variant,270,2038,53.093
medium_variant,270,2039,52.294
medium_variant,270,2040,51.515
medium_variant,270,2041,50.761
medium_variant,270,2042,50.036
medium_variant,270,2043,49.334
medium_variant,270,2044,48.652
medium_variant,270,2045,47.978
medium_variant,270,2046,47.297
medium_variant,270,2047,46.602
medium_variant,270,2048,45.887
medium_variant,270,2049,45.152
medium_variant,270,2050,44.4
medium_variant,270,2051,43.642
medium_variant,270,2052,42.889
medium_variant,270,2053,42.153
medium_variant,270,2054,41.44
medium_variant,270,2055,40.751
medium_variant,270,2056,40.087
medium_variant,270,2057,39.443
medium_variant,270,2058,38.814
medium_variant,270,2059,38.202
medium_variant,270,2060,37.608
medium_variant,270,2061,37.037
medium_variant,270,2062,36.49
medium_variant,270,2063,35.965
medium_variant,270,2064,35.457
medium_variant,270,2065,34.958
medium_variant,270,2066,34.457
medium_variant,270,2067,33.948
medium_variant,270,2068,33.426
medium_variant,270,2069,32.892
medium_variant,270,2070,32.351
medium_variant,270,2071,31.811
medium_variant,270,2072,31.284
medium_variant,270,2073,30.775
medium_variant,270,2074,30.287
medium_variant,270,2075,29.814
medium_variant,270,2076,29.35
medium_variant,270,2077,28.885
medium_variant,270,2078,28.416
medium_variant,270,2079,27.942
medium_variant,270,2080,27.467
medium_variant,270,2081,27.001
medium_variant,270,2082,26.551
medium_variant,270,2083,26.122
medium_variant,270,2084,25.715
medium_variant,270,2085,25.33
medium_variant,270,2086,24.961
medium_variant,270,2087,24.602
medium_variant,270,2088,24.247
medium_variant,270,2089,23.894
medium_variant,270,2090,23.542
medium_variant,270,2091,23.192
medium_variant,270,2092,22.845
medium_variant,270,2093,22.503
medium_variant,270,2094,22.168
medium_variant,270,2095,21.84
medium_variant,270,2096,21.52
medium_variant,270,2097,21.208
medium_variant,270,2098,20.905
medium_variant,270,2099,20.61
