variant,region,year,under_five_mortality
Estimates,1503,1950,92.509
Estimates,1503,1951,89.835
Estimates,1503,1952,84.647
Estimates,1503,1953,79.78
Estimates,1503,1954,75.232
Estimates,1503,1955,71.005
Estimates,1503,1956,67.096
Estimates,1503,1957,63.501
Estimates,1503,1958,60.21
Estimates,1503,1959,57.209
Estimates,1503,1960,54.481
Estimates,1503,1961,52
Estimates,1503,1962,49.734
Estimates,1503,1963,47.643
Estimates,1503,1964,45.686
Estimates,1503,1965,43.82
Estimates,1503,1966,42.008
Estimates,1503,1967,40.238
Estimates,1503,1968,38.507
Estimates,1503,1969,36.811
Estimates,1503,1970,35.168
Estimates,1503,1971,33.611
Estimates,1503,1972,32.172
Estimates,1503,1973,30.868
Estimates,1503,1974,29.694
Estimates,1503,1975,28.63
Estimates,1503,1976,27.645
Estimates,1503,1977,26.702
Estimates,1503,1978,25.771
Estimates,1503,1979,24.838
Estimates,1503,1980,23.901
Estimates,1503,1981,22.968
Estimates,1503,1982,22.062
Estimates,1503,1983,21.197
Estimates,1503,1984,20.375
Estimates,1503,1985,19.593
Estimates,1503,1986,18.846
Estimates,1503,1987,18.125
Estimates,1503,1988,17.423
Estimates,1503,1989,16.738
Estimates,1503,1990,16.069
Estimates,1503,1991,15.42
Estimates,1503,1992,14.794
Estimates,1503,1993,14.196
Estimates,1503,1994,13.627
Estimates,1503,1995,13.086
Estimates,1503,1996,12.574
Estimates,1503,1997,12.088
Estimates,1503,1998,11.627
Estimates,1503,1999,11.192
Estimates,1503,2000,10.782
Estimates,1503,2001,10.4
Estimates,1503,2002,10.047
Estimates,1503,2003,9.721
Estimates,1503,2004,9.419
Estimates,1503,2005,9.138
Estimates,1503,2006,8.875
Estimates,1503,2007,8.625
Estimates,1503,2008,8.386
Estimates,1503,2009,8.154
Estimates,1503,2010,7.927
Estimates,1503,2011,7.705
Estimates,1503,2012,7.49
Estimates,1503,2013,7.283
Estimates,1503,2014,7.082
Estimates,1503,2015,6.89
Medium_variant,1503,2015,6.89
Medium_variant,1503,2016,6.706
Medium_variant,1503,2017,6.53
Medium_variant,1503,2018,6.363
Medium_variant,1503,2019,6.203
Medium_variant,1503,2020,6.051
Medium_variant,1503,2021,5.905
Medium_variant,1503,2022,5.766
Medium_variant,1503,2023,5.633
Medium_variant,1503,2024,5.504
Medium_variant,1503,2025,5.379
Medium_variant,1503,2026,5.26
Medium_variant,1503,2027,5.145
Medium_variant,1503,2028,5.035
Medium_variant,1503,2029,4.93
Medium_variant,1503,2030,4.829
Medium_variant,1503,2031,4.732
Medium_variant,1503,2032,4.639
Medium_variant,1503,2033,4.55
Medium_variant,1503,2034,4.464
Medium_variant,1503,2035,4.38
Medium_variant,1503,2036,4.299
Medium_variant,1503,2037,4.221
Medium_variant,1503,2038,4.144
Medium_variant,1503,2039,4.07
Medium_variant,1503,2040,3.998
Medium_variant,1503,2041,3.927
Medium_variant,1503,2042,3.859
Medium_variant,1503,2043,3.793
Medium_variant,1503,2044,3.729
Medium_variant,1503,2045,3.667
Medium_variant,1503,2046,3.607
Medium_variant,1503,2047,3.548
Medium_variant,1503,2048,3.49
Medium_variant,1503,2049,3.434
Medium_variant,1503,2050,3.379
Medium_variant,1503,2051,3.325
Medium_variant,1503,2052,3.272
Medium_variant,1503,2053,3.221
Medium_variant,1503,2054,3.171
Medium_variant,1503,2055,3.123
Medium_variant,1503,2056,3.076
Medium_variant,1503,2057,3.031
Medium_variant,1503,2058,2.987
Medium_variant,1503,2059,2.945
Medium_variant,1503,2060,2.905
Medium_variant,1503,2061,2.867
Medium_variant,1503,2062,2.83
Medium_variant,1503,2063,2.795
Medium_variant,1503,2064,2.761
Medium_variant,1503,2065,2.729
Medium_variant,1503,2066,2.698
Medium_variant,1503,2067,2.668
Medium_variant,1503,2068,2.639
Medium_variant,1503,2069,2.611
Medium_variant,1503,2070,2.583
Medium_variant,1503,2071,2.555
Medium_variant,1503,2072,2.528
Medium_variant,1503,2073,2.501
Medium_variant,1503,2074,2.475
Medium_variant,1503,2075,2.449
Medium_variant,1503,2076,2.423
Medium_variant,1503,2077,2.397
Medium_variant,1503,2078,2.371
Medium_variant,1503,2079,2.345
Medium_variant,1503,2080,2.319
Medium_variant,1503,2081,2.294
Medium_variant,1503,2082,2.268
Medium_variant,1503,2083,2.243
Medium_variant,1503,2084,2.218
Medium_variant,1503,2085,2.194
Medium_variant,1503,2086,2.17
Medium_variant,1503,2087,2.147
Medium_variant,1503,2088,2.124
Medium_variant,1503,2089,2.101
Medium_variant,1503,2090,2.079
Medium_variant,1503,2091,2.057
Medium_variant,1503,2092,2.036
Medium_variant,1503,2093,2.016
Medium_variant,1503,2094,1.996
Medium_variant,1503,2095,1.976
Medium_variant,1503,2096,1.957
Medium_variant,1503,2097,1.938
Medium_variant,1503,2098,1.919
Medium_variant,1503,2099,1.901
