region,name,is--region,parent
901,More developed regions,TRUE,900
902,Less developed regions,TRUE,900
941,Least developed countries,TRUE,900
934,"Less developed regions, excluding least developed countries",TRUE,900
948,"Less developed regions, excluding China",TRUE,900
1503,High-income countries,TRUE,900
1517,Middle-income countries,TRUE,900
1502,Upper-middle-income countries,TRUE,900
1501,Lower-middle-income countries,TRUE,900
1500,Low-income countries,TRUE,900
947,Sub-Saharan Africa,TRUE,900
910,Eastern Africa,TRUE,903
911,Middle Africa,TRUE,903
912,Northern Africa,TRUE,903
913,Southern Africa,TRUE,903
914,Western Africa,TRUE,903
906,Eastern Asia,TRUE,935
921,South-Central Asia,TRUE,935
5500,Central Asia,TRUE,935
5501,Southern Asia,TRUE,935
920,South-Eastern Asia,TRUE,935
922,Western Asia,TRUE,935
923,Eastern Europe,TRUE,908
924,Northern Europe,TRUE,908
925,Southern Europe,TRUE,908
926,Western Europe,TRUE,908
915,Caribbean,TRUE,904
916,Central America,TRUE,904
931,South America,TRUE,908
927,Australia/New Zealand,TRUE,909
928,Melanesia,TRUE,909
954,Micronesia,TRUE,909
957,Polynesia,TRUE,909
